,ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
0,434987895483454310!,system_01,0.0,0.351465,2.474149,0.15428,0.088527,0.717836,0.003216,0.074341,0.659618,0.736071,0.228164,0.113836,0.699028,0.388832,0.230378,0.712785,0.147749,-0.6456862092018127,-1.2837581634521484,3.729083240032196,2.0383132994174957,-2.887608081102371,-0.0646529272198677,1.0642073675990105,1.7862277030944824
1,922832187523004948!,system_01,0.0,0.594464,0.011442,0.056696,0.175555,0.143484,0.099336,0.024758,0.752723,0.004767,0.625274,0.03761,0.646858,0.144715,0.514264,0.323355,0.813992,1.7204788625240326,1.0782080441713333,-0.23826536256819963,-1.4042065143585205,0.6783488690853119,0.6516877636313438,-0.4122712165117264,-0.349581066519022
2,200603136263377402!,system_01,0.0,0.786831,0.009306,0.199951,0.042371,0.118529,0.915561,0.104348,0.150095,0.012221,0.467837,0.087225,0.429386,0.003888,0.08613,0.413135,0.44913,1.7214536666870117,1.8043815195560455,0.2087918184697628,-0.2699410915374756,0.15912588313221931,-0.7308865785598755,-0.5172073841094971,0.042482778895646334
3,942852006393686694!,system_01,0.0,0.154111,0.065635,0.042204,0.604836,0.445357,0.122246,0.476406,0.409751,0.069872,0.328202,0.846134,0.492734,0.164201,0.254248,0.268163,0.887872,1.922800451517105,1.53609237074852,-0.7459067702293396,-1.8939074873924255,0.6822914034128189,0.4941012114286423,-0.8552133440971375,-0.48504070192575455
4,1754193688938314301!,system_01,0.0,0.776173,0.003593,0.199618,0.204333,0.609547,0.866412,0.156651,0.017167,0.537415,0.189264,0.015846,0.514705,0.116499,0.00051,0.916132,0.305817,1.529090404510498,1.4492720365524292,0.37031369656324387,0.28290923684835434,-0.24454687163233757,-0.9680476933717728,-0.31603066623210907,0.05732510890811682
5,463584775559328587!,system_01,0.0,0.221613,1.150033,0.254411,0.391504,0.043077,0.482403,0.070842,0.568398,0.030459,0.533314,0.002837,0.904905,0.191016,0.344776,0.930167,0.079221,-1.2512762248516083,-1.497463122010231,3.276372969150543,2.2091620564460754,-2.398993283510208,0.25780967250466347,0.48228223249316216,0.9188427776098251
6,228705872684008969!,system_01,0.0,0.106651,1.794322,0.251523,0.11486,0.745363,0.668771,0.114472,0.019079,0.250223,0.541315,0.902799,0.540192,0.267168,0.414884,0.576862,0.453104,-0.8570987302809954,-0.723697729408741,3.1324116587638855,2.0415081083774567,-3.201206147670746,0.38679011748172343,0.9620502889156342,1.3730435967445374
7,1615310480788114894!,system_01,0.0,0.301401,3.998066,0.12742,0.266714,0.808105,0.175907,0.090872,0.737953,0.477897,0.032875,0.183484,0.005452,0.004934,0.47585,0.696016,0.353154,-0.39885095320641994,-0.1838789383182302,3.460741341114044,1.75653775036335,-2.8499367237091064,-0.5111816544085741,1.4269740283489227,1.86736261844635
8,873305403918072439!,system_01,0.0,0.733017,0.047612,0.017951,0.637858,0.000476,0.226985,0.048218,0.296747,0.075054,0.004119,0.373622,0.000319,0.073434,0.234662,0.594372,0.188814,2.830988109111786,2.4943282902240753,-1.789537787437439,-1.2186094671487808,0.3777281120419502,0.5723024532198906,-1.9600521922111511,-0.5275536254048347
9,994362594201895384!,system_01,0.0,0.018081,1.580062,0.006245,0.737758,0.047833,0.94183,0.528945,0.081685,0.000509,0.149864,0.109812,0.382575,0.208766,0.043909,0.084117,0.13619,-0.25072754360735416,-0.7386204451322556,2.6956725418567657,1.4664713740348816,-2.262071132659912,0.15845114178955555,0.632113441824913,0.5276285372674465
