ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
1499476150956163784!,system_09,0.000000,0.987269,,0.460593,0.865160,0.040369,0.012619,1.027680,0.054515,0.396613,0.329560,0.006094,0.106573,0.011454,1.366005,0.668873,7.104228,-1.157413,0.541886,-0.627413,1.062411,-1.508179,-0.221654,1.866739,1.128780
1499476150956163784!,system_09,0.260221,0.458535,,0.457931,0.516770,0.006554,-0.006200,1.212735,0.036349,0.457479,0.328095,-0.008269,0.209162,0.108033,2.098628,0.206188,6.822549,-1.157413,0.541886,-0.627413,1.062411,-1.508179,-0.221654,1.866739,1.128780
1499476150956163784!,system_09,0.588156,0.951119,,0.466268,0.454651,-0.005272,0.013824,1.664088,0.034728,0.551615,0.293230,0.027074,0.221676,0.480404,2.578812,-0.018360,5.608962,-1.157413,0.541886,-0.627413,1.062411,-1.508179,-0.221654,1.866739,1.128780
1499476150956163784!,system_09,1.001427,1.227721,,0.389912,0.430978,0.011544,-0.007748,1.941190,0.018382,0.864947,0.218503,-0.045867,0.194655,0.900247,2.204624,0.017516,5.483530,,,,,,,,
1499476150956163784!,system_09,1.522239,0.870903,,0.391959,0.211624,0.010974,-0.000329,2.235318,0.016131,0.807800,0.051339,0.012501,0.305426,0.748367,2.825099,0.077731,4.858704,,,,,,,,
1499476150956163784!,system_09,2.178578,1.063244,,0.366780,0.067417,-0.017414,0.006626,2.051902,0.007250,0.843922,0.064507,0.033732,0.428275,0.905294,2.996476,0.016461,4.813171,,,,,,,,
1499476150956163784!,system_09,3.005710,2.003291,,0.278640,-0.032107,0.006679,-0.005173,1.985108,0.004211,0.904067,-0.015989,0.102553,0.457073,0.807229,2.725932,0.004830,4.749998,,,,,,,,
1499476150956163784!,system_09,4.048078,2.282539,,0.292323,0.064237,-0.014429,-0.005544,2.039014,0.006556,0.859847,-0.054423,0.171630,0.416059,0.806453,2.380678,0.015128,5.044374,,,,,,,,
1499476150956163784!,system_09,5.361692,1.843048,,0.297633,0.074763,-0.001892,0.003669,2.100233,-0.002636,0.787653,-0.020182,0.220149,0.449093,0.787926,1.838001,0.032069,4.680408,,,,,,,,
1499476150956163784!,system_09,7.017135,1.698074,,0.127944,-0.026459,0.001995,0.018201,2.132201,0.010146,0.842312,0.079422,0.178558,0.541260,0.781438,1.616733,-0.002790,4.857323,,,,,,,,
1499476150956163784!,system_09,9.103359,2.233626,,0.105374,0.051760,-0.007108,0.003575,1.892475,-0.026055,0.733594,-0.027171,0.222174,0.442791,0.879467,1.732929,0.002779,4.851106,,,,,,,,
1499476150956163784!,system_09,11.732462,2.670358,,0.045280,0.080511,-0.013937,0.009955,2.092933,-0.023893,0.902409,0.024908,0.347235,0.459754,0.773867,1.884203,0.071827,4.860936,,,,,,,,
1499476150956163784!,system_09,15.045711,3.290117,,0.038363,0.145288,-0.000961,0.004915,2.042513,-0.013682,0.922138,0.010392,0.345905,0.510169,0.817404,1.250133,-0.016092,4.723016,,,,,,,,
1499476150956163784!,system_09,19.221135,3.349878,,0.031745,-0.104909,-0.005546,-0.013500,1.995265,0.017750,0.891115,0.014239,0.283106,0.490375,0.872396,0.702117,-0.031780,4.948700,,,,,,,,
1499476150956163784!,system_09,24.483092,3.130259,,0.036038,-0.023238,0.002210,-0.009608,2.095897,-0.020352,0.792287,-0.061838,0.195779,0.445212,0.725231,-0.001541,0.036510,4.980253,,,,,,,,
1499476150956163784!,system_09,31.114318,3.360408,,0.004742,0.082962,-0.002393,0.003511,2.125800,0.025377,0.862812,-0.009152,0.084852,0.451831,0.765317,0.200325,0.040086,4.849271,,,,,,,,
1499476150956163784!,system_09,39.471125,3.586530,,-0.025400,0.077115,0.005377,0.007621,2.043255,-0.001930,0.876409,0.030217,0.107953,0.439185,0.735209,0.088788,0.018304,4.515589,,,,,,,,
1499476150956163784!,system_09,50.002546,3.766056,,0.019285,-0.087482,0.007837,-0.007531,2.004457,0.023075,0.825770,0.006641,0.019761,0.429163,0.899888,-0.387915,-0.044312,4.760477,,,,,,,,
1499476150956163784!,system_09,63.274460,3.729462,,-0.005264,0.045504,0.003249,-0.001446,1.966332,-0.015152,0.856235,0.044405,-0.031558,0.458531,1.028777,0.388646,-0.040872,4.488753,,,,,,,,
1499476150956163784!,system_09,80.000000,3.991312,,-0.006839,0.007293,0.001708,0.010903,2.025865,-0.016967,0.813535,-0.034983,-0.025413,0.482844,0.847306,-0.097715,0.029238,4.565202,,,,,,,,
