System,t,target X,target Y
great-bipedal-bumblebee,0.000000,1.190821,-0.387769
great-bipedal-bumblebee,0.010000,1.153983,-0.457217
great-bipedal-bumblebee,0.020000,1.117975,-0.525135
great-bipedal-bumblebee,0.030000,1.082789,-0.591535
great-bipedal-bumblebee,0.040000,1.048416,-0.656430
great-bipedal-bumblebee,0.050000,1.014848,-0.719831
great-bipedal-bumblebee,0.060000,0.982074,-0.781751
great-bipedal-bumblebee,0.070000,0.950087,-0.842201
great-bipedal-bumblebee,0.080000,0.918877,-0.901194
great-bipedal-bumblebee,0.090000,0.888436,-0.958741
great-bipedal-bumblebee,0.100000,0.858755,-1.014854
great-bipedal-bumblebee,0.110000,0.829824,-1.069546
great-bipedal-bumblebee,0.120000,0.801636,-1.122828
great-bipedal-bumblebee,0.130000,0.774181,-1.174713
great-bipedal-bumblebee,0.140000,0.747450,-1.225212
great-bipedal-bumblebee,0.150000,0.721435,-1.274337
great-bipedal-bumblebee,0.160000,0.696126,-1.322100
great-bipedal-bumblebee,0.170000,0.671515,-1.368514
great-bipedal-bumblebee,0.180000,0.647593,-1.413590
great-bipedal-bumblebee,0.190000,0.624351,-1.457341
great-bipedal-bumblebee,0.200000,0.601780,-1.499778
great-bipedal-bumblebee,0.210000,0.579871,-1.540913
great-bipedal-bumblebee,0.220000,0.558616,-1.580758
great-bipedal-bumblebee,0.230000,0.538005,-1.619325
great-bipedal-bumblebee,0.240000,0.518030,-1.656627
great-bipedal-bumblebee,0.250000,0.498682,-1.692675
great-bipedal-bumblebee,0.260000,0.479952,-1.727481
great-bipedal-bumblebee,0.270000,0.461831,-1.761058
great-bipedal-bumblebee,0.280000,0.444310,-1.793416
great-bipedal-bumblebee,0.290000,0.427381,-1.824569
great-bipedal-bumblebee,0.300000,0.411034,-1.854528
great-bipedal-bumblebee,0.310000,0.395260,-1.883305
great-bipedal-bumblebee,0.320000,0.380052,-1.910913
great-bipedal-bumblebee,0.330000,0.365399,-1.937362
great-bipedal-bumblebee,0.340000,0.351293,-1.962666
great-bipedal-bumblebee,0.350000,0.337726,-1.986835
great-bipedal-bumblebee,0.360000,0.324688,-2.009883
great-bipedal-bumblebee,0.370000,0.312170,-2.031821
great-bipedal-bumblebee,0.380000,0.300164,-2.052661
great-bipedal-bumblebee,0.390000,0.288661,-2.072415
great-bipedal-bumblebee,0.400000,0.277652,-2.091095
great-bipedal-bumblebee,0.410000,0.267128,-2.108713
great-bipedal-bumblebee,0.420000,0.257079,-2.125282
great-bipedal-bumblebee,0.430000,0.247498,-2.140812
great-bipedal-bumblebee,0.440000,0.238376,-2.155316
great-bipedal-bumblebee,0.450000,0.229703,-2.168807
great-bipedal-bumblebee,0.460000,0.221471,-2.181295
great-bipedal-bumblebee,0.470000,0.213671,-2.192793
great-bipedal-bumblebee,0.480000,0.206293,-2.203313
great-bipedal-bumblebee,0.490000,0.199330,-2.212868
great-bipedal-bumblebee,0.500000,0.192772,-2.221468
great-bipedal-bumblebee,0.510000,0.186610,-2.229126
great-bipedal-bumblebee,0.520000,0.180836,-2.235854
great-bipedal-bumblebee,0.530000,0.175441,-2.241664
great-bipedal-bumblebee,0.540000,0.170415,-2.246568
great-bipedal-bumblebee,0.550000,0.165750,-2.250578
great-bipedal-bumblebee,0.560000,0.161438,-2.253706
great-bipedal-bumblebee,0.570000,0.157468,-2.255963
great-bipedal-bumblebee,0.580000,0.153833,-2.257363
great-bipedal-bumblebee,0.590000,0.150523,-2.257916
great-bipedal-bumblebee,0.600000,0.147530,-2.257635
great-bipedal-bumblebee,0.610000,0.144845,-2.256532
great-bipedal-bumblebee,0.620000,0.142459,-2.254619
great-bipedal-bumblebee,0.630000,0.140362,-2.251908
great-bipedal-bumblebee,0.640000,0.138547,-2.248410
great-bipedal-bumblebee,0.650000,0.137004,-2.244139
