System,t,target X,target Y
great-devious-beetle,0.000000,-1.464043,0.961936
great-devious-beetle,0.010000,-1.463997,0.942571
great-devious-beetle,0.020000,-1.461351,0.894876
great-devious-beetle,0.030000,-1.452700,0.834023
great-devious-beetle,0.040000,-1.436932,0.767152
great-devious-beetle,0.050000,-1.414136,0.697785
great-devious-beetle,0.060000,-1.384896,0.627856
great-devious-beetle,0.070000,-1.349996,0.558580
great-devious-beetle,0.080000,-1.310293,0.490812
great-devious-beetle,0.090000,-1.266654,0.425210
great-devious-beetle,0.100000,-1.219904,0.362270
great-devious-beetle,0.110000,-1.170830,0.302362
great-devious-beetle,0.120000,-1.120179,0.245756
great-devious-beetle,0.130000,-1.068645,0.192627
great-devious-beetle,0.140000,-1.016865,0.143070
great-devious-beetle,0.150000,-0.965410,0.097104
great-devious-beetle,0.160000,-0.914788,0.054680
great-devious-beetle,0.170000,-0.865444,0.015687
great-devious-beetle,0.180000,-0.817765,-0.020040
great-devious-beetle,0.190000,-0.772080,-0.052716
great-devious-beetle,0.200000,-0.728606,-0.082585
great-devious-beetle,0.210000,-0.687508,-0.109924
great-devious-beetle,0.220000,-0.648945,-0.135052
great-devious-beetle,0.230000,-0.613023,-0.158319
great-devious-beetle,0.240000,-0.579797,-0.180094
great-devious-beetle,0.250000,-0.549268,-0.200762
great-devious-beetle,0.260000,-0.521385,-0.220716
great-devious-beetle,0.270000,-0.496040,-0.240349
great-devious-beetle,0.280000,-0.473073,-0.260043
great-devious-beetle,0.290000,-0.452274,-0.280166
great-devious-beetle,0.300000,-0.433384,-0.301056
great-devious-beetle,0.310000,-0.416100,-0.323022
great-devious-beetle,0.320000,-0.400082,-0.346327
great-devious-beetle,0.330000,-0.384965,-0.371189
great-devious-beetle,0.340000,-0.370362,-0.397772
great-devious-beetle,0.350000,-0.355880,-0.426181
great-devious-beetle,0.360000,-0.341128,-0.456466
great-devious-beetle,0.370000,-0.325735,-0.488612
great-devious-beetle,0.380000,-0.309361,-0.522550
great-devious-beetle,0.390000,-0.291713,-0.558156
great-devious-beetle,0.400000,-0.272557,-0.595258
great-devious-beetle,0.410000,-0.251735,-0.633645
great-devious-beetle,0.420000,-0.229174,-0.673077
great-devious-beetle,0.430000,-0.204897,-0.713301
great-devious-beetle,0.440000,-0.178966,-0.754008
great-devious-beetle,0.450000,-0.151540,-0.794927
great-devious-beetle,0.460000,-0.122916,-0.835841
great-devious-beetle,0.470000,-0.093397,-0.876542
great-devious-beetle,0.480000,-0.063281,-0.916847
great-devious-beetle,0.490000,-0.033008,-0.956657
great-devious-beetle,0.500000,-0.003020,-0.995895
great-devious-beetle,0.510000,0.026389,-1.034496
great-devious-beetle,0.520000,0.054825,-1.072437
great-devious-beetle,0.530000,0.081937,-1.109707
great-devious-beetle,0.540000,0.107432,-1.146291
great-devious-beetle,0.550000,0.131093,-1.182172
great-devious-beetle,0.560000,0.152775,-1.217322
great-devious-beetle,0.570000,0.172409,-1.251706
great-devious-beetle,0.580000,0.189995,-1.285278
great-devious-beetle,0.590000,0.205589,-1.317991
great-devious-beetle,0.600000,0.219299,-1.349797
great-devious-beetle,0.610000,0.231263,-1.380651
great-devious-beetle,0.620000,0.241643,-1.410520
great-devious-beetle,0.630000,0.250608,-1.439380
great-devious-beetle,0.640000,0.258329,-1.467219
great-devious-beetle,0.650000,0.264969,-1.494037
great-devious-beetle,0.660000,0.270678,-1.519848
great-devious-beetle,0.670000,0.275591,-1.544672
great-devious-beetle,0.680000,0.279829,-1.568540
great-devious-beetle,0.690000,0.283504,-1.591501
great-devious-beetle,0.700000,0.286709,-1.613606
great-devious-beetle,0.710000,0.289512,-1.634893
great-devious-beetle,0.720000,0.291973,-1.655403
great-devious-beetle,0.730000,0.294142,-1.675173
great-devious-beetle,0.740000,0.296060,-1.694240
great-devious-beetle,0.750000,0.297763,-1.712641
great-devious-beetle,0.760000,0.299279,-1.730409
great-devious-beetle,0.770000,0.300634,-1.747576
great-devious-beetle,0.780000,0.301849,-1.764172
great-devious-beetle,0.790000,0.302941,-1.780224
great-devious-beetle,0.800000,0.303927,-1.795759
great-devious-beetle,0.810000,0.304817,-1.810801
great-devious-beetle,0.820000,0.305625,-1.825383
great-devious-beetle,0.830000,0.306360,-1.839527
great-devious-beetle,0.840000,0.307030,-1.853251
great-devious-beetle,0.850000,0.307641,-1.866571
great-devious-beetle,0.860000,0.308199,-1.879504
great-devious-beetle,0.870000,0.308708,-1.892063
great-devious-beetle,0.880000,0.309175,-1.904263
great-devious-beetle,0.890000,0.309601,-1.916116
great-devious-beetle,0.900000,0.309991,-1.927635
great-devious-beetle,0.910000,0.310348,-1.938829
great-devious-beetle,0.920000,0.310674,-1.949711
great-devious-beetle,0.930000,0.310972,-1.960290
great-devious-beetle,0.940000,0.311243,-1.970576
great-devious-beetle,0.950000,0.311490,-1.980577
great-devious-beetle,0.960000,0.311714,-1.990303
great-devious-beetle,0.970000,0.311917,-1.999761
great-devious-beetle,0.980000,0.312100,-2.008959
great-devious-beetle,0.990000,0.312265,-2.017905
great-devious-beetle,1.000000,0.312412,-2.026606
great-devious-beetle,1.010000,0.312542,-2.035069
great-devious-beetle,1.020000,0.312657,-2.043300
great-devious-beetle,1.030000,0.312758,-2.051306
great-devious-beetle,1.040000,0.312844,-2.059093
great-devious-beetle,1.050000,0.312918,-2.066667
great-devious-beetle,1.060000,0.312979,-2.074034
great-devious-beetle,1.070000,0.313028,-2.081199
great-devious-beetle,1.080000,0.313066,-2.088167
great-devious-beetle,1.090000,0.313093,-2.094943
great-devious-beetle,1.100000,0.313110,-2.101534
great-devious-beetle,1.110000,0.313118,-2.107943
great-devious-beetle,1.120000,0.313116,-2.114175
great-devious-beetle,1.130000,0.313106,-2.120235
great-devious-beetle,1.140000,0.313087,-2.126127
great-devious-beetle,1.150000,0.313060,-2.131856
great-devious-beetle,1.160000,0.313026,-2.137425
great-devious-beetle,1.170000,0.312984,-2.142840
great-devious-beetle,1.180000,0.312936,-2.148103
great-devious-beetle,1.190000,0.312881,-2.153219
great-devious-beetle,1.200000,0.312820,-2.158192
great-devious-beetle,1.210000,0.312752,-2.163025
great-devious-beetle,1.220000,0.312679,-2.167721
great-devious-beetle,1.230000,0.312601,-2.172285
great-devious-beetle,1.240000,0.312517,-2.176719
great-devious-beetle,1.250000,0.312429,-2.181028
great-devious-beetle,1.260000,0.312335,-2.185213
great-devious-beetle,1.270000,0.312238,-2.189279
great-devious-beetle,1.280000,0.312136,-2.193229
great-devious-beetle,1.290000,0.312029,-2.197064
great-devious-beetle,1.300000,0.311920,-2.200790
great-devious-beetle,1.310000,0.311806,-2.204407
great-devious-beetle,1.320000,0.311689,-2.207919
great-devious-beetle,1.330000,0.311569,-2.211329
great-devious-beetle,1.340000,0.311446,-2.214640
great-devious-beetle,1.350000,0.311319,-2.217853
great-devious-beetle,1.360000,0.311190,-2.220972
great-devious-beetle,1.370000,0.311059,-2.223999
great-devious-beetle,1.380000,0.310925,-2.226937
great-devious-beetle,1.390000,0.310789,-2.229787
great-devious-beetle,1.400000,0.310650,-2.232552
great-devious-beetle,1.410000,0.310510,-2.235235
great-devious-beetle,1.420000,0.310368,-2.237837
great-devious-beetle,1.430000,0.310224,-2.240360
great-devious-beetle,1.440000,0.310078,-2.242808
