System,t,target X,target Y
great-impartial-bumblebee,0.000000,-2.109000,-1.492000
great-impartial-bumblebee,0.010000,-2.109000,-1.455188
great-impartial-bumblebee,0.020000,-2.109000,-1.418376
great-impartial-bumblebee,0.030000,-2.109000,-1.381565
great-impartial-bumblebee,0.040000,-2.109000,-1.344753
great-impartial-bumblebee,0.050000,-2.109000,-1.307941
great-impartial-bumblebee,0.060000,-2.109000,-1.271129
great-impartial-bumblebee,0.070000,-2.109000,-1.234318
great-impartial-bumblebee,0.080000,-2.109000,-1.197506
great-impartial-bumblebee,0.090000,-2.109000,-1.160694
great-impartial-bumblebee,0.100000,-2.109000,-1.123882
great-impartial-bumblebee,0.110000,-2.109000,-1.087071
great-impartial-bumblebee,0.120000,-2.109000,-1.050259
great-impartial-bumblebee,0.130000,-2.109000,-1.013447
great-impartial-bumblebee,0.140000,-2.109000,-0.976635
great-impartial-bumblebee,0.150000,-2.109000,-0.939824
great-impartial-bumblebee,0.160000,-2.109000,-0.903012
great-impartial-bumblebee,0.170000,-2.109000,-0.866200
great-impartial-bumblebee,0.180000,-2.109000,-0.829388
great-impartial-bumblebee,0.190000,-2.109000,-0.792576
great-impartial-bumblebee,0.200000,-2.109000,-0.755765
great-impartial-bumblebee,0.210000,-2.109000,-0.718953
great-impartial-bumblebee,0.220000,-2.109000,-0.682141
great-impartial-bumblebee,0.230000,-2.109000,-0.645329
great-impartial-bumblebee,0.240000,-2.109000,-0.608518
great-impartial-bumblebee,0.250000,-2.109000,-0.571706
great-impartial-bumblebee,0.260000,-2.109000,-0.534894
great-impartial-bumblebee,0.270000,-2.109000,-0.498082
great-impartial-bumblebee,0.280000,-2.109000,-0.461271
great-impartial-bumblebee,0.290000,-2.109000,-0.424459
great-impartial-bumblebee,0.300000,-2.109000,-0.387647
great-impartial-bumblebee,0.310000,-2.109000,-0.350835
great-impartial-bumblebee,0.320000,-2.109000,-0.314024
great-impartial-bumblebee,0.330000,-2.109000,-0.277212
great-impartial-bumblebee,0.340000,-2.109000,-0.240400
great-impartial-bumblebee,0.350000,-2.109000,-0.203588
great-impartial-bumblebee,0.360000,-2.109000,-0.166776
great-impartial-bumblebee,0.370000,-2.109000,-0.129965
great-impartial-bumblebee,0.380000,-2.109000,-0.093153
great-impartial-bumblebee,0.390000,-2.109000,-0.056341
