System,t,target X,target Y
great-mauve-beetle,0.000000,2.730973,0.639314
great-mauve-beetle,0.010000,2.731108,0.594757
great-mauve-beetle,0.020000,2.730738,0.550800
great-mauve-beetle,0.030000,2.729867,0.507439
great-mauve-beetle,0.040000,2.728500,0.464671
great-mauve-beetle,0.050000,2.726639,0.422493
great-mauve-beetle,0.060000,2.724288,0.380900
great-mauve-beetle,0.070000,2.721452,0.339889
great-mauve-beetle,0.080000,2.718134,0.299457
great-mauve-beetle,0.090000,2.714337,0.259600
great-mauve-beetle,0.100000,2.710066,0.220316
great-mauve-beetle,0.110000,2.705323,0.181600
great-mauve-beetle,0.120000,2.700113,0.143449
great-mauve-beetle,0.130000,2.694440,0.105859
great-mauve-beetle,0.140000,2.688307,0.068828
great-mauve-beetle,0.150000,2.681717,0.032351
great-mauve-beetle,0.160000,2.674675,-0.003575
great-mauve-beetle,0.170000,2.667184,-0.038953
great-mauve-beetle,0.180000,2.659248,-0.073787
great-mauve-beetle,0.190000,2.650871,-0.108080
great-mauve-beetle,0.200000,2.642056,-0.141836
great-mauve-beetle,0.210000,2.632808,-0.175058
great-mauve-beetle,0.220000,2.623129,-0.207749
great-mauve-beetle,0.230000,2.613023,-0.239914
great-mauve-beetle,0.240000,2.602495,-0.271555
great-mauve-beetle,0.250000,2.591547,-0.302677
great-mauve-beetle,0.260000,2.580184,-0.333282
great-mauve-beetle,0.270000,2.568410,-0.363374
great-mauve-beetle,0.280000,2.556227,-0.392956
great-mauve-beetle,0.290000,2.543640,-0.422032
great-mauve-beetle,0.300000,2.530653,-0.450606
great-mauve-beetle,0.310000,2.517269,-0.478681
great-mauve-beetle,0.320000,2.503491,-0.506259
great-mauve-beetle,0.330000,2.489325,-0.533346
great-mauve-beetle,0.340000,2.474772,-0.559944
great-mauve-beetle,0.350000,2.459837,-0.586056
great-mauve-beetle,0.360000,2.444524,-0.611687
great-mauve-beetle,0.370000,2.428837,-0.636839
great-mauve-beetle,0.380000,2.412778,-0.661517
great-mauve-beetle,0.390000,2.396353,-0.685723
great-mauve-beetle,0.400000,2.379564,-0.709461
great-mauve-beetle,0.410000,2.362415,-0.732734
great-mauve-beetle,0.420000,2.344910,-0.755547
great-mauve-beetle,0.430000,2.327052,-0.777902
great-mauve-beetle,0.440000,2.308846,-0.799803
great-mauve-beetle,0.450000,2.290295,-0.821253
great-mauve-beetle,0.460000,2.271403,-0.842256
great-mauve-beetle,0.470000,2.252173,-0.862815
great-mauve-beetle,0.480000,2.232610,-0.882934
great-mauve-beetle,0.490000,2.212716,-0.902616
great-mauve-beetle,0.500000,2.192496,-0.921865
great-mauve-beetle,0.510000,2.171953,-0.940684
great-mauve-beetle,0.520000,2.151091,-0.959077
great-mauve-beetle,0.530000,2.129914,-0.977047
great-mauve-beetle,0.540000,2.108425,-0.994597
great-mauve-beetle,0.550000,2.086629,-1.011731
great-mauve-beetle,0.560000,2.064528,-1.028453
great-mauve-beetle,0.570000,2.042127,-1.044766
great-mauve-beetle,0.580000,2.019429,-1.060673
great-mauve-beetle,0.590000,1.996438,-1.076178
great-mauve-beetle,0.600000,1.973157,-1.091284
great-mauve-beetle,0.610000,1.949591,-1.105996
great-mauve-beetle,0.620000,1.925744,-1.120315
great-mauve-beetle,0.630000,1.901618,-1.134246
great-mauve-beetle,0.640000,1.877217,-1.147793
great-mauve-beetle,0.650000,1.852546,-1.160958
great-mauve-beetle,0.660000,1.827607,-1.173745
great-mauve-beetle,0.670000,1.802405,-1.186157
great-mauve-beetle,0.680000,1.776944,-1.198199
great-mauve-beetle,0.690000,1.751226,-1.209874
great-mauve-beetle,0.700000,1.725257,-1.221184
great-mauve-beetle,0.710000,1.699038,-1.232134
great-mauve-beetle,0.720000,1.672575,-1.242726
great-mauve-beetle,0.730000,1.645871,-1.252965
great-mauve-beetle,0.740000,1.618929,-1.262854
great-mauve-beetle,0.750000,1.591754,-1.272397
great-mauve-beetle,0.760000,1.564348,-1.281596
great-mauve-beetle,0.770000,1.536717,-1.290455
great-mauve-beetle,0.780000,1.508862,-1.298978
great-mauve-beetle,0.790000,1.480789,-1.307168
great-mauve-beetle,0.800000,1.452501,-1.315029
great-mauve-beetle,0.810000,1.424001,-1.322564
great-mauve-beetle,0.820000,1.395293,-1.329776
great-mauve-beetle,0.830000,1.366382,-1.336670
great-mauve-beetle,0.840000,1.337270,-1.343248
great-mauve-beetle,0.850000,1.307961,-1.349514
great-mauve-beetle,0.860000,1.278460,-1.355471
