System,t,target X,target Y
great-piquant-bumblebee,0.000000,-0.000349,2.144941
great-piquant-bumblebee,0.010000,0.065066,2.112619
great-piquant-bumblebee,0.020000,0.128945,2.081380
great-piquant-bumblebee,0.030000,0.191305,2.051214
great-piquant-bumblebee,0.040000,0.252159,2.022107
great-piquant-bumblebee,0.050000,0.311523,1.994047
great-piquant-bumblebee,0.060000,0.369412,1.967021
great-piquant-bumblebee,0.070000,0.425839,1.941017
great-piquant-bumblebee,0.080000,0.480821,1.916023
great-piquant-bumblebee,0.090000,0.534371,1.892025
great-piquant-bumblebee,0.100000,0.586504,1.869011
great-piquant-bumblebee,0.110000,0.637236,1.846969
great-piquant-bumblebee,0.120000,0.686580,1.825887
great-piquant-bumblebee,0.130000,0.734553,1.805750
great-piquant-bumblebee,0.140000,0.781168,1.786548
great-piquant-bumblebee,0.150000,0.826440,1.768267
great-piquant-bumblebee,0.160000,0.870384,1.750895
great-piquant-bumblebee,0.170000,0.913015,1.734419
great-piquant-bumblebee,0.180000,0.954348,1.718827
great-piquant-bumblebee,0.190000,0.994397,1.704107
great-piquant-bumblebee,0.200000,1.033177,1.690245
great-piquant-bumblebee,0.210000,1.070703,1.677229
great-piquant-bumblebee,0.220000,1.106990,1.665047
great-piquant-bumblebee,0.230000,1.142052,1.653687
great-piquant-bumblebee,0.240000,1.175905,1.643134
great-piquant-bumblebee,0.250000,1.208562,1.633378
great-piquant-bumblebee,0.260000,1.240040,1.624405
great-piquant-bumblebee,0.270000,1.270352,1.616203
great-piquant-bumblebee,0.280000,1.299513,1.608759
great-piquant-bumblebee,0.290000,1.327538,1.602061
great-piquant-bumblebee,0.300000,1.354443,1.596096
great-piquant-bumblebee,0.310000,1.380241,1.590853
great-piquant-bumblebee,0.320000,1.404947,1.586317
great-piquant-bumblebee,0.330000,1.428577,1.582477
great-piquant-bumblebee,0.340000,1.451144,1.579320
great-piquant-bumblebee,0.350000,1.472665,1.576833
great-piquant-bumblebee,0.360000,1.493152,1.575005
great-piquant-bumblebee,0.370000,1.512623,1.573821
great-piquant-bumblebee,0.380000,1.531090,1.573271
great-piquant-bumblebee,0.390000,1.548569,1.573341
great-piquant-bumblebee,0.400000,1.565075,1.574019
great-piquant-bumblebee,0.410000,1.580622,1.575292
great-piquant-bumblebee,0.420000,1.595225,1.577148
great-piquant-bumblebee,0.430000,1.608899,1.579574
great-piquant-bumblebee,0.440000,1.621659,1.582558
great-piquant-bumblebee,0.450000,1.633520,1.586087
great-piquant-bumblebee,0.460000,1.644496,1.590148
great-piquant-bumblebee,0.470000,1.654601,1.594729
great-piquant-bumblebee,0.480000,1.663852,1.599818
great-piquant-bumblebee,0.490000,1.672262,1.605402
great-piquant-bumblebee,0.500000,1.679846,1.611467
great-piquant-bumblebee,0.510000,1.686620,1.618003
great-piquant-bumblebee,0.520000,1.692598,1.624996
great-piquant-bumblebee,0.530000,1.697794,1.632434
great-piquant-bumblebee,0.540000,1.702224,1.640303
great-piquant-bumblebee,0.550000,1.705901,1.648593
great-piquant-bumblebee,0.560000,1.708842,1.657289
great-piquant-bumblebee,0.570000,1.711061,1.666380
great-piquant-bumblebee,0.580000,1.712572,1.675853
great-piquant-bumblebee,0.590000,1.713391,1.685696
great-piquant-bumblebee,0.600000,1.713531,1.695895
great-piquant-bumblebee,0.610000,1.713009,1.706438
great-piquant-bumblebee,0.620000,1.711838,1.717314
great-piquant-bumblebee,0.630000,1.710033,1.728508
great-piquant-bumblebee,0.640000,1.707610,1.740010
great-piquant-bumblebee,0.650000,1.704583,1.751805
great-piquant-bumblebee,0.660000,1.700966,1.763882
great-piquant-bumblebee,0.670000,1.696775,1.776228
great-piquant-bumblebee,0.680000,1.692024,1.788831
great-piquant-bumblebee,0.690000,1.686728,1.801677
great-piquant-bumblebee,0.700000,1.680902,1.814755
great-piquant-bumblebee,0.710000,1.674561,1.828052
great-piquant-bumblebee,0.720000,1.667719,1.841555
great-piquant-bumblebee,0.730000,1.660391,1.855252
great-piquant-bumblebee,0.740000,1.652592,1.869130
great-piquant-bumblebee,0.750000,1.644337,1.883177
great-piquant-bumblebee,0.760000,1.635640,1.897380
great-piquant-bumblebee,0.770000,1.626517,1.911727
great-piquant-bumblebee,0.780000,1.616981,1.926204
great-piquant-bumblebee,0.790000,1.607048,1.940800
great-piquant-bumblebee,0.800000,1.596733,1.955503
great-piquant-bumblebee,0.810000,1.586050,1.970298
great-piquant-bumblebee,0.820000,1.575015,1.985174
great-piquant-bumblebee,0.830000,1.563641,2.000119
great-piquant-bumblebee,0.840000,1.551943,2.015120
great-piquant-bumblebee,0.850000,1.539938,2.030163
great-piquant-bumblebee,0.860000,1.527638,2.045237
great-piquant-bumblebee,0.870000,1.515059,2.060330
great-piquant-bumblebee,0.880000,1.502216,2.075428
great-piquant-bumblebee,0.890000,1.489124,2.090519
great-piquant-bumblebee,0.900000,1.475797,2.105591
great-piquant-bumblebee,0.910000,1.462250,2.120630
great-piquant-bumblebee,0.920000,1.448498,2.135625
great-piquant-bumblebee,0.930000,1.434555,2.150563
great-piquant-bumblebee,0.940000,1.420437,2.165431
great-piquant-bumblebee,0.950000,1.406158,2.180217
great-piquant-bumblebee,0.960000,1.391733,2.194908
great-piquant-bumblebee,0.970000,1.377176,2.209492
great-piquant-bumblebee,0.980000,1.362504,2.223956
great-piquant-bumblebee,0.990000,1.347729,2.238287
great-piquant-bumblebee,1.000000,1.332867,2.252473
great-piquant-bumblebee,1.010000,1.317933,2.266502
great-piquant-bumblebee,1.020000,1.302942,2.280361
great-piquant-bumblebee,1.030000,1.287908,2.294038
great-piquant-bumblebee,1.040000,1.272846,2.307519
great-piquant-bumblebee,1.050000,1.257771,2.320792
great-piquant-bumblebee,1.060000,1.242698,2.333845
great-piquant-bumblebee,1.070000,1.227641,2.346666
great-piquant-bumblebee,1.080000,1.212616,2.359241
great-piquant-bumblebee,1.090000,1.197636,2.371558
great-piquant-bumblebee,1.100000,1.182717,2.383605
great-piquant-bumblebee,1.110000,1.167874,2.395368
great-piquant-bumblebee,1.120000,1.153121,2.406837
