System,t,target X,target Y
great-proficient-bumblebee,0.000000,0.044458,-1.396531
great-proficient-bumblebee,0.010000,0.040453,-1.391209
great-proficient-bumblebee,0.020000,0.028949,-1.375920
great-proficient-bumblebee,0.030000,0.010919,-1.351958
great-proficient-bumblebee,0.040000,-0.012762,-1.320485
great-proficient-bumblebee,0.050000,-0.041313,-1.282542
great-proficient-bumblebee,0.060000,-0.074031,-1.239059
great-proficient-bumblebee,0.070000,-0.110290,-1.190870
great-proficient-bumblebee,0.080000,-0.149528,-1.138723
great-proficient-bumblebee,0.090000,-0.191243,-1.083284
great-proficient-bumblebee,0.100000,-0.234986,-1.025149
great-proficient-bumblebee,0.110000,-0.280356,-0.964852
great-proficient-bumblebee,0.120000,-0.326993,-0.902871
great-proficient-bumblebee,0.130000,-0.374578,-0.839631
great-proficient-bumblebee,0.140000,-0.422831,-0.775501
great-proficient-bumblebee,0.150000,-0.471509,-0.710808
great-proficient-bumblebee,0.160000,-0.520397,-0.645836
great-proficient-bumblebee,0.170000,-0.569308,-0.580833
great-proficient-bumblebee,0.180000,-0.618079,-0.516016
great-proficient-bumblebee,0.190000,-0.666570,-0.451571
great-proficient-bumblebee,0.200000,-0.714666,-0.387651
great-proficient-bumblebee,0.210000,-0.762264,-0.324393
great-proficient-bumblebee,0.220000,-0.809277,-0.261913
great-proficient-bumblebee,0.230000,-0.855630,-0.200310
great-proficient-bumblebee,0.240000,-0.901260,-0.139666
great-proficient-bumblebee,0.250000,-0.946116,-0.080053
great-proficient-bumblebee,0.260000,-0.990152,-0.021528
great-proficient-bumblebee,0.270000,-1.033335,0.035862
great-proficient-bumblebee,0.280000,-1.075636,0.092080
great-proficient-bumblebee,0.290000,-1.117034,0.147098
great-proficient-bumblebee,0.300000,-1.157512,0.200893
great-proficient-bumblebee,0.310000,-1.197059,0.253452
great-proficient-bumblebee,0.320000,-1.235669,0.304764
great-proficient-bumblebee,0.330000,-1.273338,0.354827
great-proficient-bumblebee,0.340000,-1.310068,0.403641
great-proficient-bumblebee,0.350000,-1.345860,0.451210
great-proficient-bumblebee,0.360000,-1.380722,0.497541
great-proficient-bumblebee,0.370000,-1.414661,0.542646
great-proficient-bumblebee,0.380000,-1.447686,0.586536
great-proficient-bumblebee,0.390000,-1.479814,0.629235
great-proficient-bumblebee,0.400000,-1.511063,0.670766
great-proficient-bumblebee,0.410000,-1.541447,0.711146
great-proficient-bumblebee,0.420000,-1.570981,0.750396
great-proficient-bumblebee,0.430000,-1.599680,0.788538
great-proficient-bumblebee,0.440000,-1.627561,0.825591
great-proficient-bumblebee,0.450000,-1.654640,0.861580
great-proficient-bumblebee,0.460000,-1.680935,0.896526
great-proficient-bumblebee,0.470000,-1.706463,0.930453
great-proficient-bumblebee,0.480000,-1.731241,0.963383
great-proficient-bumblebee,0.490000,-1.755286,0.995339
great-proficient-bumblebee,0.500000,-1.778616,1.026344
great-proficient-bumblebee,0.510000,-1.801248,1.056423
great-proficient-bumblebee,0.520000,-1.823199,1.085596
great-proficient-bumblebee,0.530000,-1.844487,1.113888
great-proficient-bumblebee,0.540000,-1.865128,1.141320
great-proficient-bumblebee,0.550000,-1.885139,1.167915
great-proficient-bumblebee,0.560000,-1.904537,1.193694
great-proficient-bumblebee,0.570000,-1.923336,1.218678
great-proficient-bumblebee,0.580000,-1.941554,1.242890
great-proficient-bumblebee,0.590000,-1.959206,1.266349
great-proficient-bumblebee,0.600000,-1.976306,1.289076
great-proficient-bumblebee,0.610000,-1.992871,1.311090
great-proficient-bumblebee,0.620000,-2.008914,1.332412
great-proficient-bumblebee,0.630000,-2.024450,1.353059
great-proficient-bumblebee,0.640000,-2.039492,1.373050
great-proficient-bumblebee,0.650000,-2.054054,1.392404
great-proficient-bumblebee,0.660000,-2.068150,1.411138
great-proficient-bumblebee,0.670000,-2.081793,1.429268
great-proficient-bumblebee,0.680000,-2.094994,1.446813
great-proficient-bumblebee,0.690000,-2.107767,1.463788
great-proficient-bumblebee,0.700000,-2.120123,1.480209
great-proficient-bumblebee,0.710000,-2.132073,1.496092
great-proficient-bumblebee,0.720000,-2.143631,1.511451
great-proficient-bumblebee,0.730000,-2.154805,1.526302
great-proficient-bumblebee,0.740000,-2.165608,1.540659
great-proficient-bumblebee,0.750000,-2.176050,1.554536
great-proficient-bumblebee,0.760000,-2.186143,1.567951
great-proficient-bumblebee,0.770000,-2.195910,1.580931
great-proficient-bumblebee,0.780000,-2.205361,1.593491
great-proficient-bumblebee,0.790000,-2.214502,1.605640
great-proficient-bumblebee,0.800000,-2.223344,1.617391
great-proficient-bumblebee,0.810000,-2.231895,1.628755
great-proficient-bumblebee,0.820000,-2.240162,1.639742
great-proficient-bumblebee,0.830000,-2.248154,1.650363
great-proficient-bumblebee,0.840000,-2.255877,1.660628
great-proficient-bumblebee,0.850000,-2.263349,1.670557
great-proficient-bumblebee,0.860000,-2.270579,1.680166
great-proficient-bumblebee,0.870000,-2.277576,1.689465
great-proficient-bumblebee,0.880000,-2.284348,1.698465
great-proficient-bumblebee,0.890000,-2.290901,1.707174
great-proficient-bumblebee,0.900000,-2.297243,1.715603
great-proficient-bumblebee,0.910000,-2.303381,1.723761
great-proficient-bumblebee,0.920000,-2.309322,1.731656
great-proficient-bumblebee,0.930000,-2.315071,1.739296
great-proficient-bumblebee,0.940000,-2.320635,1.746691
great-proficient-bumblebee,0.950000,-2.326021,1.753848
great-proficient-bumblebee,0.960000,-2.331233,1.760775
great-proficient-bumblebee,0.970000,-2.336277,1.767480
great-proficient-bumblebee,0.980000,-2.341160,1.773968
great-proficient-bumblebee,0.990000,-2.345885,1.780248
great-proficient-bumblebee,1.000000,-2.350459,1.786327
great-proficient-bumblebee,1.010000,-2.354885,1.792210
great-proficient-bumblebee,1.020000,-2.359170,1.797904
great-proficient-bumblebee,1.030000,-2.363317,1.803415
great-proficient-bumblebee,1.040000,-2.367330,1.808749
great-proficient-bumblebee,1.050000,-2.371215,1.813912
great-proficient-bumblebee,1.060000,-2.374975,1.818910
great-proficient-bumblebee,1.070000,-2.378615,1.823746
great-proficient-bumblebee,1.080000,-2.382137,1.828428
great-proficient-bumblebee,1.090000,-2.385547,1.832959
great-proficient-bumblebee,1.100000,-2.388847,1.837345
great-proficient-bumblebee,1.110000,-2.392041,1.841591
great-proficient-bumblebee,1.120000,-2.395133,1.845700
great-proficient-bumblebee,1.130000,-2.398126,1.849677
great-proficient-bumblebee,1.140000,-2.401023,1.853527
great-proficient-bumblebee,1.150000,-2.403826,1.857253
great-proficient-bumblebee,1.160000,-2.406540,1.860860
great-proficient-bumblebee,1.170000,-2.409167,1.864351
great-proficient-bumblebee,1.180000,-2.411710,1.867730
great-proficient-bumblebee,1.190000,-2.414171,1.871001
great-proficient-bumblebee,1.200000,-2.416553,1.874167
great-proficient-bumblebee,1.210000,-2.418859,1.877231
great-proficient-bumblebee,1.220000,-2.421091,1.880197
great-proficient-bumblebee,1.230000,-2.423251,1.883068
great-proficient-bumblebee,1.240000,-2.425342,1.885848
great-proficient-bumblebee,1.250000,-2.427366,1.888538
great-proficient-bumblebee,1.260000,-2.429326,1.891142
great-proficient-bumblebee,1.270000,-2.431222,1.893662
great-proficient-bumblebee,1.280000,-2.433058,1.896102
great-proficient-bumblebee,1.290000,-2.434835,1.898463
great-proficient-bumblebee,1.300000,-2.436555,1.900749
great-proficient-bumblebee,1.310000,-2.438220,1.902962
great-proficient-bumblebee,1.320000,-2.439831,1.905104
great-proficient-bumblebee,1.330000,-2.441391,1.907177
great-proficient-bumblebee,1.340000,-2.442901,1.909183
great-proficient-bumblebee,1.350000,-2.444363,1.911126
great-proficient-bumblebee,1.360000,-2.445777,1.913006
great-proficient-bumblebee,1.370000,-2.447147,1.914826
great-proficient-bumblebee,1.380000,-2.448473,1.916588
great-proficient-bumblebee,1.390000,-2.449756,1.918293
great-proficient-bumblebee,1.400000,-2.450998,1.919944
great-proficient-bumblebee,1.410000,-2.452200,1.921542
great-proficient-bumblebee,1.420000,-2.453364,1.923088
great-proficient-bumblebee,1.430000,-2.454490,1.924586
great-proficient-bumblebee,1.440000,-2.455581,1.926035
great-proficient-bumblebee,1.450000,-2.456636,1.927438
great-proficient-bumblebee,1.460000,-2.457658,1.928795
great-proficient-bumblebee,1.470000,-2.458647,1.930110
great-proficient-bumblebee,1.480000,-2.459604,1.931382
great-proficient-bumblebee,1.490000,-2.460531,1.932614
great-proficient-bumblebee,1.500000,-2.461428,1.933806
great-proficient-bumblebee,1.510000,-2.462297,1.934960
great-proficient-bumblebee,1.520000,-2.463137,1.936077
great-proficient-bumblebee,1.530000,-2.463951,1.937158
great-proficient-bumblebee,1.540000,-2.464738,1.938205
great-proficient-bumblebee,1.550000,-2.465501,1.939218
great-proficient-bumblebee,1.560000,-2.466239,1.940199
great-proficient-bumblebee,1.570000,-2.466953,1.941148
great-proficient-bumblebee,1.580000,-2.467644,1.942067
great-proficient-bumblebee,1.590000,-2.468314,1.942957
great-proficient-bumblebee,1.600000,-2.468962,1.943818
great-proficient-bumblebee,1.610000,-2.469589,1.944651
great-proficient-bumblebee,1.620000,-2.470196,1.945458
great-proficient-bumblebee,1.630000,-2.470784,1.946239
great-proficient-bumblebee,1.640000,-2.471352,1.946995
great-proficient-bumblebee,1.650000,-2.471903,1.947727
great-proficient-bumblebee,1.660000,-2.472436,1.948436
great-proficient-bumblebee,1.670000,-2.472952,1.949121
great-proficient-bumblebee,1.680000,-2.473452,1.949785
great-proficient-bumblebee,1.690000,-2.473935,1.950428
great-proficient-bumblebee,1.700000,-2.474403,1.951050
great-proficient-bumblebee,1.710000,-2.474856,1.951652
great-proficient-bumblebee,1.720000,-2.475295,1.952234
great-proficient-bumblebee,1.730000,-2.475719,1.952799
great-proficient-bumblebee,1.740000,-2.476130,1.953345
great-proficient-bumblebee,1.750000,-2.476528,1.953873
great-proficient-bumblebee,1.760000,-2.476913,1.954385
great-proficient-bumblebee,1.770000,-2.477285,1.954880
great-proficient-bumblebee,1.780000,-2.477646,1.955360
great-proficient-bumblebee,1.790000,-2.477996,1.955824
great-proficient-bumblebee,1.800000,-2.478334,1.956273
great-proficient-bumblebee,1.810000,-2.478661,1.956708
great-proficient-bumblebee,1.820000,-2.478978,1.957129
great-proficient-bumblebee,1.830000,-2.479284,1.957537
great-proficient-bumblebee,1.840000,-2.479581,1.957931
great-proficient-bumblebee,1.850000,-2.479868,1.958313
