System,t,target X,target Y
great-vivacious-beetle,0.000000,-2.109000,-1.492000
great-vivacious-beetle,0.010000,-2.109000,-1.455188
great-vivacious-beetle,0.020000,-2.109000,-1.418376
great-vivacious-beetle,0.030000,-2.109000,-1.381565
great-vivacious-beetle,0.040000,-2.109000,-1.344753
great-vivacious-beetle,0.050000,-2.109000,-1.307941
great-vivacious-beetle,0.060000,-2.109000,-1.271129
great-vivacious-beetle,0.070000,-2.109000,-1.234318
great-vivacious-beetle,0.080000,-2.109000,-1.197506
great-vivacious-beetle,0.090000,-2.109000,-1.160694
great-vivacious-beetle,0.100000,-2.109000,-1.123882
great-vivacious-beetle,0.110000,-2.109000,-1.087071
great-vivacious-beetle,0.120000,-2.109000,-1.050259
great-vivacious-beetle,0.130000,-2.109000,-1.013447
great-vivacious-beetle,0.140000,-2.109000,-0.976635
great-vivacious-beetle,0.150000,-2.109000,-0.939824
great-vivacious-beetle,0.160000,-2.109000,-0.903012
great-vivacious-beetle,0.170000,-2.109000,-0.866200
great-vivacious-beetle,0.180000,-2.109000,-0.829388
great-vivacious-beetle,0.190000,-2.109000,-0.792576
great-vivacious-beetle,0.200000,-2.109000,-0.755765
great-vivacious-beetle,0.210000,-2.109000,-0.718953
great-vivacious-beetle,0.220000,-2.109000,-0.682141
great-vivacious-beetle,0.230000,-2.109000,-0.645329
great-vivacious-beetle,0.240000,-2.109000,-0.608518
great-vivacious-beetle,0.250000,-2.109000,-0.571706
great-vivacious-beetle,0.260000,-2.109000,-0.534894
great-vivacious-beetle,0.270000,-2.109000,-0.498082
great-vivacious-beetle,0.280000,-2.109000,-0.461271
great-vivacious-beetle,0.290000,-2.109000,-0.424459
great-vivacious-beetle,0.300000,-2.109000,-0.387647
great-vivacious-beetle,0.310000,-2.109000,-0.350835
great-vivacious-beetle,0.320000,-2.109000,-0.314024
great-vivacious-beetle,0.330000,-2.109000,-0.277212
great-vivacious-beetle,0.340000,-2.109000,-0.240400
great-vivacious-beetle,0.350000,-2.109000,-0.203588
great-vivacious-beetle,0.360000,-2.109000,-0.166776
great-vivacious-beetle,0.370000,-2.109000,-0.129965
great-vivacious-beetle,0.380000,-2.109000,-0.093153
great-vivacious-beetle,0.390000,-2.109000,-0.056341
great-vivacious-beetle,0.400000,-2.109000,-0.019529
great-vivacious-beetle,0.410000,-2.109000,0.017282
great-vivacious-beetle,0.420000,-2.109000,0.054094
great-vivacious-beetle,0.430000,-2.109000,0.090906
great-vivacious-beetle,0.440000,-2.109000,0.127718
great-vivacious-beetle,0.450000,-2.109000,0.164529
great-vivacious-beetle,0.460000,-2.109000,0.201341
great-vivacious-beetle,0.470000,-2.109000,0.238153
great-vivacious-beetle,0.480000,-2.109000,0.274965
great-vivacious-beetle,0.490000,-2.109000,0.311776
great-vivacious-beetle,0.500000,-2.109000,0.348588
great-vivacious-beetle,0.510000,-2.109000,0.385400
great-vivacious-beetle,0.520000,-2.109000,0.422212
great-vivacious-beetle,0.530000,-2.109000,0.459024
great-vivacious-beetle,0.540000,-2.109000,0.495835
great-vivacious-beetle,0.550000,-2.109000,0.532647
great-vivacious-beetle,0.560000,-2.109000,0.569459
great-vivacious-beetle,0.570000,-2.109000,0.606271
great-vivacious-beetle,0.580000,-2.109000,0.643082
great-vivacious-beetle,0.590000,-2.109000,0.679894
great-vivacious-beetle,0.600000,-2.109000,0.716706
great-vivacious-beetle,0.610000,-2.109000,0.753518
great-vivacious-beetle,0.620000,-2.109000,0.790329
great-vivacious-beetle,0.630000,-2.109000,0.827141
great-vivacious-beetle,0.640000,-2.109000,0.863953
great-vivacious-beetle,0.650000,-2.109000,0.900765
great-vivacious-beetle,0.660000,-2.109000,0.937576
great-vivacious-beetle,0.670000,-2.109000,0.974388
great-vivacious-beetle,0.680000,-2.109000,1.011200
great-vivacious-beetle,0.690000,-2.109000,1.048012
great-vivacious-beetle,0.700000,-2.109000,1.084824
