System,t,target X,target Y
lush-bipedal-bumblebee,0.000000,-2.109000,-1.492000
lush-bipedal-bumblebee,0.010000,-2.109000,-1.455188
lush-bipedal-bumblebee,0.020000,-2.109000,-1.418376
lush-bipedal-bumblebee,0.030000,-2.109000,-1.381565
lush-bipedal-bumblebee,0.040000,-2.109000,-1.344753
lush-bipedal-bumblebee,0.050000,-2.109000,-1.307941
lush-bipedal-bumblebee,0.060000,-2.109000,-1.271129
lush-bipedal-bumblebee,0.070000,-2.109000,-1.234318
lush-bipedal-bumblebee,0.080000,-2.109000,-1.197506
lush-bipedal-bumblebee,0.090000,-2.109000,-1.160694
lush-bipedal-bumblebee,0.100000,-2.109000,-1.123882
lush-bipedal-bumblebee,0.110000,-2.109000,-1.087071
lush-bipedal-bumblebee,0.120000,-2.109000,-1.050259
lush-bipedal-bumblebee,0.130000,-2.109000,-1.013447
lush-bipedal-bumblebee,0.140000,-2.109000,-0.976635
lush-bipedal-bumblebee,0.150000,-2.109000,-0.939824
lush-bipedal-bumblebee,0.160000,-2.109000,-0.903012
lush-bipedal-bumblebee,0.170000,-2.109000,-0.866200
lush-bipedal-bumblebee,0.180000,-2.109000,-0.829388
lush-bipedal-bumblebee,0.190000,-2.109000,-0.792576
lush-bipedal-bumblebee,0.200000,-2.109000,-0.755765
lush-bipedal-bumblebee,0.210000,-2.109000,-0.718953
lush-bipedal-bumblebee,0.220000,-2.109000,-0.682141
lush-bipedal-bumblebee,0.230000,-2.109000,-0.645329
lush-bipedal-bumblebee,0.240000,-2.109000,-0.608518
lush-bipedal-bumblebee,0.250000,-2.109000,-0.571706
lush-bipedal-bumblebee,0.260000,-2.109000,-0.534894
lush-bipedal-bumblebee,0.270000,-2.109000,-0.498082
lush-bipedal-bumblebee,0.280000,-2.109000,-0.461271
lush-bipedal-bumblebee,0.290000,-2.109000,-0.424459
lush-bipedal-bumblebee,0.300000,-2.109000,-0.387647
lush-bipedal-bumblebee,0.310000,-2.109000,-0.350835
lush-bipedal-bumblebee,0.320000,-2.109000,-0.314024
lush-bipedal-bumblebee,0.330000,-2.109000,-0.277212
lush-bipedal-bumblebee,0.340000,-2.109000,-0.240400
lush-bipedal-bumblebee,0.350000,-2.109000,-0.203588
lush-bipedal-bumblebee,0.360000,-2.109000,-0.166776
lush-bipedal-bumblebee,0.370000,-2.109000,-0.129965
lush-bipedal-bumblebee,0.380000,-2.109000,-0.093153
lush-bipedal-bumblebee,0.390000,-2.109000,-0.056341
lush-bipedal-bumblebee,0.400000,-2.109000,-0.019529
lush-bipedal-bumblebee,0.410000,-2.109000,0.017282
lush-bipedal-bumblebee,0.420000,-2.109000,0.054094
lush-bipedal-bumblebee,0.430000,-2.109000,0.090906
lush-bipedal-bumblebee,0.440000,-2.109000,0.127718
lush-bipedal-bumblebee,0.450000,-2.109000,0.164529
lush-bipedal-bumblebee,0.460000,-2.109000,0.201341
lush-bipedal-bumblebee,0.470000,-2.109000,0.238153
lush-bipedal-bumblebee,0.480000,-2.109000,0.274965
lush-bipedal-bumblebee,0.490000,-2.109000,0.311776
lush-bipedal-bumblebee,0.500000,-2.109000,0.348588
lush-bipedal-bumblebee,0.510000,-2.109000,0.385400
lush-bipedal-bumblebee,0.520000,-2.109000,0.422212
lush-bipedal-bumblebee,0.530000,-2.109000,0.459024
lush-bipedal-bumblebee,0.540000,-2.109000,0.495835
lush-bipedal-bumblebee,0.550000,-2.109000,0.532647
lush-bipedal-bumblebee,0.560000,-2.109000,0.569459
lush-bipedal-bumblebee,0.570000,-2.109000,0.606271
lush-bipedal-bumblebee,0.580000,-2.109000,0.643082
lush-bipedal-bumblebee,0.590000,-2.109000,0.679894
lush-bipedal-bumblebee,0.600000,-2.109000,0.716706
lush-bipedal-bumblebee,0.610000,-2.109000,0.753518
lush-bipedal-bumblebee,0.620000,-2.109000,0.790329
lush-bipedal-bumblebee,0.630000,-2.109000,0.827141
lush-bipedal-bumblebee,0.640000,-2.109000,0.863953
lush-bipedal-bumblebee,0.650000,-2.109000,0.900765
lush-bipedal-bumblebee,0.660000,-2.109000,0.937576
lush-bipedal-bumblebee,0.670000,-2.109000,0.974388
lush-bipedal-bumblebee,0.680000,-2.109000,1.011200
lush-bipedal-bumblebee,0.690000,-2.109000,1.048012
lush-bipedal-bumblebee,0.700000,-2.109000,1.084824
lush-bipedal-bumblebee,0.710000,-2.109000,1.121635
lush-bipedal-bumblebee,0.720000,-2.109000,1.158447
lush-bipedal-bumblebee,0.730000,-2.109000,1.195259
lush-bipedal-bumblebee,0.740000,-2.109000,1.232071
lush-bipedal-bumblebee,0.750000,-2.109000,1.268882
lush-bipedal-bumblebee,0.760000,-2.109000,1.305694
lush-bipedal-bumblebee,0.770000,-2.109000,1.342506
lush-bipedal-bumblebee,0.780000,-2.109000,1.379318
lush-bipedal-bumblebee,0.790000,-2.109000,1.416129
lush-bipedal-bumblebee,0.800000,-2.109000,1.452941
lush-bipedal-bumblebee,0.810000,-2.109000,1.489753
