System,t,target X,target Y
lush-impartial-bumblebee,0.000000,1.598022,-0.548223
lush-impartial-bumblebee,0.010000,1.631709,-0.508209
lush-impartial-bumblebee,0.020000,1.664356,-0.468338
lush-impartial-bumblebee,0.030000,1.695974,-0.428609
lush-impartial-bumblebee,0.040000,1.726576,-0.389025
lush-impartial-bumblebee,0.050000,1.756171,-0.349586
lush-impartial-bumblebee,0.060000,1.784770,-0.310294
lush-impartial-bumblebee,0.070000,1.812385,-0.271150
lush-impartial-bumblebee,0.080000,1.839026,-0.232155
lush-impartial-bumblebee,0.090000,1.864704,-0.193310
lush-impartial-bumblebee,0.100000,1.889430,-0.154618
lush-impartial-bumblebee,0.110000,1.913216,-0.116078
lush-impartial-bumblebee,0.120000,1.936071,-0.077693
lush-impartial-bumblebee,0.130000,1.958007,-0.039464
lush-impartial-bumblebee,0.140000,1.979035,-0.001391
lush-impartial-bumblebee,0.150000,1.999165,0.036524
lush-impartial-bumblebee,0.160000,2.018408,0.074279
lush-impartial-bumblebee,0.170000,2.036777,0.111874
lush-impartial-bumblebee,0.180000,2.054280,0.149307
lush-impartial-bumblebee,0.190000,2.070930,0.186577
lush-impartial-bumblebee,0.200000,2.086736,0.223682
lush-impartial-bumblebee,0.210000,2.101711,0.260622
lush-impartial-bumblebee,0.220000,2.115864,0.297394
lush-impartial-bumblebee,0.230000,2.129208,0.333999
lush-impartial-bumblebee,0.240000,2.141752,0.370434
lush-impartial-bumblebee,0.250000,2.153508,0.406699
lush-impartial-bumblebee,0.260000,2.164486,0.442792
lush-impartial-bumblebee,0.270000,2.174697,0.478711
lush-impartial-bumblebee,0.280000,2.184153,0.514456
lush-impartial-bumblebee,0.290000,2.192864,0.550025
lush-impartial-bumblebee,0.300000,2.200842,0.585418
lush-impartial-bumblebee,0.310000,2.208096,0.620632
lush-impartial-bumblebee,0.320000,2.214638,0.655666
lush-impartial-bumblebee,0.330000,2.220479,0.690520
lush-impartial-bumblebee,0.340000,2.225630,0.725192
lush-impartial-bumblebee,0.350000,2.230101,0.759680
lush-impartial-bumblebee,0.360000,2.233904,0.793984
lush-impartial-bumblebee,0.370000,2.237049,0.828102
lush-impartial-bumblebee,0.380000,2.239548,0.862033
lush-impartial-bumblebee,0.390000,2.241410,0.895776
lush-impartial-bumblebee,0.400000,2.242648,0.929329
lush-impartial-bumblebee,0.410000,2.243272,0.962692
lush-impartial-bumblebee,0.420000,2.243293,0.995862
lush-impartial-bumblebee,0.430000,2.242722,1.028839
lush-impartial-bumblebee,0.440000,2.241570,1.061622
lush-impartial-bumblebee,0.450000,2.239847,1.094208
lush-impartial-bumblebee,0.460000,2.237564,1.126597
lush-impartial-bumblebee,0.470000,2.234733,1.158788
lush-impartial-bumblebee,0.480000,2.231365,1.190780
lush-impartial-bumblebee,0.490000,2.227470,1.222570
lush-impartial-bumblebee,0.500000,2.223058,1.254158
lush-impartial-bumblebee,0.510000,2.218142,1.285543
lush-impartial-bumblebee,0.520000,2.212732,1.316723
lush-impartial-bumblebee,0.530000,2.206839,1.347698
lush-impartial-bumblebee,0.540000,2.200473,1.378465
lush-impartial-bumblebee,0.550000,2.193646,1.409023
lush-impartial-bumblebee,0.560000,2.186369,1.439372
lush-impartial-bumblebee,0.570000,2.178652,1.469510
lush-impartial-bumblebee,0.580000,2.170507,1.499435
lush-impartial-bumblebee,0.590000,2.161944,1.529148
lush-impartial-bumblebee,0.600000,2.152973,1.558645
lush-impartial-bumblebee,0.610000,2.143607,1.587926
lush-impartial-bumblebee,0.620000,2.133856,1.616990
lush-impartial-bumblebee,0.630000,2.123731,1.645836
lush-impartial-bumblebee,0.640000,2.113243,1.674462
lush-impartial-bumblebee,0.650000,2.102402,1.702866
lush-impartial-bumblebee,0.660000,2.091220,1.731049
lush-impartial-bumblebee,0.670000,2.079707,1.759007
lush-impartial-bumblebee,0.680000,2.067875,1.786741
lush-impartial-bumblebee,0.690000,2.055734,1.814249
lush-impartial-bumblebee,0.700000,2.043295,1.841530
lush-impartial-bumblebee,0.710000,2.030570,1.868581
lush-impartial-bumblebee,0.720000,2.017568,1.895403
lush-impartial-bumblebee,0.730000,2.004301,1.921994
lush-impartial-bumblebee,0.740000,1.990780,1.948353
lush-impartial-bumblebee,0.750000,1.977016,1.974478
lush-impartial-bumblebee,0.760000,1.963019,2.000368
lush-impartial-bumblebee,0.770000,1.948801,2.026021
lush-impartial-bumblebee,0.780000,1.934372,2.051438
lush-impartial-bumblebee,0.790000,1.919743,2.076615
lush-impartial-bumblebee,0.800000,1.904926,2.101553
lush-impartial-bumblebee,0.810000,1.889931,2.126249
lush-impartial-bumblebee,0.820000,1.874768,2.150703
lush-impartial-bumblebee,0.830000,1.859450,2.174914
lush-impartial-bumblebee,0.840000,1.843987,2.198879
lush-impartial-bumblebee,0.850000,1.828389,2.222598
lush-impartial-bumblebee,0.860000,1.812668,2.246070
lush-impartial-bumblebee,0.870000,1.796834,2.269292
lush-impartial-bumblebee,0.880000,1.780899,2.292265
