System,t,target X,target Y
lush-piquant-bumblebee,0.000000,-0.644218,-1.829625
lush-piquant-bumblebee,0.010000,-0.644028,-1.824504
lush-piquant-bumblebee,0.020000,-0.643482,-1.809792
lush-piquant-bumblebee,0.030000,-0.642627,-1.786736
lush-piquant-bumblebee,0.040000,-0.641504,-1.756452
lush-piquant-bumblebee,0.050000,-0.640149,-1.719942
lush-piquant-bumblebee,0.060000,-0.638597,-1.678101
lush-piquant-bumblebee,0.070000,-0.636877,-1.631733
lush-piquant-bumblebee,0.080000,-0.635015,-1.581556
lush-piquant-bumblebee,0.090000,-0.633036,-1.528211
lush-piquant-bumblebee,0.100000,-0.630961,-1.472273
lush-piquant-bumblebee,0.110000,-0.628808,-1.414253
lush-piquant-bumblebee,0.120000,-0.626595,-1.354608
lush-piquant-bumblebee,0.130000,-0.624338,-1.293747
lush-piquant-bumblebee,0.140000,-0.622048,-1.232032
lush-piquant-bumblebee,0.150000,-0.619738,-1.169775
lush-piquant-bumblebee,0.160000,-0.617419,-1.107254
lush-piquant-bumblebee,0.170000,-0.615098,-1.044708
lush-piquant-bumblebee,0.180000,-0.612785,-0.982343
lush-piquant-bumblebee,0.190000,-0.610484,-0.920333
lush-piquant-bumblebee,0.200000,-0.608202,-0.858831
lush-piquant-bumblebee,0.210000,-0.605945,-0.797968
lush-piquant-bumblebee,0.220000,-0.603714,-0.737856
lush-piquant-bumblebee,0.230000,-0.601516,-0.678592
lush-piquant-bumblebee,0.240000,-0.599352,-0.620256
lush-piquant-bumblebee,0.250000,-0.597224,-0.562918
lush-piquant-bumblebee,0.260000,-0.595136,-0.506632
lush-piquant-bumblebee,0.270000,-0.593089,-0.451445
lush-piquant-bumblebee,0.280000,-0.591084,-0.397393
lush-piquant-bumblebee,0.290000,-0.589121,-0.344503
lush-piquant-bumblebee,0.300000,-0.587203,-0.292797
lush-piquant-bumblebee,0.310000,-0.585329,-0.242289
lush-piquant-bumblebee,0.320000,-0.583500,-0.192986
lush-piquant-bumblebee,0.330000,-0.581716,-0.144893
lush-piquant-bumblebee,0.340000,-0.579977,-0.098009
lush-piquant-bumblebee,0.350000,-0.578282,-0.052329
lush-piquant-bumblebee,0.360000,-0.576632,-0.007845
lush-piquant-bumblebee,0.370000,-0.575025,0.035453
lush-piquant-bumblebee,0.380000,-0.573462,0.077580
lush-piquant-bumblebee,0.390000,-0.571942,0.118549
lush-piquant-bumblebee,0.400000,-0.570465,0.158378
lush-piquant-bumblebee,0.410000,-0.569029,0.197086
lush-piquant-bumblebee,0.420000,-0.567634,0.234692
lush-piquant-bumblebee,0.430000,-0.566279,0.271220
lush-piquant-bumblebee,0.440000,-0.564963,0.306692
lush-piquant-bumblebee,0.450000,-0.563685,0.341131
lush-piquant-bumblebee,0.460000,-0.562445,0.374559
lush-piquant-bumblebee,0.470000,-0.561241,0.407000
lush-piquant-bumblebee,0.480000,-0.560073,0.438476
lush-piquant-bumblebee,0.490000,-0.558941,0.469011
lush-piquant-bumblebee,0.500000,-0.557842,0.498628
lush-piquant-bumblebee,0.510000,-0.556776,0.527350
lush-piquant-bumblebee,0.520000,-0.555743,0.555201
lush-piquant-bumblebee,0.530000,-0.554741,0.582203
lush-piquant-bumblebee,0.540000,-0.553770,0.608379
lush-piquant-bumblebee,0.550000,-0.552829,0.633752
lush-piquant-bumblebee,0.560000,-0.551917,0.658343
lush-piquant-bumblebee,0.570000,-0.551032,0.682175
lush-piquant-bumblebee,0.580000,-0.550176,0.705268
lush-piquant-bumblebee,0.590000,-0.549346,0.727644
lush-piquant-bumblebee,0.600000,-0.548541,0.749323
lush-piquant-bumblebee,0.610000,-0.547762,0.770326
lush-piquant-bumblebee,0.620000,-0.547007,0.790672
lush-piquant-bumblebee,0.630000,-0.546276,0.810381
lush-piquant-bumblebee,0.640000,-0.545568,0.829471
lush-piquant-bumblebee,0.650000,-0.544882,0.847962
lush-piquant-bumblebee,0.660000,-0.544217,0.865870
lush-piquant-bumblebee,0.670000,-0.543574,0.883214
lush-piquant-bumblebee,0.680000,-0.542951,0.900010
lush-piquant-bumblebee,0.690000,-0.542347,0.916276
lush-piquant-bumblebee,0.700000,-0.541763,0.932027
lush-piquant-bumblebee,0.710000,-0.541197,0.947279
lush-piquant-bumblebee,0.720000,-0.540649,0.962048
lush-piquant-bumblebee,0.730000,-0.540119,0.976348
lush-piquant-bumblebee,0.740000,-0.539605,0.990194
lush-piquant-bumblebee,0.750000,-0.539108,1.003601
lush-piquant-bumblebee,0.760000,-0.538626,1.016581
lush-piquant-bumblebee,0.770000,-0.538160,1.029148
lush-piquant-bumblebee,0.780000,-0.537709,1.041315
lush-piquant-bumblebee,0.790000,-0.537272,1.053094
lush-piquant-bumblebee,0.800000,-0.536849,1.064499
lush-piquant-bumblebee,0.810000,-0.536439,1.075539
lush-piquant-bumblebee,0.820000,-0.536042,1.086227
lush-piquant-bumblebee,0.830000,-0.535659,1.096575
lush-piquant-bumblebee,0.840000,-0.535287,1.106592
lush-piquant-bumblebee,0.850000,-0.534927,1.116289
lush-piquant-bumblebee,0.860000,-0.534579,1.125677
lush-piquant-bumblebee,0.870000,-0.534242,1.134764
lush-piquant-bumblebee,0.880000,-0.533915,1.143562
lush-piquant-bumblebee,0.890000,-0.533599,1.152078
lush-piquant-bumblebee,0.900000,-0.533294,1.160321
lush-piquant-bumblebee,0.910000,-0.532998,1.168302
lush-piquant-bumblebee,0.920000,-0.532711,1.176027
lush-piquant-bumblebee,0.930000,-0.532433,1.183505
