System,t,target X,target Y
lush-proficient-bumblebee,0.000000,-2.030993,0.208617
lush-proficient-bumblebee,0.010000,-2.023417,0.272468
lush-proficient-bumblebee,0.020000,-2.013833,0.336049
lush-proficient-bumblebee,0.030000,-2.002253,0.399297
lush-proficient-bumblebee,0.040000,-1.988686,0.462149
lush-proficient-bumblebee,0.050000,-1.973147,0.524543
lush-proficient-bumblebee,0.060000,-1.955651,0.586416
lush-proficient-bumblebee,0.070000,-1.936215,0.647707
lush-proficient-bumblebee,0.080000,-1.914859,0.708356
lush-proficient-bumblebee,0.090000,-1.891604,0.768303
lush-proficient-bumblebee,0.100000,-1.866472,0.827488
lush-proficient-bumblebee,0.110000,-1.839489,0.885851
lush-proficient-bumblebee,0.120000,-1.810682,0.943337
lush-proficient-bumblebee,0.130000,-1.780079,0.999886
lush-proficient-bumblebee,0.140000,-1.747710,1.055444
lush-proficient-bumblebee,0.150000,-1.713608,1.109955
lush-proficient-bumblebee,0.160000,-1.677807,1.163365
lush-proficient-bumblebee,0.170000,-1.640341,1.215622
lush-proficient-bumblebee,0.180000,-1.601248,1.266672
lush-proficient-bumblebee,0.190000,-1.560567,1.316466
lush-proficient-bumblebee,0.200000,-1.518339,1.364955
lush-proficient-bumblebee,0.210000,-1.474604,1.412090
lush-proficient-bumblebee,0.220000,-1.429407,1.457824
lush-proficient-bumblebee,0.230000,-1.382792,1.502112
lush-proficient-bumblebee,0.240000,-1.334805,1.544911
lush-proficient-bumblebee,0.250000,-1.285495,1.586177
lush-proficient-bumblebee,0.260000,-1.234910,1.625870
lush-proficient-bumblebee,0.270000,-1.183099,1.663950
lush-proficient-bumblebee,0.280000,-1.130116,1.700380
lush-proficient-bumblebee,0.290000,-1.076011,1.735124
lush-proficient-bumblebee,0.300000,-1.020840,1.768146
lush-proficient-bumblebee,0.310000,-0.964655,1.799415
lush-proficient-bumblebee,0.320000,-0.907514,1.828899
lush-proficient-bumblebee,0.330000,-0.849473,1.856569
lush-proficient-bumblebee,0.340000,-0.790590,1.882398
lush-proficient-bumblebee,0.350000,-0.730922,1.906360
lush-proficient-bumblebee,0.360000,-0.670529,1.928431
lush-proficient-bumblebee,0.370000,-0.609471,1.948589
lush-proficient-bumblebee,0.380000,-0.547809,1.966814
lush-proficient-bumblebee,0.390000,-0.485604,1.983089
lush-proficient-bumblebee,0.400000,-0.422916,1.997397
lush-proficient-bumblebee,0.410000,-0.359810,2.009724
lush-proficient-bumblebee,0.420000,-0.296346,2.020058
lush-proficient-bumblebee,0.430000,-0.232589,2.028388
lush-proficient-bumblebee,0.440000,-0.168601,2.034706
lush-proficient-bumblebee,0.450000,-0.104445,2.039006
lush-proficient-bumblebee,0.460000,-0.040186,2.041284
lush-proficient-bumblebee,0.470000,0.024113,2.041537
lush-proficient-bumblebee,0.480000,0.088388,2.039765
lush-proficient-bumblebee,0.490000,0.152575,2.035970
lush-proficient-bumblebee,0.500000,0.216611,2.030156
lush-proficient-bumblebee,0.510000,0.280432,2.022328
lush-proficient-bumblebee,0.520000,0.343975,2.012495
lush-proficient-bumblebee,0.530000,0.407177,2.000665
lush-proficient-bumblebee,0.540000,0.469975,1.986851
lush-proficient-bumblebee,0.550000,0.532306,1.971067
lush-proficient-bumblebee,0.560000,0.594110,1.953327
lush-proficient-bumblebee,0.570000,0.655325,1.933650
lush-proficient-bumblebee,0.580000,0.715889,1.912056
lush-proficient-bumblebee,0.590000,0.775744,1.888564
lush-proficient-bumblebee,0.600000,0.834829,1.863200
lush-proficient-bumblebee,0.610000,0.893086,1.835988
lush-proficient-bumblebee,0.620000,0.950458,1.806954
lush-proficient-bumblebee,0.630000,1.006886,1.776129
lush-proficient-bumblebee,0.640000,1.062316,1.743542
lush-proficient-bumblebee,0.650000,1.116693,1.709225
lush-proficient-bumblebee,0.660000,1.169961,1.673214
lush-proficient-bumblebee,0.670000,1.222070,1.635542
lush-proficient-bumblebee,0.680000,1.272966,1.596249
lush-proficient-bumblebee,0.690000,1.322600,1.555372
lush-proficient-bumblebee,0.700000,1.370922,1.512953
lush-proficient-bumblebee,0.710000,1.417884,1.469033
lush-proficient-bumblebee,0.720000,1.463440,1.423656
lush-proficient-bumblebee,0.730000,1.507544,1.376867
lush-proficient-bumblebee,0.740000,1.550154,1.328713
lush-proficient-bumblebee,0.750000,1.591225,1.279240
lush-proficient-bumblebee,0.760000,1.630719,1.228499
lush-proficient-bumblebee,0.770000,1.668595,1.176540
lush-proficient-bumblebee,0.780000,1.704816,1.123413
lush-proficient-bumblebee,0.790000,1.739346,1.069172
lush-proficient-bumblebee,0.800000,1.772151,1.013871
lush-proficient-bumblebee,0.810000,1.803199,0.957564
lush-proficient-bumblebee,0.820000,1.832458,0.900307
lush-proficient-bumblebee,0.830000,1.859899,0.842158
lush-proficient-bumblebee,0.840000,1.885496,0.783173
lush-proficient-bumblebee,0.850000,1.909222,0.723411
lush-proficient-bumblebee,0.860000,1.931055,0.662932
lush-proficient-bumblebee,0.870000,1.950973,0.601796
lush-proficient-bumblebee,0.880000,1.968956,0.540062
lush-proficient-bumblebee,0.890000,1.984986,0.477793
lush-proficient-bumblebee,0.900000,1.999047,0.415050
lush-proficient-bumblebee,0.910000,2.011125,0.351895
lush-proficient-bumblebee,0.920000,2.021209,0.288391
lush-proficient-bumblebee,0.930000,2.029288,0.224601
lush-proficient-bumblebee,0.940000,2.035354,0.160589
lush-proficient-bumblebee,0.950000,2.039401,0.096417
lush-proficient-bumblebee,0.960000,2.041426,0.032150
lush-proficient-bumblebee,0.970000,2.041426,-0.032150
