System,t,target X,target Y
rebel-devious-beetle,0.000000,-1.532143,-1.772600
rebel-devious-beetle,0.010000,-1.528161,-1.741647
rebel-devious-beetle,0.020000,-1.524088,-1.710546
rebel-devious-beetle,0.030000,-1.519922,-1.679301
rebel-devious-beetle,0.040000,-1.515663,-1.647917
rebel-devious-beetle,0.050000,-1.511311,-1.616397
rebel-devious-beetle,0.060000,-1.506864,-1.584746
rebel-devious-beetle,0.070000,-1.502322,-1.552969
rebel-devious-beetle,0.080000,-1.497684,-1.521069
rebel-devious-beetle,0.090000,-1.492949,-1.489051
rebel-devious-beetle,0.100000,-1.488117,-1.456918
rebel-devious-beetle,0.110000,-1.483186,-1.424676
rebel-devious-beetle,0.120000,-1.478156,-1.392328
rebel-devious-beetle,0.130000,-1.473026,-1.359878
rebel-devious-beetle,0.140000,-1.467796,-1.327331
rebel-devious-beetle,0.150000,-1.462465,-1.294691
rebel-devious-beetle,0.160000,-1.457031,-1.261962
rebel-devious-beetle,0.170000,-1.451495,-1.229149
rebel-devious-beetle,0.180000,-1.445855,-1.196255
rebel-devious-beetle,0.190000,-1.440110,-1.163285
rebel-devious-beetle,0.200000,-1.434261,-1.130242
rebel-devious-beetle,0.210000,-1.428305,-1.097132
rebel-devious-beetle,0.220000,-1.422243,-1.063959
rebel-devious-beetle,0.230000,-1.416074,-1.030726
rebel-devious-beetle,0.240000,-1.409796,-0.997438
rebel-devious-beetle,0.250000,-1.403409,-0.964099
rebel-devious-beetle,0.260000,-1.396913,-0.930714
rebel-devious-beetle,0.270000,-1.390306,-0.897286
rebel-devious-beetle,0.280000,-1.383588,-0.863819
rebel-devious-beetle,0.290000,-1.376758,-0.830319
rebel-devious-beetle,0.300000,-1.369815,-0.796789
rebel-devious-beetle,0.310000,-1.362759,-0.763233
rebel-devious-beetle,0.320000,-1.355588,-0.729655
rebel-devious-beetle,0.330000,-1.348302,-0.696061
rebel-devious-beetle,0.340000,-1.340901,-0.662453
rebel-devious-beetle,0.350000,-1.333383,-0.628837
rebel-devious-beetle,0.360000,-1.325747,-0.595217
rebel-devious-beetle,0.370000,-1.317994,-0.561596
rebel-devious-beetle,0.380000,-1.310122,-0.527978
rebel-devious-beetle,0.390000,-1.302130,-0.494369
rebel-devious-beetle,0.400000,-1.294018,-0.460773
rebel-devious-beetle,0.410000,-1.285784,-0.427192
rebel-devious-beetle,0.420000,-1.277429,-0.393633
rebel-devious-beetle,0.430000,-1.268951,-0.360098
rebel-devious-beetle,0.440000,-1.260350,-0.326593
rebel-devious-beetle,0.450000,-1.251625,-0.293121
rebel-devious-beetle,0.460000,-1.242774,-0.259687
rebel-devious-beetle,0.470000,-1.233798,-0.226295
rebel-devious-beetle,0.480000,-1.224696,-0.192948
rebel-devious-beetle,0.490000,-1.215466,-0.159652
rebel-devious-beetle,0.500000,-1.206108,-0.126410
rebel-devious-beetle,0.510000,-1.196622,-0.093227
rebel-devious-beetle,0.520000,-1.187006,-0.060107
rebel-devious-beetle,0.530000,-1.177260,-0.027054
rebel-devious-beetle,0.540000,-1.167383,0.005927
rebel-devious-beetle,0.550000,-1.157374,0.038833
rebel-devious-beetle,0.560000,-1.147232,0.071659
rebel-devious-beetle,0.570000,-1.136958,0.104402
rebel-devious-beetle,0.580000,-1.126549,0.137056
rebel-devious-beetle,0.590000,-1.116005,0.169617
rebel-devious-beetle,0.600000,-1.105326,0.202082
rebel-devious-beetle,0.610000,-1.094510,0.234446
rebel-devious-beetle,0.620000,-1.083557,0.266705
rebel-devious-beetle,0.630000,-1.072467,0.298855
rebel-devious-beetle,0.640000,-1.061238,0.330891
rebel-devious-beetle,0.650000,-1.049869,0.362810
rebel-devious-beetle,0.660000,-1.038360,0.394607
rebel-devious-beetle,0.670000,-1.026711,0.426277
rebel-devious-beetle,0.680000,-1.014919,0.457817
rebel-devious-beetle,0.690000,-1.002986,0.489223
rebel-devious-beetle,0.700000,-0.990909,0.520489
rebel-devious-beetle,0.710000,-0.978688,0.551613
rebel-devious-beetle,0.720000,-0.966322,0.582589
rebel-devious-beetle,0.730000,-0.953811,0.613414
rebel-devious-beetle,0.740000,-0.941154,0.644084
rebel-devious-beetle,0.750000,-0.928349,0.674593
rebel-devious-beetle,0.760000,-0.915397,0.704939
rebel-devious-beetle,0.770000,-0.902297,0.735116
rebel-devious-beetle,0.780000,-0.889047,0.765120
rebel-devious-beetle,0.790000,-0.875647,0.794948
rebel-devious-beetle,0.800000,-0.862096,0.824595
rebel-devious-beetle,0.810000,-0.848394,0.854057
rebel-devious-beetle,0.820000,-0.834539,0.883329
rebel-devious-beetle,0.830000,-0.820531,0.912408
rebel-devious-beetle,0.840000,-0.806370,0.941289
rebel-devious-beetle,0.850000,-0.792053,0.969967
rebel-devious-beetle,0.860000,-0.777582,0.998440
rebel-devious-beetle,0.870000,-0.762954,1.026702
rebel-devious-beetle,0.880000,-0.748170,1.054750
rebel-devious-beetle,0.890000,-0.733227,1.082578
rebel-devious-beetle,0.900000,-0.718127,1.110184
rebel-devious-beetle,0.910000,-0.702867,1.137562
rebel-devious-beetle,0.920000,-0.687447,1.164708
rebel-devious-beetle,0.930000,-0.671866,1.191619
rebel-devious-beetle,0.940000,-0.656125,1.218290
rebel-devious-beetle,0.950000,-0.640220,1.244716
rebel-devious-beetle,0.960000,-0.624153,1.270895
rebel-devious-beetle,0.970000,-0.607922,1.296820
rebel-devious-beetle,0.980000,-0.591527,1.322489
rebel-devious-beetle,0.990000,-0.574966,1.347897
rebel-devious-beetle,1.000000,-0.558240,1.373039
rebel-devious-beetle,1.010000,-0.541346,1.397912
rebel-devious-beetle,1.020000,-0.524285,1.422511
rebel-devious-beetle,1.030000,-0.507056,1.446832
rebel-devious-beetle,1.040000,-0.489657,1.470872
rebel-devious-beetle,1.050000,-0.472089,1.494624
rebel-devious-beetle,1.060000,-0.454350,1.518087
rebel-devious-beetle,1.070000,-0.436440,1.541254
rebel-devious-beetle,1.080000,-0.418358,1.564122
rebel-devious-beetle,1.090000,-0.400103,1.586688
rebel-devious-beetle,1.100000,-0.381674,1.608945
rebel-devious-beetle,1.110000,-0.363071,1.630892
rebel-devious-beetle,1.120000,-0.344292,1.652522
rebel-devious-beetle,1.130000,-0.325338,1.673832
rebel-devious-beetle,1.140000,-0.306207,1.694818
rebel-devious-beetle,1.150000,-0.286898,1.715475
rebel-devious-beetle,1.160000,-0.267412,1.735800
rebel-devious-beetle,1.170000,-0.247746,1.755788
rebel-devious-beetle,1.180000,-0.227901,1.775434
rebel-devious-beetle,1.190000,-0.207875,1.794736
rebel-devious-beetle,1.200000,-0.187668,1.813687
rebel-devious-beetle,1.210000,-0.167279,1.832285
rebel-devious-beetle,1.220000,-0.146707,1.850525
rebel-devious-beetle,1.230000,-0.125952,1.868402
rebel-devious-beetle,1.240000,-0.105012,1.885913
rebel-devious-beetle,1.250000,-0.083887,1.903054
rebel-devious-beetle,1.260000,-0.062577,1.919819
rebel-devious-beetle,1.270000,-0.041080,1.936206
rebel-devious-beetle,1.280000,-0.019395,1.952209
rebel-devious-beetle,1.290000,0.002477,1.967824
rebel-devious-beetle,1.300000,0.024539,1.983048
rebel-devious-beetle,1.310000,0.046790,1.997876
rebel-devious-beetle,1.320000,0.069231,2.012304
rebel-devious-beetle,1.330000,0.091864,2.026327
rebel-devious-beetle,1.340000,0.114688,2.039942
rebel-devious-beetle,1.350000,0.137705,2.053143
rebel-devious-beetle,1.360000,0.160916,2.065928
rebel-devious-beetle,1.370000,0.184320,2.078292
rebel-devious-beetle,1.380000,0.207920,2.090230
rebel-devious-beetle,1.390000,0.231715,2.101738
rebel-devious-beetle,1.400000,0.255707,2.112813
rebel-devious-beetle,1.410000,0.279896,2.123449
rebel-devious-beetle,1.420000,0.304283,2.133643
rebel-devious-beetle,1.430000,0.328869,2.143390
rebel-devious-beetle,1.440000,0.353655,2.152687
rebel-devious-beetle,1.450000,0.378640,2.161529
