System,t,target X,target Y
rebel-mauve-beetle,0.000000,2.685832,0.395347
rebel-mauve-beetle,0.010000,2.683619,0.389495
rebel-mauve-beetle,0.020000,2.676525,0.377704
rebel-mauve-beetle,0.030000,2.664062,0.365503
rebel-mauve-beetle,0.040000,2.646087,0.352695
rebel-mauve-beetle,0.050000,2.622311,0.339321
rebel-mauve-beetle,0.060000,2.592373,0.325438
rebel-mauve-beetle,0.070000,2.555862,0.311127
rebel-mauve-beetle,0.080000,2.512356,0.296509
rebel-mauve-beetle,0.090000,2.461474,0.281745
rebel-mauve-beetle,0.100000,2.402927,0.267048
rebel-mauve-beetle,0.110000,2.336552,0.252670
rebel-mauve-beetle,0.120000,2.262369,0.238908
rebel-mauve-beetle,0.130000,2.180659,0.226114
rebel-mauve-beetle,0.140000,2.091976,0.214698
rebel-mauve-beetle,0.150000,1.997242,0.205278
rebel-mauve-beetle,0.160000,1.897476,0.198361
rebel-mauve-beetle,0.170000,1.793904,0.194333
rebel-mauve-beetle,0.180000,1.688008,0.193589
rebel-mauve-beetle,0.190000,1.581461,0.196524
rebel-mauve-beetle,0.200000,1.476083,0.203522
rebel-mauve-beetle,0.210000,1.373754,0.214925
rebel-mauve-beetle,0.220000,1.276414,0.231030
rebel-mauve-beetle,0.230000,1.186062,0.252033
rebel-mauve-beetle,0.240000,1.104708,0.277965
rebel-mauve-beetle,0.250000,1.034356,0.308607
rebel-mauve-beetle,0.260000,0.976928,0.343380
rebel-mauve-beetle,0.270000,0.934130,0.381244
rebel-mauve-beetle,0.280000,0.907241,0.420619
rebel-mauve-beetle,0.290000,0.896695,0.459733
rebel-mauve-beetle,0.300000,0.902002,0.496499
rebel-mauve-beetle,0.310000,0.921657,0.528636
rebel-mauve-beetle,0.320000,0.953005,0.554267
rebel-mauve-beetle,0.330000,0.992462,0.572258
rebel-mauve-beetle,0.340000,1.035936,0.582399
rebel-mauve-beetle,0.350000,1.079362,0.585364
rebel-mauve-beetle,0.360000,1.119196,0.582446
rebel-mauve-beetle,0.370000,1.152743,0.575181
rebel-mauve-beetle,0.380000,1.178283,0.564985
rebel-mauve-beetle,0.390000,1.195016,0.552904
rebel-mauve-beetle,0.400000,1.202900,0.539555
rebel-mauve-beetle,0.410000,1.202449,0.525183
rebel-mauve-beetle,0.420000,1.194547,0.509752
rebel-mauve-beetle,0.430000,1.180339,0.493100
rebel-mauve-beetle,0.440000,1.161071,0.475051
rebel-mauve-beetle,0.450000,1.138064,0.455469
rebel-mauve-beetle,0.460000,1.112686,0.434338
rebel-mauve-beetle,0.470000,1.086306,0.411774
rebel-mauve-beetle,0.480000,1.060214,0.388046
rebel-mauve-beetle,0.490000,1.035639,0.363584
rebel-mauve-beetle,0.500000,1.013715,0.338972
rebel-mauve-beetle,0.510000,0.995426,0.314942
rebel-mauve-beetle,0.520000,0.981556,0.292352
rebel-mauve-beetle,0.530000,0.972633,0.272153
rebel-mauve-beetle,0.540000,0.968882,0.255335
rebel-mauve-beetle,0.550000,0.970178,0.242853
rebel-mauve-beetle,0.560000,0.976033,0.235544
rebel-mauve-beetle,0.570000,0.985609,0.234035
rebel-mauve-beetle,0.580000,0.997777,0.238660
rebel-mauve-beetle,0.590000,1.011202,0.249403
rebel-mauve-beetle,0.600000,1.024477,0.265877
rebel-mauve-beetle,0.610000,1.036370,0.287295
rebel-mauve-beetle,0.620000,1.045676,0.312783
rebel-mauve-beetle,0.630000,1.051416,0.341310
rebel-mauve-beetle,0.640000,1.052878,0.371807
rebel-mauve-beetle,0.650000,1.049623,0.403282
rebel-mauve-beetle,0.660000,1.041465,0.434892
rebel-mauve-beetle,0.670000,1.028430,0.465992
rebel-mauve-beetle,0.680000,1.010711,0.496146
rebel-mauve-beetle,0.690000,0.988622,0.525124
rebel-mauve-beetle,0.700000,0.962567,0.552859
rebel-mauve-beetle,0.710000,0.933010,0.579424
rebel-mauve-beetle,0.720000,0.900450,0.604991
rebel-mauve-beetle,0.730000,0.865412,0.629795
rebel-mauve-beetle,0.740000,0.828480,0.654116
rebel-mauve-beetle,0.750000,0.790198,0.678239
rebel-mauve-beetle,0.760000,0.751072,0.702431
rebel-mauve-beetle,0.770000,0.711575,0.726932
rebel-mauve-beetle,0.780000,0.672140,0.751938
rebel-mauve-beetle,0.790000,0.633146,0.777593
rebel-mauve-beetle,0.800000,0.594908,0.803969
rebel-mauve-beetle,0.810000,0.557696,0.831045
