System,t,target X,target Y
rebel-vivacious-beetle,0.000000,-0.921201,-2.007635
rebel-vivacious-beetle,0.010000,-0.868750,-2.028340
rebel-vivacious-beetle,0.020000,-0.817550,-2.048291
rebel-vivacious-beetle,0.030000,-0.767592,-2.067495
rebel-vivacious-beetle,0.040000,-0.718864,-2.085960
rebel-vivacious-beetle,0.050000,-0.671357,-2.103692
rebel-vivacious-beetle,0.060000,-0.625062,-2.120700
rebel-vivacious-beetle,0.070000,-0.579968,-2.136990
rebel-vivacious-beetle,0.080000,-0.536065,-2.152569
rebel-vivacious-beetle,0.090000,-0.493343,-2.167445
rebel-vivacious-beetle,0.100000,-0.451793,-2.181626
rebel-vivacious-beetle,0.110000,-0.411404,-2.195117
rebel-vivacious-beetle,0.120000,-0.372166,-2.207927
rebel-vivacious-beetle,0.130000,-0.334069,-2.220063
rebel-vivacious-beetle,0.140000,-0.297104,-2.231532
rebel-vivacious-beetle,0.150000,-0.261260,-2.242342
rebel-vivacious-beetle,0.160000,-0.226527,-2.252499
rebel-vivacious-beetle,0.170000,-0.192896,-2.262011
rebel-vivacious-beetle,0.180000,-0.160357,-2.270885
rebel-vivacious-beetle,0.190000,-0.128899,-2.279128
rebel-vivacious-beetle,0.200000,-0.098512,-2.286748
rebel-vivacious-beetle,0.210000,-0.069187,-2.293752
rebel-vivacious-beetle,0.220000,-0.040913,-2.300148
rebel-vivacious-beetle,0.230000,-0.013681,-2.305941
rebel-vivacious-beetle,0.240000,0.012519,-2.311141
rebel-vivacious-beetle,0.250000,0.037698,-2.315753
rebel-vivacious-beetle,0.260000,0.061865,-2.319786
rebel-vivacious-beetle,0.270000,0.085031,-2.323246
rebel-vivacious-beetle,0.280000,0.107205,-2.326141
rebel-vivacious-beetle,0.290000,0.128397,-2.328477
rebel-vivacious-beetle,0.300000,0.148617,-2.330263
rebel-vivacious-beetle,0.310000,0.167876,-2.331506
rebel-vivacious-beetle,0.320000,0.186183,-2.332212
rebel-vivacious-beetle,0.330000,0.203548,-2.332390
rebel-vivacious-beetle,0.340000,0.219982,-2.332046
rebel-vivacious-beetle,0.350000,0.235493,-2.331187
rebel-vivacious-beetle,0.360000,0.250093,-2.329821
rebel-vivacious-beetle,0.370000,0.263791,-2.327955
rebel-vivacious-beetle,0.380000,0.276596,-2.325597
rebel-vivacious-beetle,0.390000,0.288520,-2.322753
rebel-vivacious-beetle,0.400000,0.299572,-2.319431
rebel-vivacious-beetle,0.410000,0.309762,-2.315638
rebel-vivacious-beetle,0.420000,0.319100,-2.311382
rebel-vivacious-beetle,0.430000,0.327596,-2.306669
rebel-vivacious-beetle,0.440000,0.335260,-2.301507
rebel-vivacious-beetle,0.450000,0.342102,-2.295904
rebel-vivacious-beetle,0.460000,0.348132,-2.289865
rebel-vivacious-beetle,0.470000,0.353359,-2.283400
rebel-vivacious-beetle,0.480000,0.357795,-2.276514
rebel-vivacious-beetle,0.490000,0.361448,-2.269216
rebel-vivacious-beetle,0.500000,0.364329,-2.261512
rebel-vivacious-beetle,0.510000,0.366448,-2.253410
rebel-vivacious-beetle,0.520000,0.367815,-2.244917
rebel-vivacious-beetle,0.530000,0.368439,-2.236040
rebel-vivacious-beetle,0.540000,0.368331,-2.226786
rebel-vivacious-beetle,0.550000,0.367501,-2.217164
rebel-vivacious-beetle,0.560000,0.365958,-2.207179
rebel-vivacious-beetle,0.570000,0.363714,-2.196840
rebel-vivacious-beetle,0.580000,0.360776,-2.186153
rebel-vivacious-beetle,0.590000,0.357157,-2.175126
rebel-vivacious-beetle,0.600000,0.352865,-2.163766
rebel-vivacious-beetle,0.610000,0.347910,-2.152081
rebel-vivacious-beetle,0.620000,0.342303,-2.140077
rebel-vivacious-beetle,0.630000,0.336054,-2.127762
rebel-vivacious-beetle,0.640000,0.329172,-2.115143
rebel-vivacious-beetle,0.650000,0.321667,-2.102228
rebel-vivacious-beetle,0.660000,0.313550,-2.089023
rebel-vivacious-beetle,0.670000,0.304830,-2.075536
rebel-vivacious-beetle,0.680000,0.295518,-2.061774
rebel-vivacious-beetle,0.690000,0.285623,-2.047745
rebel-vivacious-beetle,0.700000,0.275155,-2.033455
