System,t,target X,target Y
rebel-wine-beetle,0.000000,-1.361465,-1.473293
rebel-wine-beetle,0.010000,-1.344956,-1.485413
rebel-wine-beetle,0.020000,-1.328882,-1.496287
rebel-wine-beetle,0.030000,-1.313240,-1.505930
rebel-wine-beetle,0.040000,-1.298024,-1.514357
rebel-wine-beetle,0.050000,-1.283233,-1.521584
rebel-wine-beetle,0.060000,-1.268861,-1.527625
rebel-wine-beetle,0.070000,-1.254906,-1.532497
rebel-wine-beetle,0.080000,-1.241363,-1.536215
rebel-wine-beetle,0.090000,-1.228229,-1.538794
rebel-wine-beetle,0.100000,-1.215501,-1.540248
rebel-wine-beetle,0.110000,-1.203173,-1.540595
rebel-wine-beetle,0.120000,-1.191243,-1.539848
rebel-wine-beetle,0.130000,-1.179706,-1.538023
rebel-wine-beetle,0.140000,-1.168560,-1.535135
rebel-wine-beetle,0.150000,-1.157800,-1.531201
rebel-wine-beetle,0.160000,-1.147422,-1.526234
rebel-wine-beetle,0.170000,-1.137423,-1.520251
rebel-wine-beetle,0.180000,-1.127799,-1.513266
rebel-wine-beetle,0.190000,-1.118547,-1.505296
rebel-wine-beetle,0.200000,-1.109662,-1.496354
rebel-wine-beetle,0.210000,-1.101141,-1.486458
rebel-wine-beetle,0.220000,-1.092979,-1.475621
rebel-wine-beetle,0.230000,-1.085174,-1.463859
rebel-wine-beetle,0.240000,-1.077722,-1.451188
rebel-wine-beetle,0.250000,-1.070618,-1.437622
rebel-wine-beetle,0.260000,-1.063860,-1.423178
rebel-wine-beetle,0.270000,-1.057442,-1.407870
rebel-wine-beetle,0.280000,-1.051362,-1.391714
rebel-wine-beetle,0.290000,-1.045616,-1.374725
rebel-wine-beetle,0.300000,-1.040200,-1.356918
rebel-wine-beetle,0.310000,-1.035111,-1.338308
rebel-wine-beetle,0.320000,-1.030343,-1.318912
rebel-wine-beetle,0.330000,-1.025895,-1.298744
rebel-wine-beetle,0.340000,-1.021762,-1.277819
rebel-wine-beetle,0.350000,-1.017939,-1.256154
rebel-wine-beetle,0.360000,-1.014425,-1.233762
rebel-wine-beetle,0.370000,-1.011214,-1.210660
rebel-wine-beetle,0.380000,-1.008303,-1.186863
rebel-wine-beetle,0.390000,-1.005689,-1.162385
