System,t,target X,target Y
talented-antique-butterfly,0.000000,-2.615989,0.108055
talented-antique-butterfly,0.010000,-2.610698,0.114322
talented-antique-butterfly,0.020000,-2.595119,0.131104
talented-antique-butterfly,0.030000,-2.569593,0.154923
talented-antique-butterfly,0.040000,-2.534188,0.183174
talented-antique-butterfly,0.050000,-2.488872,0.213898
talented-antique-butterfly,0.060000,-2.433664,0.245608
talented-antique-butterfly,0.070000,-2.368746,0.277158
talented-antique-butterfly,0.080000,-2.294555,0.307671
talented-antique-butterfly,0.090000,-2.211938,0.336459
talented-antique-butterfly,0.100000,-2.121963,0.363047
talented-antique-butterfly,0.110000,-2.025956,0.387138
talented-antique-butterfly,0.120000,-1.925424,0.408601
talented-antique-butterfly,0.130000,-1.821954,0.427449
talented-antique-butterfly,0.140000,-1.717099,0.443824
talented-antique-butterfly,0.150000,-1.612266,0.457957
talented-antique-butterfly,0.160000,-1.508643,0.470139
talented-antique-butterfly,0.170000,-1.407155,0.480692
talented-antique-butterfly,0.180000,-1.308453,0.489939
talented-antique-butterfly,0.190000,-1.212937,0.498186
talented-antique-butterfly,0.200000,-1.120795,0.505713
talented-antique-butterfly,0.210000,-1.032050,0.512765
talented-antique-butterfly,0.220000,-0.946549,0.519469
talented-antique-butterfly,0.230000,-0.864117,0.525983
talented-antique-butterfly,0.240000,-0.784536,0.532428
talented-antique-butterfly,0.250000,-0.707567,0.538894
talented-antique-butterfly,0.260000,-0.632970,0.545434
talented-antique-butterfly,0.270000,-0.560527,0.552080
talented-antique-butterfly,0.280000,-0.490043,0.558830
talented-antique-butterfly,0.290000,-0.421360,0.565667
talented-antique-butterfly,0.300000,-0.354364,0.572555
talented-antique-butterfly,0.310000,-0.288981,0.579453
talented-antique-butterfly,0.320000,-0.225179,0.586317
talented-antique-butterfly,0.330000,-0.162962,0.593111
talented-antique-butterfly,0.340000,-0.102367,0.599809
talented-antique-butterfly,0.350000,-0.043390,0.606303
talented-antique-butterfly,0.360000,0.013895,0.612606
talented-antique-butterfly,0.370000,0.069402,0.618752
talented-antique-butterfly,0.380000,0.123046,0.624796
talented-antique-butterfly,0.390000,0.174752,0.630810
talented-antique-butterfly,0.400000,0.224460,0.636877
talented-antique-butterfly,0.410000,0.272124,0.643087
talented-antique-butterfly,0.420000,0.317721,0.649536
talented-antique-butterfly,0.430000,0.361249,0.656312
talented-antique-butterfly,0.440000,0.402727,0.663497
talented-antique-butterfly,0.450000,0.442202,0.671148
talented-antique-butterfly,0.460000,0.479748,0.679281
talented-antique-butterfly,0.470000,0.515430,0.687935
talented-antique-butterfly,0.480000,0.549324,0.697133
talented-antique-butterfly,0.490000,0.581511,0.706886
talented-antique-butterfly,0.500000,0.612079,0.717193
talented-antique-butterfly,0.510000,0.641116,0.728044
talented-antique-butterfly,0.520000,0.668716,0.739422
talented-antique-butterfly,0.530000,0.694974,0.751308
talented-antique-butterfly,0.540000,0.719987,0.763687
talented-antique-butterfly,0.550000,0.743859,0.776547
talented-antique-butterfly,0.560000,0.766701,0.789891
talented-antique-butterfly,0.570000,0.788635,0.803737
talented-antique-butterfly,0.580000,0.809834,0.817964
talented-antique-butterfly,0.590000,0.830465,0.832491
talented-antique-butterfly,0.600000,0.850690,0.847299
talented-antique-butterfly,0.610000,0.870686,0.862362
talented-antique-butterfly,0.620000,0.890639,0.877645
talented-antique-butterfly,0.630000,0.910743,0.893099
talented-antique-butterfly,0.640000,0.931187,0.908618
talented-antique-butterfly,0.650000,0.952147,0.924119
talented-antique-butterfly,0.660000,0.973782,0.939503
talented-antique-butterfly,0.670000,0.996220,0.954652
talented-antique-butterfly,0.680000,1.019550,0.969424
talented-antique-butterfly,0.690000,1.043799,0.983615
talented-antique-butterfly,0.700000,1.068953,0.997067
talented-antique-butterfly,0.710000,1.094940,1.009626
talented-antique-butterfly,0.720000,1.121632,1.021141
talented-antique-butterfly,0.730000,1.148847,1.031475
talented-antique-butterfly,0.740000,1.176359,1.040505
talented-antique-butterfly,0.750000,1.203905,1.048129
talented-antique-butterfly,0.760000,1.231203,1.054259
talented-antique-butterfly,0.770000,1.257963,1.058827
talented-antique-butterfly,0.780000,1.283900,1.061770
talented-antique-butterfly,0.790000,1.308750,1.063031
talented-antique-butterfly,0.800000,1.332276,1.062549
talented-antique-butterfly,0.810000,1.354279,1.060250
talented-antique-butterfly,0.820000,1.374592,1.056046
talented-antique-butterfly,0.830000,1.393087,1.049829
talented-antique-butterfly,0.840000,1.409668,1.041476
talented-antique-butterfly,0.850000,1.424269,1.030860
talented-antique-butterfly,0.860000,1.436856,1.017859
talented-antique-butterfly,0.870000,1.447426,1.002374
talented-antique-butterfly,0.880000,1.456008,0.984359
talented-antique-butterfly,0.890000,1.462671,0.963836
talented-antique-butterfly,0.900000,1.467499,0.940846
talented-antique-butterfly,0.910000,1.470662,0.915644
talented-antique-butterfly,0.920000,1.472404,0.888620
talented-antique-butterfly,0.930000,1.473039,0.860315
talented-antique-butterfly,0.940000,1.472959,0.831432
talented-antique-butterfly,0.950000,1.472578,0.802745
talented-antique-butterfly,0.960000,1.472345,0.775138
talented-antique-butterfly,0.970000,1.472697,0.749536
talented-antique-butterfly,0.980000,1.473962,0.726749
talented-antique-butterfly,0.990000,1.476406,0.707551
talented-antique-butterfly,1.000000,1.480190,0.692611
talented-antique-butterfly,1.010000,1.485297,0.682336
talented-antique-butterfly,1.020000,1.491617,0.677011
talented-antique-butterfly,1.030000,1.498905,0.676676
talented-antique-butterfly,1.040000,1.506828,0.681184
talented-antique-butterfly,1.050000,1.515004,0.690218
talented-antique-butterfly,1.060000,1.523032,0.703339
talented-antique-butterfly,1.070000,1.530526,0.720019
talented-antique-butterfly,1.080000,1.537133,0.739681
talented-antique-butterfly,1.090000,1.542554,0.761740
talented-antique-butterfly,1.100000,1.546547,0.785625
talented-antique-butterfly,1.110000,1.548937,0.810804
talented-antique-butterfly,1.120000,1.549608,0.836800
talented-antique-butterfly,1.130000,1.548321,0.863192
talented-antique-butterfly,1.140000,1.545040,0.889666
talented-antique-butterfly,1.150000,1.539797,0.915954
talented-antique-butterfly,1.160000,1.532662,0.941833
talented-antique-butterfly,1.170000,1.523750,0.967127
talented-antique-butterfly,1.180000,1.513213,0.991702
talented-antique-butterfly,1.190000,1.501251,1.015464
talented-antique-butterfly,1.200000,1.488105,1.038352
talented-antique-butterfly,1.210000,1.474062,1.060332
talented-antique-butterfly,1.220000,1.459448,1.081393
talented-antique-butterfly,1.230000,1.444629,1.101543
talented-antique-butterfly,1.240000,1.429998,1.120800
talented-antique-butterfly,1.250000,1.415960,1.139188
talented-antique-butterfly,1.260000,1.402921,1.156729
talented-antique-butterfly,1.270000,1.391267,1.173443
talented-antique-butterfly,1.280000,1.381350,1.189339
talented-antique-butterfly,1.290000,1.373470,1.204418
talented-antique-butterfly,1.300000,1.367859,1.218664
talented-antique-butterfly,1.310000,1.364679,1.232053
talented-antique-butterfly,1.320000,1.364010,1.244554
talented-antique-butterfly,1.330000,1.365686,1.256108
talented-antique-butterfly,1.340000,1.369495,1.266647
talented-antique-butterfly,1.350000,1.375323,1.276123
talented-antique-butterfly,1.360000,1.382994,1.284493
talented-antique-butterfly,1.370000,1.392283,1.291721
talented-antique-butterfly,1.380000,1.402936,1.297779
talented-antique-butterfly,1.390000,1.414686,1.302648
talented-antique-butterfly,1.400000,1.427265,1.306321
talented-antique-butterfly,1.410000,1.440415,1.308800
talented-antique-butterfly,1.420000,1.453896,1.310096
talented-antique-butterfly,1.430000,1.467495,1.310225
talented-antique-butterfly,1.440000,1.481023,1.309215
talented-antique-butterfly,1.450000,1.494324,1.307101
talented-antique-butterfly,1.460000,1.507268,1.303928
talented-antique-butterfly,1.470000,1.519759,1.299752
talented-antique-butterfly,1.480000,1.531714,1.294610
talented-antique-butterfly,1.490000,1.543087,1.288580
talented-antique-butterfly,1.500000,1.553853,1.281766
talented-antique-butterfly,1.510000,1.564006,1.274293
talented-antique-butterfly,1.520000,1.573560,1.266307
talented-antique-butterfly,1.530000,1.582539,1.257980
talented-antique-butterfly,1.540000,1.590983,1.249502
talented-antique-butterfly,1.550000,1.598935,1.241084
talented-antique-butterfly,1.560000,1.606447,1.232948
talented-antique-butterfly,1.570000,1.613566,1.225323
talented-antique-butterfly,1.580000,1.620319,1.218378
talented-antique-butterfly,1.590000,1.626738,1.212321
talented-antique-butterfly,1.600000,1.632846,1.207341
talented-antique-butterfly,1.610000,1.638651,1.203595
talented-antique-butterfly,1.620000,1.644144,1.201204
talented-antique-butterfly,1.630000,1.649304,1.200248
talented-antique-butterfly,1.640000,1.654093,1.200760
talented-antique-butterfly,1.650000,1.658465,1.202727
talented-antique-butterfly,1.660000,1.662364,1.206092
talented-antique-butterfly,1.670000,1.665732,1.210765
talented-antique-butterfly,1.680000,1.668509,1.216623
talented-antique-butterfly,1.690000,1.670637,1.223525
talented-antique-butterfly,1.700000,1.672070,1.231315
talented-antique-butterfly,1.710000,1.672767,1.239832
talented-antique-butterfly,1.720000,1.672654,1.248889
talented-antique-butterfly,1.730000,1.671615,1.258297
talented-antique-butterfly,1.740000,1.669639,1.267931
talented-antique-butterfly,1.750000,1.666728,1.277676
talented-antique-butterfly,1.760000,1.662902,1.287431
talented-antique-butterfly,1.770000,1.658200,1.297106
talented-antique-butterfly,1.780000,1.652682,1.306623
talented-antique-butterfly,1.790000,1.646431,1.315921
talented-antique-butterfly,1.800000,1.639552,1.324949
talented-antique-butterfly,1.810000,1.632177,1.333667
talented-antique-butterfly,1.820000,1.624460,1.342044
talented-antique-butterfly,1.830000,1.616576,1.350058
talented-antique-butterfly,1.840000,1.608720,1.357690
talented-antique-butterfly,1.850000,1.601096,1.364926
talented-antique-butterfly,1.860000,1.593911,1.371752
talented-antique-butterfly,1.870000,1.587371,1.378155
talented-antique-butterfly,1.880000,1.581668,1.384119
talented-antique-butterfly,1.890000,1.576975,1.389624
talented-antique-butterfly,1.900000,1.573433,1.394648
talented-antique-butterfly,1.910000,1.571042,1.399140
talented-antique-butterfly,1.920000,1.569809,1.403049
talented-antique-butterfly,1.930000,1.569775,1.406337
talented-antique-butterfly,1.940000,1.570934,1.408966
talented-antique-butterfly,1.950000,1.573236,1.410898
talented-antique-butterfly,1.960000,1.576599,1.412096
talented-antique-butterfly,1.970000,1.580908,1.412527
talented-antique-butterfly,1.980000,1.586033,1.412164
talented-antique-butterfly,1.990000,1.591830,1.410984
talented-antique-butterfly,2.000000,1.598151,1.408976
