System,t,target X,target Y
talented-ruddy-butterfly,0.000000,-2.109000,-1.492000
talented-ruddy-butterfly,0.010000,-2.109000,-1.455188
talented-ruddy-butterfly,0.020000,-2.109000,-1.418376
talented-ruddy-butterfly,0.030000,-2.109000,-1.381565
talented-ruddy-butterfly,0.040000,-2.109000,-1.344753
talented-ruddy-butterfly,0.050000,-2.109000,-1.307941
talented-ruddy-butterfly,0.060000,-2.109000,-1.271129
talented-ruddy-butterfly,0.070000,-2.109000,-1.234318
talented-ruddy-butterfly,0.080000,-2.109000,-1.197506
talented-ruddy-butterfly,0.090000,-2.109000,-1.160694
talented-ruddy-butterfly,0.100000,-2.109000,-1.123882
talented-ruddy-butterfly,0.110000,-2.109000,-1.087071
talented-ruddy-butterfly,0.120000,-2.109000,-1.050259
talented-ruddy-butterfly,0.130000,-2.109000,-1.013447
talented-ruddy-butterfly,0.140000,-2.109000,-0.976635
talented-ruddy-butterfly,0.150000,-2.109000,-0.939824
talented-ruddy-butterfly,0.160000,-2.109000,-0.903012
talented-ruddy-butterfly,0.170000,-2.109000,-0.866200
talented-ruddy-butterfly,0.180000,-2.109000,-0.829388
talented-ruddy-butterfly,0.190000,-2.109000,-0.792576
talented-ruddy-butterfly,0.200000,-2.109000,-0.755765
talented-ruddy-butterfly,0.210000,-2.109000,-0.718953
talented-ruddy-butterfly,0.220000,-2.109000,-0.682141
talented-ruddy-butterfly,0.230000,-2.109000,-0.645329
talented-ruddy-butterfly,0.240000,-2.109000,-0.608518
talented-ruddy-butterfly,0.250000,-2.109000,-0.571706
talented-ruddy-butterfly,0.260000,-2.109000,-0.534894
talented-ruddy-butterfly,0.270000,-2.109000,-0.498082
talented-ruddy-butterfly,0.280000,-2.109000,-0.461271
talented-ruddy-butterfly,0.290000,-2.109000,-0.424459
talented-ruddy-butterfly,0.300000,-2.109000,-0.387647
talented-ruddy-butterfly,0.310000,-2.109000,-0.350835
talented-ruddy-butterfly,0.320000,-2.109000,-0.314024
talented-ruddy-butterfly,0.330000,-2.109000,-0.277212
talented-ruddy-butterfly,0.340000,-2.109000,-0.240400
talented-ruddy-butterfly,0.350000,-2.109000,-0.203588
talented-ruddy-butterfly,0.360000,-2.109000,-0.166776
talented-ruddy-butterfly,0.370000,-2.109000,-0.129965
talented-ruddy-butterfly,0.380000,-2.109000,-0.093153
talented-ruddy-butterfly,0.390000,-2.109000,-0.056341
talented-ruddy-butterfly,0.400000,-2.109000,-0.019529
talented-ruddy-butterfly,0.410000,-2.109000,0.017282
talented-ruddy-butterfly,0.420000,-2.109000,0.054094
talented-ruddy-butterfly,0.430000,-2.109000,0.090906
talented-ruddy-butterfly,0.440000,-2.109000,0.127718
talented-ruddy-butterfly,0.450000,-2.109000,0.164529
talented-ruddy-butterfly,0.460000,-2.109000,0.201341
talented-ruddy-butterfly,0.470000,-2.109000,0.238153
talented-ruddy-butterfly,0.480000,-2.109000,0.274965
talented-ruddy-butterfly,0.490000,-2.109000,0.311776
talented-ruddy-butterfly,0.500000,-2.109000,0.348588
talented-ruddy-butterfly,0.510000,-2.109000,0.385400
talented-ruddy-butterfly,0.520000,-2.109000,0.422212
talented-ruddy-butterfly,0.530000,-2.109000,0.459024
talented-ruddy-butterfly,0.540000,-2.109000,0.495835
talented-ruddy-butterfly,0.550000,-2.109000,0.532647
talented-ruddy-butterfly,0.560000,-2.109000,0.569459
talented-ruddy-butterfly,0.570000,-2.109000,0.606271
talented-ruddy-butterfly,0.580000,-2.109000,0.643082
talented-ruddy-butterfly,0.590000,-2.109000,0.679894
talented-ruddy-butterfly,0.600000,-2.109000,0.716706
talented-ruddy-butterfly,0.610000,-2.109000,0.753518
talented-ruddy-butterfly,0.620000,-2.109000,0.790329
talented-ruddy-butterfly,0.630000,-2.109000,0.827141
talented-ruddy-butterfly,0.640000,-2.109000,0.863953
talented-ruddy-butterfly,0.650000,-2.109000,0.900765
talented-ruddy-butterfly,0.660000,-2.109000,0.937576
talented-ruddy-butterfly,0.670000,-2.109000,0.974388
talented-ruddy-butterfly,0.680000,-2.109000,1.011200
talented-ruddy-butterfly,0.690000,-2.109000,1.048012
talented-ruddy-butterfly,0.700000,-2.109000,1.084824
talented-ruddy-butterfly,0.710000,-2.109000,1.121635
