System,t,target X,target Y
talented-steel-butterfly,0.000000,-0.956800,-1.798542
talented-steel-butterfly,0.010000,-1.023530,-1.772316
talented-steel-butterfly,0.020000,-1.088360,-1.746627
talented-steel-butterfly,0.030000,-1.151308,-1.721471
talented-steel-butterfly,0.040000,-1.212390,-1.696840
talented-steel-butterfly,0.050000,-1.271624,-1.672730
talented-steel-butterfly,0.060000,-1.329025,-1.649134
talented-steel-butterfly,0.070000,-1.384613,-1.626046
talented-steel-butterfly,0.080000,-1.438403,-1.603461
talented-steel-butterfly,0.090000,-1.490412,-1.581372
talented-steel-butterfly,0.100000,-1.540657,-1.559774
talented-steel-butterfly,0.110000,-1.589156,-1.538660
talented-steel-butterfly,0.120000,-1.635925,-1.518025
talented-steel-butterfly,0.130000,-1.680981,-1.497864
talented-steel-butterfly,0.140000,-1.724341,-1.478169
talented-steel-butterfly,0.150000,-1.766023,-1.458935
talented-steel-butterfly,0.160000,-1.806043,-1.440157
talented-steel-butterfly,0.170000,-1.844419,-1.421828
talented-steel-butterfly,0.180000,-1.881166,-1.403942
talented-steel-butterfly,0.190000,-1.916303,-1.386494
talented-steel-butterfly,0.200000,-1.949846,-1.369477
talented-steel-butterfly,0.210000,-1.981812,-1.352886
talented-steel-butterfly,0.220000,-2.012219,-1.336715
talented-steel-butterfly,0.230000,-2.041082,-1.320958
talented-steel-butterfly,0.240000,-2.068420,-1.305609
talented-steel-butterfly,0.250000,-2.094249,-1.290662
talented-steel-butterfly,0.260000,-2.118586,-1.276111
talented-steel-butterfly,0.270000,-2.141448,-1.261950
talented-steel-butterfly,0.280000,-2.162852,-1.248174
talented-steel-butterfly,0.290000,-2.182815,-1.234776
talented-steel-butterfly,0.300000,-2.201355,-1.221751
talented-steel-butterfly,0.310000,-2.218487,-1.209092
talented-steel-butterfly,0.320000,-2.234230,-1.196794
talented-steel-butterfly,0.330000,-2.248599,-1.184851
talented-steel-butterfly,0.340000,-2.261613,-1.173258
talented-steel-butterfly,0.350000,-2.273288,-1.162007
talented-steel-butterfly,0.360000,-2.283640,-1.151093
talented-steel-butterfly,0.370000,-2.292688,-1.140510
talented-steel-butterfly,0.380000,-2.300448,-1.130253
talented-steel-butterfly,0.390000,-2.306936,-1.120316
talented-steel-butterfly,0.400000,-2.312171,-1.110692
talented-steel-butterfly,0.410000,-2.316168,-1.101375
talented-steel-butterfly,0.420000,-2.318946,-1.092360
talented-steel-butterfly,0.430000,-2.320520,-1.083642
talented-steel-butterfly,0.440000,-2.320908,-1.075213
talented-steel-butterfly,0.450000,-2.320128,-1.067068
talented-steel-butterfly,0.460000,-2.318195,-1.059201
talented-steel-butterfly,0.470000,-2.315127,-1.051607
talented-steel-butterfly,0.480000,-2.310940,-1.044278
talented-steel-butterfly,0.490000,-2.305653,-1.037211
talented-steel-butterfly,0.500000,-2.299282,-1.030398
talented-steel-butterfly,0.510000,-2.291843,-1.023833
talented-steel-butterfly,0.520000,-2.283354,-1.017511
talented-steel-butterfly,0.530000,-2.273832,-1.011426
talented-steel-butterfly,0.540000,-2.263294,-1.005572
talented-steel-butterfly,0.550000,-2.251756,-0.999943
talented-steel-butterfly,0.560000,-2.239236,-0.994533
talented-steel-butterfly,0.570000,-2.225751,-0.989336
talented-steel-butterfly,0.580000,-2.211318,-0.984347
talented-steel-butterfly,0.590000,-2.195954,-0.979559
talented-steel-butterfly,0.600000,-2.179675,-0.974966
talented-steel-butterfly,0.610000,-2.162499,-0.970563
talented-steel-butterfly,0.620000,-2.144442,-0.966344
talented-steel-butterfly,0.630000,-2.125523,-0.962303
talented-steel-butterfly,0.640000,-2.105757,-0.958433
talented-steel-butterfly,0.650000,-2.085161,-0.954730
talented-steel-butterfly,0.660000,-2.063753,-0.951187
talented-steel-butterfly,0.670000,-2.041550,-0.947797
talented-steel-butterfly,0.680000,-2.018569,-0.944556
talented-steel-butterfly,0.690000,-1.994826,-0.941458
talented-steel-butterfly,0.700000,-1.970338,-0.938496
talented-steel-butterfly,0.710000,-1.945124,-0.935664
talented-steel-butterfly,0.720000,-1.919198,-0.932958
talented-steel-butterfly,0.730000,-1.892580,-0.930370
talented-steel-butterfly,0.740000,-1.865285,-0.927894
talented-steel-butterfly,0.750000,-1.837330,-0.925526
talented-steel-butterfly,0.760000,-1.808733,-0.923259
talented-steel-butterfly,0.770000,-1.779511,-0.921087
talented-steel-butterfly,0.780000,-1.749679,-0.919005
talented-steel-butterfly,0.790000,-1.719257,-0.917005
talented-steel-butterfly,0.800000,-1.688260,-0.915084
talented-steel-butterfly,0.810000,-1.656705,-0.913233
talented-steel-butterfly,0.820000,-1.624610,-0.911449
talented-steel-butterfly,0.830000,-1.591991,-0.909724
talented-steel-butterfly,0.840000,-1.558866,-0.908053
talented-steel-butterfly,0.850000,-1.525251,-0.906430
talented-steel-butterfly,0.860000,-1.491163,-0.904849
talented-steel-butterfly,0.870000,-1.456620,-0.903304
talented-steel-butterfly,0.880000,-1.421638,-0.901790
talented-steel-butterfly,0.890000,-1.386235,-0.900299
talented-steel-butterfly,0.900000,-1.350427,-0.898828
talented-steel-butterfly,0.910000,-1.314231,-0.897368
talented-steel-butterfly,0.920000,-1.277664,-0.895916
talented-steel-butterfly,0.930000,-1.240744,-0.894464
talented-steel-butterfly,0.940000,-1.203487,-0.893007
talented-steel-butterfly,0.950000,-1.165911,-0.891539
talented-steel-butterfly,0.960000,-1.128031,-0.890054
talented-steel-butterfly,0.970000,-1.089866,-0.888546
talented-steel-butterfly,0.980000,-1.051432,-0.887009
talented-steel-butterfly,0.990000,-1.012747,-0.885437
talented-steel-butterfly,1.000000,-0.973826,-0.883825
talented-steel-butterfly,1.010000,-0.934688,-0.882167
talented-steel-butterfly,1.020000,-0.895349,-0.880456
talented-steel-butterfly,1.030000,-0.855826,-0.878687
talented-steel-butterfly,1.040000,-0.816137,-0.876854
talented-steel-butterfly,1.050000,-0.776297,-0.874950
talented-steel-butterfly,1.060000,-0.736325,-0.872971
talented-steel-butterfly,1.070000,-0.696237,-0.870909
talented-steel-butterfly,1.080000,-0.656050,-0.868760
talented-steel-butterfly,1.090000,-0.615781,-0.866517
talented-steel-butterfly,1.100000,-0.575447,-0.864175
talented-steel-butterfly,1.110000,-0.535065,-0.861727
talented-steel-butterfly,1.120000,-0.494653,-0.859168
talented-steel-butterfly,1.130000,-0.454226,-0.856491
talented-steel-butterfly,1.140000,-0.413802,-0.853691
talented-steel-butterfly,1.150000,-0.373399,-0.850762
talented-steel-butterfly,1.160000,-0.333032,-0.847698
talented-steel-butterfly,1.170000,-0.292720,-0.844493
talented-steel-butterfly,1.180000,-0.252478,-0.841141
talented-steel-butterfly,1.190000,-0.212325,-0.837637
talented-steel-butterfly,1.200000,-0.172276,-0.833974
talented-steel-butterfly,1.210000,-0.132349,-0.830146
talented-steel-butterfly,1.220000,-0.092562,-0.826148
talented-steel-butterfly,1.230000,-0.052930,-0.821974
talented-steel-butterfly,1.240000,-0.013471,-0.817617
talented-steel-butterfly,1.250000,0.025798,-0.813072
talented-steel-butterfly,1.260000,0.064860,-0.808333
talented-steel-butterfly,1.270000,0.103698,-0.803395
talented-steel-butterfly,1.280000,0.142295,-0.798250
talented-steel-butterfly,1.290000,0.180634,-0.792894
talented-steel-butterfly,1.300000,0.218699,-0.787320
talented-steel-butterfly,1.310000,0.256472,-0.781522
talented-steel-butterfly,1.320000,0.293936,-0.775495
talented-steel-butterfly,1.330000,0.331074,-0.769233
