System,t,target X,target Y
talented-zippy-butterfly,0.000000,1.248251,0.656132
talented-zippy-butterfly,0.010000,1.240846,0.649510
talented-zippy-butterfly,0.020000,1.220458,0.631292
talented-zippy-butterfly,0.030000,1.190271,0.604345
talented-zippy-butterfly,0.040000,1.152752,0.570870
talented-zippy-butterfly,0.050000,1.109858,0.532609
talented-zippy-butterfly,0.060000,1.063158,0.490947
talented-zippy-butterfly,0.070000,1.013907,0.446982
talented-zippy-butterfly,0.080000,0.963112,0.401588
talented-zippy-butterfly,0.090000,0.911553,0.355437
talented-zippy-butterfly,0.100000,0.859828,0.309044
talented-zippy-butterfly,0.110000,0.808388,0.262799
talented-zippy-butterfly,0.120000,0.757566,0.216989
talented-zippy-butterfly,0.130000,0.707597,0.171821
talented-zippy-butterfly,0.140000,0.658645,0.127441
talented-zippy-butterfly,0.150000,0.610815,0.083947
talented-zippy-butterfly,0.160000,0.564170,0.041403
talented-zippy-butterfly,0.170000,0.518745,-0.000156
talented-zippy-butterfly,0.180000,0.474549,-0.040713
talented-zippy-butterfly,0.190000,0.431567,-0.080271
talented-zippy-butterfly,0.200000,0.389767,-0.118845
talented-zippy-butterfly,0.210000,0.349127,-0.156447
talented-zippy-butterfly,0.220000,0.309622,-0.193093
talented-zippy-butterfly,0.230000,0.271223,-0.228800
talented-zippy-butterfly,0.240000,0.233901,-0.263587
talented-zippy-butterfly,0.250000,0.197624,-0.297476
talented-zippy-butterfly,0.260000,0.162362,-0.330489
talented-zippy-butterfly,0.270000,0.128084,-0.362646
talented-zippy-butterfly,0.280000,0.094761,-0.393968
talented-zippy-butterfly,0.290000,0.062364,-0.424478
talented-zippy-butterfly,0.300000,0.030865,-0.454195
talented-zippy-butterfly,0.310000,0.000237,-0.483140
talented-zippy-butterfly,0.320000,-0.029547,-0.511333
talented-zippy-butterfly,0.330000,-0.058510,-0.538792
talented-zippy-butterfly,0.340000,-0.086678,-0.565537
talented-zippy-butterfly,0.350000,-0.114074,-0.591587
talented-zippy-butterfly,0.360000,-0.140718,-0.616957
talented-zippy-butterfly,0.370000,-0.166637,-0.641671
talented-zippy-butterfly,0.380000,-0.191857,-0.665749
