System,t,target X,target Y
thoughtful-antique-butterfly,0.000000,2.705065,0.650019
thoughtful-antique-butterfly,0.010000,2.703376,0.580579
thoughtful-antique-butterfly,0.020000,2.701559,0.512619
thoughtful-antique-butterfly,0.030000,2.699615,0.446128
thoughtful-antique-butterfly,0.040000,2.697546,0.381093
thoughtful-antique-butterfly,0.050000,2.695352,0.317505
thoughtful-antique-butterfly,0.060000,2.693035,0.255351
thoughtful-antique-butterfly,0.070000,2.690597,0.194620
thoughtful-antique-butterfly,0.080000,2.688038,0.135300
thoughtful-antique-butterfly,0.090000,2.685360,0.077381
thoughtful-antique-butterfly,0.100000,2.682563,0.020851
thoughtful-antique-butterfly,0.110000,2.679650,-0.034301
thoughtful-antique-butterfly,0.120000,2.676621,-0.088087
thoughtful-antique-butterfly,0.130000,2.673478,-0.140519
thoughtful-antique-butterfly,0.140000,2.670222,-0.191607
thoughtful-antique-butterfly,0.150000,2.666854,-0.241363
thoughtful-antique-butterfly,0.160000,2.663375,-0.289798
thoughtful-antique-butterfly,0.170000,2.659787,-0.336924
thoughtful-antique-butterfly,0.180000,2.656091,-0.382752
thoughtful-antique-butterfly,0.190000,2.652288,-0.427293
thoughtful-antique-butterfly,0.200000,2.648380,-0.470559
thoughtful-antique-butterfly,0.210000,2.644367,-0.512561
thoughtful-antique-butterfly,0.220000,2.640251,-0.553311
thoughtful-antique-butterfly,0.230000,2.636033,-0.592820
thoughtful-antique-butterfly,0.240000,2.631715,-0.631099
thoughtful-antique-butterfly,0.250000,2.627297,-0.668159
thoughtful-antique-butterfly,0.260000,2.622781,-0.704013
thoughtful-antique-butterfly,0.270000,2.618168,-0.738671
thoughtful-antique-butterfly,0.280000,2.613459,-0.772144
thoughtful-antique-butterfly,0.290000,2.608656,-0.804445
thoughtful-antique-butterfly,0.300000,2.603760,-0.835584
thoughtful-antique-butterfly,0.310000,2.598772,-0.865574
thoughtful-antique-butterfly,0.320000,2.593693,-0.894424
thoughtful-antique-butterfly,0.330000,2.588525,-0.922147
thoughtful-antique-butterfly,0.340000,2.583269,-0.948754
thoughtful-antique-butterfly,0.350000,2.577925,-0.974256
thoughtful-antique-butterfly,0.360000,2.572496,-0.998666
thoughtful-antique-butterfly,0.370000,2.566983,-1.021993
thoughtful-antique-butterfly,0.380000,2.561386,-1.044250
thoughtful-antique-butterfly,0.390000,2.555707,-1.065447
thoughtful-antique-butterfly,0.400000,2.549948,-1.085597
thoughtful-antique-butterfly,0.410000,2.544109,-1.104710
thoughtful-antique-butterfly,0.420000,2.538192,-1.122799
thoughtful-antique-butterfly,0.430000,2.532198,-1.139873
thoughtful-antique-butterfly,0.440000,2.526128,-1.155946
thoughtful-antique-butterfly,0.450000,2.519984,-1.171027
thoughtful-antique-butterfly,0.460000,2.513766,-1.185129
thoughtful-antique-butterfly,0.470000,2.507477,-1.198263
thoughtful-antique-butterfly,0.480000,2.501116,-1.210440
thoughtful-antique-butterfly,0.490000,2.494686,-1.221672
thoughtful-antique-butterfly,0.500000,2.488188,-1.231969
thoughtful-antique-butterfly,0.510000,2.481623,-1.241344
thoughtful-antique-butterfly,0.520000,2.474992,-1.249808
thoughtful-antique-butterfly,0.530000,2.468296,-1.257371
thoughtful-antique-butterfly,0.540000,2.461538,-1.264046
thoughtful-antique-butterfly,0.550000,2.454717,-1.269844
thoughtful-antique-butterfly,0.560000,2.447835,-1.274776
thoughtful-antique-butterfly,0.570000,2.440894,-1.278854
thoughtful-antique-butterfly,0.580000,2.433894,-1.282088
thoughtful-antique-butterfly,0.590000,2.426838,-1.284491
thoughtful-antique-butterfly,0.600000,2.419725,-1.286074
thoughtful-antique-butterfly,0.610000,2.412558,-1.286847
thoughtful-antique-butterfly,0.620000,2.405338,-1.286823
thoughtful-antique-butterfly,0.630000,2.398065,-1.286013
thoughtful-antique-butterfly,0.640000,2.390742,-1.284428
thoughtful-antique-butterfly,0.650000,2.383369,-1.282079
thoughtful-antique-butterfly,0.660000,2.375947,-1.278978
thoughtful-antique-butterfly,0.670000,2.368479,-1.275137
thoughtful-antique-butterfly,0.680000,2.360965,-1.270566
thoughtful-antique-butterfly,0.690000,2.353406,-1.265278
thoughtful-antique-butterfly,0.700000,2.345803,-1.259282
thoughtful-antique-butterfly,0.710000,2.338159,-1.252592
thoughtful-antique-butterfly,0.720000,2.330473,-1.245217
thoughtful-antique-butterfly,0.730000,2.322748,-1.237171
thoughtful-antique-butterfly,0.740000,2.314985,-1.228463
thoughtful-antique-butterfly,0.750000,2.307184,-1.219105
thoughtful-antique-butterfly,0.760000,2.299348,-1.209109
thoughtful-antique-butterfly,0.770000,2.291476,-1.198486
thoughtful-antique-butterfly,0.780000,2.283572,-1.187247
thoughtful-antique-butterfly,0.790000,2.275635,-1.175404
thoughtful-antique-butterfly,0.800000,2.267667,-1.162968
thoughtful-antique-butterfly,0.810000,2.259669,-1.149951
thoughtful-antique-butterfly,0.820000,2.251644,-1.136363
thoughtful-antique-butterfly,0.830000,2.243590,-1.122217
thoughtful-antique-butterfly,0.840000,2.235511,-1.107523
thoughtful-antique-butterfly,0.850000,2.227407,-1.092294
thoughtful-antique-butterfly,0.860000,2.219280,-1.076539
thoughtful-antique-butterfly,0.870000,2.211131,-1.060272
thoughtful-antique-butterfly,0.880000,2.202960,-1.043502
thoughtful-antique-butterfly,0.890000,2.194770,-1.026242
thoughtful-antique-butterfly,0.900000,2.186561,-1.008503
thoughtful-antique-butterfly,0.910000,2.178335,-0.990296
thoughtful-antique-butterfly,0.920000,2.170093,-0.971633
thoughtful-antique-butterfly,0.930000,2.161836,-0.952524
thoughtful-antique-butterfly,0.940000,2.153566,-0.932982
thoughtful-antique-butterfly,0.950000,2.145283,-0.913018
thoughtful-antique-butterfly,0.960000,2.136989,-0.892643
thoughtful-antique-butterfly,0.970000,2.128686,-0.871868
thoughtful-antique-butterfly,0.980000,2.120374,-0.850705
thoughtful-antique-butterfly,0.990000,2.112055,-0.829165
thoughtful-antique-butterfly,1.000000,2.103729,-0.807260
thoughtful-antique-butterfly,1.010000,2.095399,-0.785000
thoughtful-antique-butterfly,1.020000,2.087066,-0.762398
thoughtful-antique-butterfly,1.030000,2.078730,-0.739465
thoughtful-antique-butterfly,1.040000,2.070393,-0.716212
thoughtful-antique-butterfly,1.050000,2.062056,-0.692650
thoughtful-antique-butterfly,1.060000,2.053720,-0.668791
thoughtful-antique-butterfly,1.070000,2.045387,-0.644646
thoughtful-antique-butterfly,1.080000,2.037058,-0.620227
thoughtful-antique-butterfly,1.090000,2.028734,-0.595544
