System,t,target X,target Y
thoughtful-ruddy-butterfly,0.000000,0.446010,-2.198090
thoughtful-ruddy-butterfly,0.010000,0.424543,-2.198539
thoughtful-ruddy-butterfly,0.020000,0.371619,-2.198420
thoughtful-ruddy-butterfly,0.030000,0.304064,-2.195745
thoughtful-ruddy-butterfly,0.040000,0.229891,-2.189707
thoughtful-ruddy-butterfly,0.050000,0.153029,-2.180172
thoughtful-ruddy-butterfly,0.060000,0.075466,-2.167309
thoughtful-ruddy-butterfly,0.070000,-0.001742,-2.151399
thoughtful-ruddy-butterfly,0.080000,-0.077997,-2.132760
thoughtful-ruddy-butterfly,0.090000,-0.152936,-2.111710
thoughtful-ruddy-butterfly,0.100000,-0.226325,-2.088559
thoughtful-ruddy-butterfly,0.110000,-0.298008,-2.063596
thoughtful-ruddy-butterfly,0.120000,-0.367889,-2.037091
thoughtful-ruddy-butterfly,0.130000,-0.435901,-2.009291
thoughtful-ruddy-butterfly,0.140000,-0.502004,-1.980422
thoughtful-ruddy-butterfly,0.150000,-0.566182,-1.950686
thoughtful-ruddy-butterfly,0.160000,-0.628433,-1.920269
thoughtful-ruddy-butterfly,0.170000,-0.688771,-1.889333
thoughtful-ruddy-butterfly,0.180000,-0.747221,-1.858024
thoughtful-ruddy-butterfly,0.190000,-0.803824,-1.826469
thoughtful-ruddy-butterfly,0.200000,-0.858637,-1.794774
thoughtful-ruddy-butterfly,0.210000,-0.911702,-1.763038
thoughtful-ruddy-butterfly,0.220000,-0.963064,-1.731351
thoughtful-ruddy-butterfly,0.230000,-1.012771,-1.699792
thoughtful-ruddy-butterfly,0.240000,-1.060874,-1.668428
thoughtful-ruddy-butterfly,0.250000,-1.107427,-1.637323
thoughtful-ruddy-butterfly,0.260000,-1.152480,-1.606528
thoughtful-ruddy-butterfly,0.270000,-1.196088,-1.576092
thoughtful-ruddy-butterfly,0.280000,-1.238304,-1.546057
thoughtful-ruddy-butterfly,0.290000,-1.279179,-1.516460
thoughtful-ruddy-butterfly,0.300000,-1.318768,-1.487332
thoughtful-ruddy-butterfly,0.310000,-1.357120,-1.458704
thoughtful-ruddy-butterfly,0.320000,-1.394288,-1.430601
thoughtful-ruddy-butterfly,0.330000,-1.430321,-1.403044
thoughtful-ruddy-butterfly,0.340000,-1.465268,-1.376055
thoughtful-ruddy-butterfly,0.350000,-1.499178,-1.349649
thoughtful-ruddy-butterfly,0.360000,-1.532098,-1.323840
thoughtful-ruddy-butterfly,0.370000,-1.564088,-1.298629
thoughtful-ruddy-butterfly,0.380000,-1.595190,-1.274027
thoughtful-ruddy-butterfly,0.390000,-1.625447,-1.250042
thoughtful-ruddy-butterfly,0.400000,-1.654899,-1.226682
thoughtful-ruddy-butterfly,0.410000,-1.683584,-1.203951
thoughtful-ruddy-butterfly,0.420000,-1.711541,-1.181856
thoughtful-ruddy-butterfly,0.430000,-1.738804,-1.160398
thoughtful-ruddy-butterfly,0.440000,-1.765408,-1.139580
thoughtful-ruddy-butterfly,0.450000,-1.791386,-1.119401
