System,t,target X,target Y
thoughtful-steel-butterfly,0.000000,-1.930570,0.332029
thoughtful-steel-butterfly,0.010000,-1.975991,0.308950
thoughtful-steel-butterfly,0.020000,-2.020100,0.286948
thoughtful-steel-butterfly,0.030000,-2.062910,0.266011
thoughtful-steel-butterfly,0.040000,-2.104434,0.246126
thoughtful-steel-butterfly,0.050000,-2.144687,0.227281
thoughtful-steel-butterfly,0.060000,-2.183682,0.209464
thoughtful-steel-butterfly,0.070000,-2.221431,0.192661
thoughtful-steel-butterfly,0.080000,-2.257949,0.176861
thoughtful-steel-butterfly,0.090000,-2.293250,0.162050
thoughtful-steel-butterfly,0.100000,-2.327346,0.148216
thoughtful-steel-butterfly,0.110000,-2.360251,0.135347
thoughtful-steel-butterfly,0.120000,-2.391978,0.123430
thoughtful-steel-butterfly,0.130000,-2.422542,0.112452
thoughtful-steel-butterfly,0.140000,-2.451955,0.102401
thoughtful-steel-butterfly,0.150000,-2.480231,0.093265
thoughtful-steel-butterfly,0.160000,-2.507384,0.085030
thoughtful-steel-butterfly,0.170000,-2.533427,0.077685
thoughtful-steel-butterfly,0.180000,-2.558373,0.071216
thoughtful-steel-butterfly,0.190000,-2.582236,0.065612
thoughtful-steel-butterfly,0.200000,-2.605030,0.060860
thoughtful-steel-butterfly,0.210000,-2.626767,0.056946
thoughtful-steel-butterfly,0.220000,-2.647463,0.053859
thoughtful-steel-butterfly,0.230000,-2.667129,0.051587
thoughtful-steel-butterfly,0.240000,-2.685779,0.050115
thoughtful-steel-butterfly,0.250000,-2.703427,0.049433
thoughtful-steel-butterfly,0.260000,-2.720087,0.049527
thoughtful-steel-butterfly,0.270000,-2.735772,0.050385
thoughtful-steel-butterfly,0.280000,-2.750495,0.051994
thoughtful-steel-butterfly,0.290000,-2.764270,0.054342
thoughtful-steel-butterfly,0.300000,-2.777110,0.057416
thoughtful-steel-butterfly,0.310000,-2.789029,0.061204
thoughtful-steel-butterfly,0.320000,-2.800040,0.065693
thoughtful-steel-butterfly,0.330000,-2.810158,0.070871
thoughtful-steel-butterfly,0.340000,-2.819394,0.076725
thoughtful-steel-butterfly,0.350000,-2.827763,0.083242
thoughtful-steel-butterfly,0.360000,-2.835279,0.090411
thoughtful-steel-butterfly,0.370000,-2.841954,0.098217
thoughtful-steel-butterfly,0.380000,-2.847803,0.106650
thoughtful-steel-butterfly,0.390000,-2.852838,0.115696
thoughtful-steel-butterfly,0.400000,-2.857074,0.125343
thoughtful-steel-butterfly,0.410000,-2.860523,0.135578
thoughtful-steel-butterfly,0.420000,-2.863199,0.146389
thoughtful-steel-butterfly,0.430000,-2.865116,0.157762
thoughtful-steel-butterfly,0.440000,-2.866288,0.169687
thoughtful-steel-butterfly,0.450000,-2.866727,0.182150
thoughtful-steel-butterfly,0.460000,-2.866447,0.195138
thoughtful-steel-butterfly,0.470000,-2.865461,0.208639
thoughtful-steel-butterfly,0.480000,-2.863784,0.222641
thoughtful-steel-butterfly,0.490000,-2.861429,0.237130
thoughtful-steel-butterfly,0.500000,-2.858408,0.252095
thoughtful-steel-butterfly,0.510000,-2.854736,0.267523
thoughtful-steel-butterfly,0.520000,-2.850426,0.283401
thoughtful-steel-butterfly,0.530000,-2.845492,0.299717
thoughtful-steel-butterfly,0.540000,-2.839947,0.316458
thoughtful-steel-butterfly,0.550000,-2.833804,0.333611
thoughtful-steel-butterfly,0.560000,-2.827078,0.351165
thoughtful-steel-butterfly,0.570000,-2.819780,0.369106
thoughtful-steel-butterfly,0.580000,-2.811926,0.387423
thoughtful-steel-butterfly,0.590000,-2.803528,0.406101
thoughtful-steel-butterfly,0.600000,-2.794601,0.425130
thoughtful-steel-butterfly,0.610000,-2.785156,0.444496
thoughtful-steel-butterfly,0.620000,-2.775209,0.464187
thoughtful-steel-butterfly,0.630000,-2.764772,0.484190
thoughtful-steel-butterfly,0.640000,-2.753859,0.504493
thoughtful-steel-butterfly,0.650000,-2.742483,0.525084
thoughtful-steel-butterfly,0.660000,-2.730659,0.545949
thoughtful-steel-butterfly,0.670000,-2.718398,0.567076
thoughtful-steel-butterfly,0.680000,-2.705716,0.588452
thoughtful-steel-butterfly,0.690000,-2.692625,0.610066
thoughtful-steel-butterfly,0.700000,-2.679139,0.631904
thoughtful-steel-butterfly,0.710000,-2.665271,0.653954
thoughtful-steel-butterfly,0.720000,-2.651034,0.676204
thoughtful-steel-butterfly,0.730000,-2.636444,0.698640
thoughtful-steel-butterfly,0.740000,-2.621512,0.721251
thoughtful-steel-butterfly,0.750000,-2.606252,0.744023
thoughtful-steel-butterfly,0.760000,-2.590678,0.766945
thoughtful-steel-butterfly,0.770000,-2.574803,0.790003
thoughtful-steel-butterfly,0.780000,-2.558641,0.813186
thoughtful-steel-butterfly,0.790000,-2.542205,0.836480
thoughtful-steel-butterfly,0.800000,-2.525509,0.859873
thoughtful-steel-butterfly,0.810000,-2.508566,0.883353
thoughtful-steel-butterfly,0.820000,-2.491390,0.906907
thoughtful-steel-butterfly,0.830000,-2.473994,0.930522
thoughtful-steel-butterfly,0.840000,-2.456392,0.954186
thoughtful-steel-butterfly,0.850000,-2.438597,0.977887
thoughtful-steel-butterfly,0.860000,-2.420622,1.001611
thoughtful-steel-butterfly,0.870000,-2.402482,1.025346
thoughtful-steel-butterfly,0.880000,-2.384189,1.049080
thoughtful-steel-butterfly,0.890000,-2.365757,1.072801
thoughtful-steel-butterfly,0.900000,-2.347200,1.096495
thoughtful-steel-butterfly,0.910000,-2.328531,1.120150
thoughtful-steel-butterfly,0.920000,-2.309763,1.143754
thoughtful-steel-butterfly,0.930000,-2.290911,1.167293
thoughtful-steel-butterfly,0.940000,-2.271987,1.190756
thoughtful-steel-butterfly,0.950000,-2.253005,1.214130
thoughtful-steel-butterfly,0.960000,-2.233979,1.237403
thoughtful-steel-butterfly,0.970000,-2.214921,1.260561
thoughtful-steel-butterfly,0.980000,-2.195846,1.283592
thoughtful-steel-butterfly,0.990000,-2.176767,1.306484
