System,t,target X,target Y
thoughtful-zippy-butterfly,0.000000,2.004451,1.672871
thoughtful-zippy-butterfly,0.010000,2.007347,1.659665
thoughtful-zippy-butterfly,0.020000,2.013036,1.626296
thoughtful-zippy-butterfly,0.030000,2.017136,1.581805
thoughtful-zippy-butterfly,0.040000,2.017523,1.530298
thoughtful-zippy-butterfly,0.050000,2.013158,1.473708
thoughtful-zippy-butterfly,0.060000,2.003523,1.413019
thoughtful-zippy-butterfly,0.070000,1.988374,1.348845
thoughtful-zippy-butterfly,0.080000,1.967655,1.281683
thoughtful-zippy-butterfly,0.090000,1.941461,1.212021
thoughtful-zippy-butterfly,0.100000,1.910065,1.140383
thoughtful-zippy-butterfly,0.110000,1.873839,1.067307
thoughtful-zippy-butterfly,0.120000,1.833282,0.993349
thoughtful-zippy-butterfly,0.130000,1.788999,0.919055
thoughtful-zippy-butterfly,0.140000,1.741667,0.844937
thoughtful-zippy-butterfly,0.150000,1.692002,0.771445
thoughtful-zippy-butterfly,0.160000,1.640720,0.698950
thoughtful-zippy-butterfly,0.170000,1.588509,0.627731
thoughtful-zippy-butterfly,0.180000,1.536004,0.557982
thoughtful-zippy-butterfly,0.190000,1.483776,0.489814
thoughtful-zippy-butterfly,0.200000,1.432323,0.423271
thoughtful-zippy-butterfly,0.210000,1.382074,0.358341
thoughtful-zippy-butterfly,0.220000,1.333391,0.294974
thoughtful-zippy-butterfly,0.230000,1.286569,0.233054
thoughtful-zippy-butterfly,0.240000,1.241855,0.172462
thoughtful-zippy-butterfly,0.250000,1.199462,0.113105
thoughtful-zippy-butterfly,0.260000,1.159570,0.054894
thoughtful-zippy-butterfly,0.270000,1.122329,-0.002257
thoughtful-zippy-butterfly,0.280000,1.087866,-0.058422
thoughtful-zippy-butterfly,0.290000,1.056286,-0.113667
thoughtful-zippy-butterfly,0.300000,1.027671,-0.168044
thoughtful-zippy-butterfly,0.310000,1.002085,-0.221593
thoughtful-zippy-butterfly,0.320000,0.979570,-0.274340
thoughtful-zippy-butterfly,0.330000,0.960147,-0.326299
thoughtful-zippy-butterfly,0.340000,0.943810,-0.377471
thoughtful-zippy-butterfly,0.350000,0.930531,-0.427848
thoughtful-zippy-butterfly,0.360000,0.920255,-0.477406
thoughtful-zippy-butterfly,0.370000,0.912891,-0.526125
thoughtful-zippy-butterfly,0.380000,0.908324,-0.573963
thoughtful-zippy-butterfly,0.390000,0.906405,-0.620852
thoughtful-zippy-butterfly,0.400000,0.906935,-0.666757
thoughtful-zippy-butterfly,0.410000,0.909675,-0.711611
thoughtful-zippy-butterfly,0.420000,0.914451,-0.755654
thoughtful-zippy-butterfly,0.430000,0.920980,-0.798711
thoughtful-zippy-butterfly,0.440000,0.928968,-0.840754
thoughtful-zippy-butterfly,0.450000,0.938105,-0.881774
thoughtful-zippy-butterfly,0.460000,0.948064,-0.921775
thoughtful-zippy-butterfly,0.470000,0.958518,-0.960769
thoughtful-zippy-butterfly,0.480000,0.969129,-0.998776
thoughtful-zippy-butterfly,0.490000,0.979570,-1.035822
thoughtful-zippy-butterfly,0.500000,0.989520,-1.071935
thoughtful-zippy-butterfly,0.510000,0.998677,-1.107143
thoughtful-zippy-butterfly,0.520000,1.006760,-1.141475
thoughtful-zippy-butterfly,0.530000,1.013515,-1.174955
thoughtful-zippy-butterfly,0.540000,1.018757,-1.207613
thoughtful-zippy-butterfly,0.550000,1.022294,-1.239463
thoughtful-zippy-butterfly,0.560000,1.023966,-1.270509
thoughtful-zippy-butterfly,0.570000,1.023645,-1.300751
thoughtful-zippy-butterfly,0.580000,1.021237,-1.330178
thoughtful-zippy-butterfly,0.590000,1.016677,-1.358775
thoughtful-zippy-butterfly,0.600000,1.009934,-1.386520
thoughtful-zippy-butterfly,0.610000,1.001000,-1.413388
thoughtful-zippy-butterfly,0.620000,0.989893,-1.439349
thoughtful-zippy-butterfly,0.630000,0.976657,-1.464372
thoughtful-zippy-butterfly,0.640000,0.961381,-1.488440
thoughtful-zippy-butterfly,0.650000,0.944140,-1.511524
thoughtful-zippy-butterfly,0.660000,0.925023,-1.533599
