ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
88737810277924099!,great-bipedal-bumblebee,0.000000,1.533042,-1.212485,0.000000,-1.212485,0.000000,0.000000,0.000000,0.000000,0.120826,-0.303198
88737810277924099!,great-bipedal-bumblebee,0.010000,1.529404,-1.208810,0.000000,-1.208810,-0.727498,0.734957,0.000000,0.734957,0.106642,-0.266484
88737810277924099!,great-bipedal-bumblebee,0.020000,1.518956,-1.198255,0.000000,-1.198255,-1.360895,1.374848,0.000000,1.374848,0.093945,-0.233620
88737810277924099!,great-bipedal-bumblebee,0.030000,1.502581,-1.181712,0.000000,-1.181712,-1.910061,1.929644,0.000000,1.929644,0.082589,-0.204224
88737810277924099!,great-bipedal-bumblebee,0.040000,1.481073,-1.159984,0.000000,-1.159984,-2.383883,2.408323,0.000000,2.408323,0.072439,-0.177951
88737810277924099!,great-bipedal-bumblebee,0.050000,1.455143,-1.133788,0.000000,-1.133788,-2.790364,2.818972,0.000000,2.818972,0.063374,-0.154489
88737810277924099!,great-bipedal-bumblebee,0.060000,1.425462,-1.103803,0.000000,-1.103803,-3.136711,3.168869,0.000000,3.168869,0.055290,-0.133562
88737810277924099!,great-bipedal-bumblebee,0.070000,1.392608,-1.070612,0.000000,-1.070612,-3.429419,3.464579,0.000000,3.464579,0.048087,-0.114918
88737810277924099!,great-bipedal-bumblebee,0.080000,1.357081,-1.034721,0.000000,-1.034721,-3.674340,3.712010,0.000000,3.712010,0.041676,-0.098325
88737810277924099!,great-bipedal-bumblebee,0.090000,1.319324,-0.996577,0.000000,-0.996577,-3.876733,3.916478,0.000000,3.916478,0.035979,-0.083578
88737810277924099!,great-bipedal-bumblebee,0.100000,1.279734,-0.956581,0.000000,-0.956581,-4.041327,4.082760,0.000000,4.082760,0.030922,-0.070488
88737810277924099!,great-bipedal-bumblebee,0.110000,1.238664,-0.915089,0.000000,-0.915089,-4.172372,4.215148,0.000000,4.215148,0.026441,-0.058889
88737810277924099!,great-bipedal-bumblebee,0.120000,1.196428,-0.872421,0.000000,-0.872421,-4.273686,4.317501,0.000000,4.317501,0.022476,-0.048627
88737810277924099!,great-bipedal-bumblebee,0.130000,1.153310,-0.828860,0.000000,-0.828860,-4.348699,4.393283,0.000000,4.393283,0.018976,-0.039568
88737810277924099!,great-bipedal-bumblebee,0.140000,1.109556,-0.784657,0.000000,-0.784657,-4.400493,4.445608,0.000000,4.445608,0.015893,-0.031588
88737810277924099!,great-bipedal-bumblebee,0.150000,1.065387,-0.740036,0.000000,-0.740036,-4.431833,4.477269,0.000000,4.477269,0.013185,-0.024576
88737810277924099!,great-bipedal-bumblebee,0.160000,1.020998,-0.695191,0.000000,-0.695191,-4.445201,4.490774,0.000000,4.490774,0.010811,-0.018433
88737810277924099!,great-bipedal-bumblebee,0.170000,0.976559,-0.650297,0.000000,-0.650297,-4.442824,4.488373,0.000000,4.488373,0.008739,-0.013069
88737810277924099!,great-bipedal-bumblebee,0.180000,0.932219,-0.605503,0.000000,-0.605503,-4.426698,4.472082,0.000000,4.472082,0.006936,-0.008402
88737810277924099!,great-bipedal-bumblebee,0.190000,0.888111,-0.560943,0.000000,-0.560943,-4.398611,4.443707,0.000000,4.443707,0.005374,-0.004360
88737810277924099!,great-bipedal-bumblebee,0.200000,0.844349,-0.516731,0.000000,-0.516731,-4.360165,4.404866,0.000000,4.404866,0.004029,-0.000878
88737810277924099!,great-bipedal-bumblebee,0.210000,0.801030,-0.472968,0.000000,-0.472968,-4.312791,4.357007,0.000000,4.357007,0.002876,0.002105
88737810277924099!,great-bipedal-bumblebee,0.220000,0.758240,-0.429740,0.000000,-0.429740,-4.257772,4.301424,0.000000,4.301424,0.001896,0.004642
88737810277924099!,great-bipedal-bumblebee,0.230000,0.716053,-0.387120,0.000000,-0.387120,-4.196251,4.239272,0.000000,4.239272,0.001070,0.006780
88737810277924099!,great-bipedal-bumblebee,0.240000,0.674530,-0.345172,0.000000,-0.345172,-4.129250,4.171584,0.000000,4.171584,0.000382,0.008563
88737810277924099!,great-bipedal-bumblebee,0.250000,0.633724,-0.303947,0.000000,-0.303947,-4.057679,4.099279,0.000000,4.099279,-0.000185,0.010030
88737810277924099!,great-bipedal-bumblebee,0.260000,0.593678,-0.263491,0.000000,-0.263491,-3.982348,4.023176,0.000000,4.023176,-0.000643,0.011216
88737810277924099!,great-bipedal-bumblebee,0.270000,0.554429,-0.223840,0.000000,-0.223840,-3.903979,3.944003,0.000000,3.944003,-0.001005,0.012152
88737810277924099!,great-bipedal-bumblebee,0.280000,0.515995,-0.185012,0.000000,-0.185012,-3.823210,3.862407,0.000000,3.862407,-0.001281,0.012867
88737810277924099!,great-bipedal-bumblebee,0.290000,0.478384,-0.147015,0.000000,-0.147015,-3.740608,3.778958,0.000000,3.778958,-0.001483,0.013390
88737810277924099!,great-bipedal-bumblebee,0.300000,0.441612,-0.109866,0.000000,-0.109866,-3.656666,3.694155,0.000000,3.694155,-0.001619,0.013742
88737810277924099!,great-bipedal-bumblebee,0.310000,0.405691,-0.073577,0.000000,-0.073577,-3.571821,3.608440,0.000000,3.608440,-0.001697,0.013945
88737810277924099!,great-bipedal-bumblebee,0.320000,0.370629,-0.038155,0.000000,-0.038155,-3.486456,3.522201,0.000000,3.522201,-0.001725,0.014015
88737810277924099!,great-bipedal-bumblebee,0.330000,0.336431,-0.003606,0.000000,-0.003606,-3.400912,3.435779,0.000000,3.435779,-0.001707,0.013970
88737810277924099!,great-bipedal-bumblebee,0.340000,0.303097,0.030070,0.000000,0.030070,-3.315482,3.349473,0.000000,3.349473,-0.001651,0.013824
88737810277924099!,great-bipedal-bumblebee,0.350000,0.270626,0.062873,0.000000,0.062873,-3.230426,3.263545,0.000000,3.263545,-0.001561,0.013591
88737810277924099!,great-bipedal-bumblebee,0.360000,0.239015,0.094808,0.000000,0.094808,-3.145970,3.178223,0.000000,3.178223,-0.001441,0.013281
88737810277924099!,great-bipedal-bumblebee,0.370000,0.208259,0.125880,0.000000,0.125880,-3.062308,3.093704,0.000000,3.093704,-0.001296,0.012905
88737810277924099!,great-bipedal-bumblebee,0.380000,0.178348,0.156097,0.000000,0.156097,-2.979610,3.010157,0.000000,3.010157,-0.001129,0.012473
88737810277924099!,great-bipedal-bumblebee,0.390000,0.149260,0.185483,0.000000,0.185483,-2.898019,2.927730,0.000000,2.927730,-0.000944,0.011994
88737810277924099!,great-bipedal-bumblebee,0.400000,0.120979,0.214054,0.000000,0.214054,-2.817654,2.846541,0.000000,2.846541,-0.000744,0.011477
88737810277924099!,great-bipedal-bumblebee,0.410000,0.093493,0.241822,0.000000,0.241822,-2.738614,2.766691,0.000000,2.766691,-0.000532,0.010928
88737810277924099!,great-bipedal-bumblebee,0.420000,0.066787,0.268802,0.000000,0.268802,-2.660981,2.688262,0.000000,2.688262,-0.000310,0.010353
88737810277924099!,great-bipedal-bumblebee,0.430000,0.040845,0.295010,0.000000,0.295010,-2.584821,2.611322,0.000000,2.611322,-0.000080,0.009758
88737810277924099!,great-bipedal-bumblebee,0.440000,0.015654,0.320459,0.000000,0.320459,-2.510189,2.535925,0.000000,2.535925,0.000157,0.009145
88737810277924099!,great-bipedal-bumblebee,0.450000,-0.008803,0.345167,0.000000,0.345167,-2.437127,2.462113,0.000000,2.462113,0.000398,0.008521
88737810277924099!,great-bipedal-bumblebee,0.460000,-0.032542,0.369150,0.000000,0.369150,-2.365665,2.389918,0.000000,2.389918,0.000643,0.007887
88737810277924099!,great-bipedal-bumblebee,0.470000,-0.055580,0.392424,0.000000,0.392424,-2.295827,2.319364,0.000000,2.319364,0.000890,0.007248
88737810277924099!,great-bipedal-bumblebee,0.480000,-0.077933,0.415005,0.000000,0.415005,-2.227626,2.250465,0.000000,2.250465,0.001138,0.006606
88737810277924099!,great-bipedal-bumblebee,0.490000,-0.099616,0.436911,0.000000,0.436911,-2.161071,2.183227,0.000000,2.183227,0.001386,0.005964
88737810277924099!,great-bipedal-bumblebee,0.500000,-0.120648,0.458159,0.000000,0.458159,-2.096163,2.117653,0.000000,2.117653,0.001633,0.005323
88737810277924099!,great-bipedal-bumblebee,0.510000,-0.141045,0.478764,0.000000,0.478764,-2.032897,2.053739,0.000000,2.053739,0.001880,0.004686
88737810277924099!,great-bipedal-bumblebee,0.520000,-0.160822,0.498744,0.000000,0.498744,-1.971264,1.991474,0.000000,1.991474,0.002124,0.004053
88737810277924099!,great-bipedal-bumblebee,0.530000,-0.179996,0.518115,0.000000,0.518115,-1.911252,1.930847,0.000000,1.930847,0.002366,0.003428
88737810277924099!,great-bipedal-bumblebee,0.540000,-0.198584,0.536894,0.000000,0.536894,-1.852844,1.871840,0.000000,1.871840,0.002605,0.002809
88737810277924099!,great-bipedal-bumblebee,0.550000,-0.216601,0.555095,0.000000,0.555095,-1.796021,1.814434,0.000000,1.814434,0.002840,0.002200
88737810277924099!,great-bipedal-bumblebee,0.560000,-0.234063,0.572736,0.000000,0.572736,-1.740760,1.758607,0.000000,1.758607,0.003072,0.001599
88737810277924099!,great-bipedal-bumblebee,0.570000,-0.250985,0.589832,0.000000,0.589832,-1.687038,1.704334,0.000000,1.704334,0.003300,0.001009
88737810277924099!,great-bipedal-bumblebee,0.580000,-0.267384,0.606399,0.000000,0.606399,-1.634829,1.651589,0.000000,1.651589,0.003524,0.000430
88737810277924099!,great-bipedal-bumblebee,0.590000,-0.283272,0.622450,0.000000,0.622450,-1.584104,1.600345,0.000000,1.600345,0.003743,-0.000138
88737810277924099!,great-bipedal-bumblebee,0.600000,-0.298666,0.638002,0.000000,0.638002,-1.534837,1.550572,0.000000,1.550572,0.003958,-0.000695
88737810277924099!,great-bipedal-bumblebee,0.610000,-0.313580,0.653069,0.000000,0.653069,-1.486995,1.502241,0.000000,1.502241,0.004169,-0.001240
88737810277924099!,great-bipedal-bumblebee,0.620000,-0.328027,0.667664,0.000000,0.667664,-1.440551,1.455320,0.000000,1.455320,0.004375,-0.001773
88737810277924099!,great-bipedal-bumblebee,0.630000,-0.342022,0.681802,0.000000,0.681802,-1.395472,1.409778,0.000000,1.409778,0.004576,-0.002293
88737810277924099!,great-bipedal-bumblebee,0.640000,-0.355577,0.695497,0.000000,0.695497,-1.351727,1.365585,0.000000,1.365585,0.004772,-0.002801
88737810277924099!,great-bipedal-bumblebee,0.650000,-0.368707,0.708761,0.000000,0.708761,-1.309284,1.322707,0.000000,1.322707,0.004964,-0.003297
88737810277924099!,great-bipedal-bumblebee,0.660000,-0.381423,0.721607,0.000000,0.721607,-1.268113,1.281114,0.000000,1.281114,0.005151,-0.003781
88737810277924099!,great-bipedal-bumblebee,0.670000,-0.393738,0.734048,0.000000,0.734048,-1.228180,1.240772,0.000000,1.240772,0.005333,-0.004252
88737810277924099!,great-bipedal-bumblebee,0.680000,-0.405664,0.746097,0.000000,0.746097,-1.189456,1.201650,0.000000,1.201650,0.005510,-0.004711
88737810277924099!,great-bipedal-bumblebee,0.690000,-0.417214,0.757765,0.000000,0.757765,-1.151907,1.163717,0.000000,1.163717,0.005682,-0.005158
88737810277924099!,great-bipedal-bumblebee,0.700000,-0.428398,0.769064,0.000000,0.769064,-1.115504,1.126941,0.000000,1.126941,0.005850,-0.005592
88737810277924099!,great-bipedal-bumblebee,0.710000,-0.439228,0.780005,0.000000,0.780005,-1.080216,1.091290,0.000000,1.091290,0.006014,-0.006015
88737810277924099!,great-bipedal-bumblebee,0.720000,-0.449715,0.790599,0.000000,0.790599,-1.046011,1.056735,0.000000,1.056735,0.006173,-0.006427
88737810277924099!,great-bipedal-bumblebee,0.730000,-0.459869,0.800857,0.000000,0.800857,-1.012860,1.023244,0.000000,1.023244,0.006327,-0.006826
88737810277924099!,great-bipedal-bumblebee,0.740000,-0.469700,0.810789,0.000000,0.810789,-0.980734,0.990789,0.000000,0.990789,0.006477,-0.007215
88737810277924099!,great-bipedal-bumblebee,0.750000,-0.479219,0.820406,0.000000,0.820406,-0.949604,0.959339,0.000000,0.959339,0.006623,-0.007592
88737810277924099!,great-bipedal-bumblebee,0.760000,-0.488436,0.829717,0.000000,0.829717,-0.919441,0.928867,0.000000,0.928867,0.006765,-0.007959
88737810277924099!,great-bipedal-bumblebee,0.770000,-0.497359,0.838732,0.000000,0.838732,-0.890217,0.899344,0.000000,0.899344,0.006902,-0.008315
88737810277924099!,great-bipedal-bumblebee,0.780000,-0.505998,0.847459,0.000000,0.847459,-0.861905,0.870742,0.000000,0.870742,0.007036,-0.008660
88737810277924099!,great-bipedal-bumblebee,0.790000,-0.514362,0.855909,0.000000,0.855909,-0.834479,0.843034,0.000000,0.843034,0.007165,-0.008995
88737810277924099!,great-bipedal-bumblebee,0.800000,-0.522459,0.864090,0.000000,0.864090,-0.807912,0.816195,0.000000,0.816195,0.007291,-0.009321
88737810277924099!,great-bipedal-bumblebee,0.810000,-0.530299,0.872009,0.000000,0.872009,-0.782179,0.790198,0.000000,0.790198,0.007413,-0.009636
88737810277924099!,great-bipedal-bumblebee,0.820000,-0.537888,0.879676,0.000000,0.879676,-0.757254,0.765018,0.000000,0.765018,0.007531,-0.009942
88737810277924099!,great-bipedal-bumblebee,0.830000,-0.545235,0.887099,0.000000,0.887099,-0.733115,0.740631,0.000000,0.740631,0.007646,-0.010239
88737810277924099!,great-bipedal-bumblebee,0.840000,-0.552348,0.894284,0.000000,0.894284,-0.709736,0.717012,0.000000,0.717012,0.007757,-0.010527
88737810277924099!,great-bipedal-bumblebee,0.850000,-0.559233,0.901240,0.000000,0.901240,-0.687095,0.694139,0.000000,0.694139,0.007865,-0.010806
88737810277924099!,great-bipedal-bumblebee,0.860000,-0.565899,0.907974,0.000000,0.907974,-0.665169,0.671989,0.000000,0.671989,0.007969,-0.011077
88737810277924099!,great-bipedal-bumblebee,0.870000,-0.572351,0.914493,0.000000,0.914493,-0.643937,0.650539,0.000000,0.650539,0.008071,-0.011339
88737810277924099!,great-bipedal-bumblebee,0.880000,-0.578598,0.920803,0.000000,0.920803,-0.623377,0.629769,0.000000,0.629769,0.008169,-0.011593
88737810277924099!,great-bipedal-bumblebee,0.890000,-0.584644,0.926912,0.000000,0.926912,-0.603469,0.609656,0.000000,0.609656,0.008264,-0.011840
88737810277924099!,great-bipedal-bumblebee,0.900000,-0.590498,0.932825,0.000000,0.932825,-0.584193,0.590182,0.000000,0.590182,0.008356,-0.012078
88737810277924099!,great-bipedal-bumblebee,0.910000,-0.596164,0.938550,0.000000,0.938550,-0.565528,0.571326,0.000000,0.571326,0.008446,-0.012310
88737810277924099!,great-bipedal-bumblebee,0.920000,-0.601649,0.944091,0.000000,0.944091,-0.547456,0.553069,0.000000,0.553069,0.008532,-0.012534
88737810277924099!,great-bipedal-bumblebee,0.930000,-0.606959,0.949455,0.000000,0.949455,-0.529959,0.535392,0.000000,0.535392,0.008616,-0.012751
88737810277924099!,great-bipedal-bumblebee,0.940000,-0.612098,0.954647,0.000000,0.954647,-0.513018,0.518278,0.000000,0.518278,0.008697,-0.012961
88737810277924099!,great-bipedal-bumblebee,0.950000,-0.617073,0.959674,0.000000,0.959674,-0.496616,0.501708,0.000000,0.501708,0.008776,-0.013165
88737810277924099!,great-bipedal-bumblebee,0.960000,-0.621889,0.964539,0.000000,0.964539,-0.480737,0.485666,0.000000,0.485666,0.008852,-0.013363
88737810277924099!,great-bipedal-bumblebee,0.970000,-0.626551,0.969249,0.000000,0.969249,-0.465364,0.470135,0.000000,0.470135,0.008926,-0.013554
88737810277924099!,great-bipedal-bumblebee,0.980000,-0.631064,0.973808,0.000000,0.973808,-0.450480,0.455099,0.000000,0.455099,0.008998,-0.013739
88737810277924099!,great-bipedal-bumblebee,0.990000,-0.635432,0.978221,0.000000,0.978221,-0.436071,0.440542,0.000000,0.440542,0.009067,-0.013918
