ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
330639783752301949!,great-devious-beetle,0.000000,-0.000349,2.144941,1.048542,1.072641,0.000000,0.000000,0.000000,0.000000,-0.284714,0.021341
330639783752301949!,great-devious-beetle,0.010000,0.003582,2.139252,1.053406,1.067865,0.785997,-1.134312,0.968548,-0.955434,-0.182162,0.052088
330639783752301949!,great-devious-beetle,0.020000,0.013255,2.122378,1.066717,1.054568,1.145894,-2.239543,1.686636,-1.706066,-0.146095,0.057522
330639783752301949!,great-devious-beetle,0.030000,0.025883,2.094790,1.086543,1.034129,1.374502,-3.276185,2.267871,-2.382816,-0.127386,0.057154
330639783752301949!,great-devious-beetle,0.040000,0.040514,2.057143,1.111664,1.007077,1.544846,-4.244513,2.740381,-3.024975,-0.114312,0.055141
330639783752301949!,great-devious-beetle,0.050000,0.056675,2.010097,1.141033,0.973676,1.678009,-5.147391,3.112081,-3.646992,-0.103743,0.052247
330639783752301949!,great-devious-beetle,0.060000,0.074038,1.954304,1.173659,0.934090,1.781513,-5.983822,3.386015,-4.254435,-0.094625,0.048527
330639783752301949!,great-devious-beetle,0.070000,0.092330,1.890456,1.208572,0.888456,1.858402,-6.748907,3.564290,-4.848522,-0.086507,0.043945
330639783752301949!,great-devious-beetle,0.080000,0.111296,1.819318,1.244820,0.836912,1.909635,-7.435256,3.649311,-5.427974,-0.079183,0.038506
330639783752301949!,great-devious-beetle,0.090000,0.130688,1.741737,1.281482,0.779618,1.934989,-8.034619,3.644250,-5.990167,-0.072590,0.032297
330639783752301949!,great-devious-beetle,0.100000,0.150219,1.658683,1.317642,0.716812,1.933430,-8.539698,3.553378,-6.531816,-0.066779,0.025465
330639783752301949!,great-devious-beetle,0.110000,0.169601,1.571138,1.352462,0.648727,1.903948,-8.944801,3.381596,-7.049928,-0.061815,0.018242
330639783752301949!,great-devious-beetle,0.120000,0.188540,1.480113,1.385158,0.575620,1.845520,-9.246993,3.134212,-7.542092,-0.057791,0.010888
330639783752301949!,great-devious-beetle,0.130000,0.206731,1.386622,1.415004,0.497759,1.757380,-9.446480,2.816540,-8.006715,-0.054795,0.003661
330639783752301949!,great-devious-beetle,0.140000,0.223866,1.291657,1.441327,0.415422,1.639185,-9.546537,2.433447,-8.442972,-0.052882,-0.003212
