ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
1748314402591850067!,great-impartial-bumblebee,0.000000,1.878974,-0.807587,0.000000,-0.807587,0.000000,0.000000,0.000000,0.000000,-0.047406,-0.079327,0.155263
1748314402591850067!,great-impartial-bumblebee,0.010000,1.875618,-0.802722,0.000000,-0.802722,-0.671214,0.972989,0.000000,0.972989,-0.041722,-0.070281,0.136737
1748314402591850067!,great-impartial-bumblebee,0.020000,1.865978,-0.788748,0.000000,-0.788748,-1.255607,1.820123,0.000000,1.820123,-0.036635,-0.062184,0.120154
1748314402591850067!,great-impartial-bumblebee,0.030000,1.850870,-0.766847,0.000000,-0.766847,-1.762286,2.554602,0.000000,2.554602,-0.032085,-0.054942,0.105321
1748314402591850067!,great-impartial-bumblebee,0.040000,1.831026,-0.738082,0.000000,-0.738082,-2.199449,3.188313,0.000000,3.188313,-0.028018,-0.048469,0.092063
1748314402591850067!,great-impartial-bumblebee,0.050000,1.807102,-0.703401,0.000000,-0.703401,-2.574483,3.731960,0.000000,3.731960,-0.024386,-0.042688,0.080224
1748314402591850067!,great-impartial-bumblebee,0.060000,1.779686,-0.663659,0.000000,-0.663659,-2.894033,4.195179,0.000000,4.195179,-0.021145,-0.037531,0.069662
1748314402591850067!,great-impartial-bumblebee,0.070000,1.749302,-0.619615,0.000000,-0.619615,-3.164086,4.586647,0.000000,4.586647,-0.018258,-0.032935,0.060249
1748314402591850067!,great-impartial-bumblebee,0.080000,1.716425,-0.571957,0.000000,-0.571957,-3.390026,4.914169,0.000000,4.914169,-0.015688,-0.028845,0.051871
1748314402591850067!,great-impartial-bumblebee,0.090000,1.681498,-0.521327,0.000000,-0.521327,-3.576703,5.184774,0.000000,5.184774,-0.013403,-0.025209,0.044424
1748314402591850067!,great-impartial-bumblebee,0.100000,1.644897,-0.468270,0.000000,-0.468270,-3.728483,5.404794,0.000000,5.404794,-0.011376,-0.021983,0.037817
1748314402591850067!,great-impartial-bumblebee,0.110000,1.606954,-0.413268,0.000000,-0.413268,-3.849296,5.579924,0.000000,5.579924,-0.009580,-0.019124,0.031962
1748314402591850067!,great-impartial-bumblebee,0.120000,1.567958,-0.356739,0.000000,-0.356739,-3.942674,5.715285,0.000000,5.715285,-0.007992,-0.016596,0.026785
1748314402591850067!,great-impartial-bumblebee,0.130000,1.528165,-0.299055,0.000000,-0.299055,-4.011791,5.815476,0.000000,5.815476,-0.006590,-0.014365,0.022216
