ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
101744823319743539!,great-mauve-beetle,0.000000,-1.678463,-1.459950,-0.178750,-1.489311,0.000000,0.000000,0.000000,0.000000,-0.066058,-0.111083,0.216456
101744823319743539!,great-mauve-beetle,0.010000,-1.674350,-1.458458,-0.174678,-1.489795,0.820614,0.296321,0.812431,-0.095257,-0.055025,-0.068709,0.175799
101744823319743539!,great-mauve-beetle,0.020000,-1.662681,-1.453664,-0.163149,-1.491101,1.512161,0.662777,1.491540,-0.163197,-0.049561,-0.053423,0.156743
101744823319743539!,great-mauve-beetle,0.030000,-1.644436,-1.445217,-0.145196,-1.492956,2.133888,1.026507,2.094715,-0.203719,-0.045664,-0.044587,0.143542
101744823319743539!,great-mauve-beetle,0.040000,-1.620210,-1.433195,-0.121487,-1.495072,2.704221,1.375362,2.638585,-0.214406,-0.042421,-0.038123,0.132724
101744823319743539!,great-mauve-beetle,0.050000,-1.590473,-1.417757,-0.092575,-1.497141,3.230905,1.706964,3.130183,-0.193553,-0.039526,-0.033042,0.123197
101744823319743539!,great-mauve-beetle,0.060000,-1.555639,-1.399081,-0.058960,-1.498841,3.717234,2.019839,3.573234,-0.140561,-0.036821,-0.028988,0.114428
101744823319743539!,great-mauve-beetle,0.070000,-1.516108,-1.377367,-0.021117,-1.499851,4.163829,2.312073,3.969822,-0.055893,-0.034210,-0.025771,0.106094
101744823319743539!,great-mauve-beetle,0.080000,-1.472283,-1.352839,0.020495,-1.499860,4.569547,2.581335,4.321130,0.059046,-0.031636,-0.023269,0.098004
101744823319743539!,great-mauve-beetle,0.090000,-1.424585,-1.325746,0.065425,-1.498572,4.932197,2.825164,4.627942,0.202049,-0.029073,-0.021396,0.090066
101744823319743539!,great-mauve-beetle,0.100000,-1.373463,-1.296368,0.113231,-1.495720,5.249183,3.041293,4.891022,0.370265,-0.026523,-0.020089,0.082274
101744823319743539!,great-mauve-beetle,0.110000,-1.319394,-1.265003,0.163474,-1.491066,5.518063,3.227944,5.111396,0.560390,-0.024009,-0.019294,0.074687
101744823319743539!,great-mauve-beetle,0.120000,-1.262877,-1.231972,0.215729,-1.484406,5.737012,3.384048,5.290539,0.768877,-0.021572,-0.018968,0.067414
101744823319743539!,great-mauve-beetle,0.130000,-1.204429,-1.197600,0.269590,-1.475575,5.905162,3.509395,5.430453,0.992151,-0.019259,-0.019067,0.060590
101744823319743539!,great-mauve-beetle,0.140000,-1.144571,-1.162211,0.324665,-1.464443,6.022808,3.604677,5.533665,1.226808,-0.017122,-0.019552,0.054357
101744823319743539!,great-mauve-beetle,0.150000,-1.083820,-1.126105,0.380590,-1.450914,6.091471,3.671422,5.603139,1.469764,-0.015206,-0.020381,0.048847
101744823319743539!,great-mauve-beetle,0.160000,-1.022662,-1.089558,0.437038,-1.434921,6.113764,3.711831,5.642132,1.718442,-0.013550,-0.021510,0.044159
101744823319743539!,great-mauve-beetle,0.170000,-0.961544,-1.052821,0.493722,-1.416418,6.093220,3.728655,5.654030,1.970829,-0.012177,-0.022896,0.040359
101744823319743539!,great-mauve-beetle,0.180000,-0.900872,-1.016109,0.550388,-1.395375,6.034056,3.724998,5.642180,2.225487,-0.011099,-0.024499,0.037473
101744823319743539!,great-mauve-beetle,0.190000,-0.841005,-0.979588,0.606816,-1.371778,5.940900,3.704074,5.609728,2.481507,-0.010315,-0.026283,0.035488
101744823319743539!,great-mauve-beetle,0.200000,-0.782249,-0.943387,0.662816,-1.345613,5.818512,3.669046,5.559491,2.738469,-0.009809,-0.028214,0.034356
101744823319743539!,great-mauve-beetle,0.210000,-0.724864,-0.907621,0.718228,-1.316871,5.671533,3.622938,5.493844,2.996371,-0.009558,-0.030262,0.034003
101744823319743539!,great-mauve-beetle,0.220000,-0.669065,-0.872379,0.772913,-1.285537,5.504330,3.568468,5.414656,3.255493,-0.009534,-0.032399,0.034335
101744823319743539!,great-mauve-beetle,0.230000,-0.615028,-0.837724,0.826745,-1.251596,5.320865,3.507962,5.323257,3.516293,-0.009702,-0.034600,0.035247
101744823319743539!,great-mauve-beetle,0.240000,-0.562891,-0.803698,0.879611,-1.215025,5.124625,3.443314,5.220431,3.779303,-0.010026,-0.036840,0.036631
101744823319743539!,great-mauve-beetle,0.250000,-0.512762,-0.770331,0.931397,-1.175797,4.918602,3.375966,5.106450,4.045030,-0.010473,-0.039095,0.038379
101744823319743539!,great-mauve-beetle,0.260000,-0.464724,-0.737639,0.981994,-1.133882,4.705317,3.306922,4.981112,4.313874,-0.011009,-0.041343,0.040389
101744823319743539!,great-mauve-beetle,0.270000,-0.418834,-0.705634,1.031284,-1.089244,4.486870,3.236773,4.843807,4.586060,-0.011603,-0.043561,0.042566
101744823319743539!,great-mauve-beetle,0.280000,-0.375132,-0.674281,1.079133,-1.041860,4.264994,3.165644,4.693656,4.861573,-0.012228,-0.045728,0.044826
101744823319743539!,great-mauve-beetle,0.290000,-0.333643,-0.643581,1.125403,-0.991700,4.041137,3.093433,4.529468,5.140139,-0.012861,-0.047825,0.047096
101744823319743539!,great-mauve-beetle,0.300000,-0.294382,-0.613543,1.169943,-0.938740,3.816554,3.019778,4.349858,5.421187,-0.013481,-0.049832,0.049311
101744823319743539!,great-mauve-beetle,0.310000,-0.257353,-0.584184,1.212590,-0.882965,3.592382,2.944104,4.153323,5.703826,-0.014073,-0.051732,0.051420
101744823319743539!,great-mauve-beetle,0.320000,-0.222548,-0.555528,1.253164,-0.824367,3.369715,2.865683,3.938315,5.986838,-0.014621,-0.053510,0.053380
101744823319743539!,great-mauve-beetle,0.330000,-0.189951,-0.527609,1.291472,-0.762955,3.149669,2.783683,3.703313,6.268682,-0.015117,-0.055152,0.055155
101744823319743539!,great-mauve-beetle,0.340000,-0.159530,-0.500473,1.327307,-0.698753,2.933433,2.697230,3.446894,6.547506,-0.015550,-0.056648,0.056721
101744823319743539!,great-mauve-beetle,0.350000,-0.131244,-0.474173,1.360451,-0.631802,2.722316,2.605463,3.167795,6.821168,-0.015917,-0.057989,0.058059
101744823319743539!,great-mauve-beetle,0.360000,-0.105036,-0.448773,1.390671,-0.562168,2.517771,2.507594,2.864975,7.087270,-0.016213,-0.059171,0.059158
101744823319743539!,great-mauve-beetle,0.370000,-0.080835,-0.424343,1.417730,-0.489939,2.321414,2.402972,2.537662,7.343196,-0.016437,-0.060190,0.060015
101744823319743539!,great-mauve-beetle,0.380000,-0.058550,-0.400960,1.441383,-0.415230,2.135027,2.291142,2.185405,7.586161,-0.016591,-0.061049,0.060633
101744823319743539!,great-mauve-beetle,0.390000,-0.038073,-0.378703,1.461380,-0.338184,1.960541,2.171910,1.808097,7.813261,-0.016677,-0.061750,0.061019
101744823319743539!,great-mauve-beetle,0.400000,-0.019275,-0.357651,1.477476,-0.258971,1.800014,2.045402,1.406007,8.021534,-0.016698,-0.062298,0.061186
101744823319743539!,great-mauve-beetle,0.410000,-0.002006,-0.337882,1.489426,-0.177792,1.655585,1.912118,0.979783,8.208013,-0.016661,-0.062699,0.061151
