ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1812908368386750994!,great-piquant-bumblebee,0.000000,1.430128,1.201192,0.000000,1.201192,0.000000,0.000000,0.000000,0.000000,-0.043647,-0.039940
1812908368386750994!,great-piquant-bumblebee,0.010000,1.425424,1.198642,0.000000,1.198642,-0.940668,-0.509851,0.000000,-0.509851,-0.038001,-0.033543
1812908368386750994!,great-piquant-bumblebee,0.020000,1.411915,1.191320,0.000000,1.191320,-1.759661,-0.953753,0.000000,-0.953753,-0.032948,-0.027817
1812908368386750994!,great-piquant-bumblebee,0.030000,1.390742,1.179844,0.000000,1.179844,-2.469741,-1.338623,0.000000,-1.338623,-0.028427,-0.022695
1812908368386750994!,great-piquant-bumblebee,0.040000,1.362953,1.164782,0.000000,1.164782,-3.082401,-1.670690,0.000000,-1.670690,-0.024388,-0.018117
1812908368386750994!,great-piquant-bumblebee,0.050000,1.329495,1.146648,0.000000,1.146648,-3.607995,-1.955567,0.000000,-1.955567,-0.020781,-0.014030
1812908368386750994!,great-piquant-bumblebee,0.060000,1.291175,1.125878,0.000000,1.125878,-4.055855,-2.198311,0.000000,-2.198311,-0.017563,-0.010385
1812908368386750994!,great-piquant-bumblebee,0.070000,1.248721,1.102867,0.000000,1.102867,-4.434375,-2.403473,0.000000,-2.403473,-0.014696,-0.007136
1812908368386750994!,great-piquant-bumblebee,0.080000,1.202783,1.077969,0.000000,1.077969,-4.751107,-2.575145,0.000000,-2.575145,-0.012145,-0.004245
1812908368386750994!,great-piquant-bumblebee,0.090000,1.153946,1.051499,0.000000,1.051499,-5.012845,-2.717009,0.000000,-2.717009,-0.009876,-0.001675
1812908368386750994!,great-piquant-bumblebee,0.100000,1.102730,1.023739,0.000000,1.023739,-5.225697,-2.832377,0.000000,-2.832377,-0.007863,0.000606
1812908368386750994!,great-piquant-bumblebee,0.110000,1.049598,0.994941,0.000000,0.994941,-5.395157,-2.924226,0.000000,-2.924226,-0.006079,0.002628
1812908368386750994!,great-piquant-bumblebee,0.120000,0.994961,0.965328,0.000000,0.965328,-5.526165,-2.995233,0.000000,-2.995233,-0.004500,0.004416
1812908368386750994!,great-piquant-bumblebee,0.130000,0.939185,0.935096,0.000000,0.935096,-5.623156,-3.047803,0.000000,-3.047803,-0.003107,0.005995
1812908368386750994!,great-piquant-bumblebee,0.140000,0.882593,0.904423,0.000000,0.904423,-5.690117,-3.084097,0.000000,-3.084097,-0.001880,0.007386
1812908368386750994!,great-piquant-bumblebee,0.150000,0.825470,0.873461,0.000000,0.873461,-5.730626,-3.106053,0.000000,-3.106053,-0.000801,0.008608
1812908368386750994!,great-piquant-bumblebee,0.160000,0.768067,0.842349,0.000000,0.842349,-5.747896,-3.115413,0.000000,-3.115413,0.000143,0.009678
1812908368386750994!,great-piquant-bumblebee,0.170000,0.710606,0.811204,0.000000,0.811204,-5.744806,-3.113739,0.000000,-3.113739,0.000968,0.010613
1812908368386750994!,great-piquant-bumblebee,0.180000,0.653280,0.780133,0.000000,0.780133,-5.723941,-3.102430,0.000000,-3.102430,0.001686,0.011426
1812908368386750994!,great-piquant-bumblebee,0.190000,0.596259,0.749227,0.000000,0.749227,-5.687614,-3.082740,0.000000,-3.082740,0.002307,0.012130
1812908368386750994!,great-piquant-bumblebee,0.200000,0.539689,0.718566,0.000000,0.718566,-5.637896,-3.055792,0.000000,-3.055792,0.002842,0.012736
1812908368386750994!,great-piquant-bumblebee,0.210000,0.483700,0.688219,0.000000,0.688219,-5.576642,-3.022592,0.000000,-3.022592,0.003301,0.013256
1812908368386750994!,great-piquant-bumblebee,0.220000,0.428400,0.658246,0.000000,0.658246,-5.505509,-2.984037,0.000000,-2.984037,0.003690,0.013697
1812908368386750994!,great-piquant-bumblebee,0.230000,0.373885,0.628698,0.000000,0.628698,-5.425977,-2.940930,0.000000,-2.940930,0.004019,0.014069
1812908368386750994!,great-piquant-bumblebee,0.240000,0.320233,0.599618,0.000000,0.599618,-5.339367,-2.893987,0.000000,-2.893987,0.004292,0.014379
1812908368386750994!,great-piquant-bumblebee,0.250000,0.267512,0.571043,0.000000,0.571043,-5.246857,-2.843846,0.000000,-2.843846,0.004518,0.014634
1812908368386750994!,great-piquant-bumblebee,0.260000,0.215774,0.543001,0.000000,0.543001,-5.149495,-2.791074,0.000000,-2.791074,0.004700,0.014841
1812908368386750994!,great-piquant-bumblebee,0.270000,0.165040,0.515502,0.000000,0.515502,-5.048211,-2.736178,0.000000,-2.736178,0.004844,0.015004
1812908368386750994!,great-piquant-bumblebee,0.280000,0.115345,0.488567,0.000000,0.488567,-4.943825,-2.679600,0.000000,-2.679600,0.004954,0.015129
1812908368386750994!,great-piquant-bumblebee,0.290000,0.066716,0.462210,0.000000,0.462210,-4.837061,-2.621732,0.000000,-2.621732,0.005034,0.015220
1812908368386750994!,great-piquant-bumblebee,0.300000,0.019176,0.436443,0.000000,0.436443,-4.728560,-2.562924,0.000000,-2.562924,0.005089,0.015282
1812908368386750994!,great-piquant-bumblebee,0.310000,-0.027261,0.411273,0.000000,0.411273,-4.618889,-2.503481,0.000000,-2.503481,0.005120,0.015317
1812908368386750994!,great-piquant-bumblebee,0.320000,-0.072585,0.386707,0.000000,0.386707,-4.508545,-2.443674,0.000000,-2.443674,0.005131,0.015329
1812908368386750994!,great-piquant-bumblebee,0.330000,-0.116790,0.362748,0.000000,0.362748,-4.397967,-2.383740,0.000000,-2.383740,0.005124,0.015321
1812908368386750994!,great-piquant-bumblebee,0.340000,-0.159873,0.339396,0.000000,0.339396,-4.287539,-2.323886,0.000000,-2.323886,0.005101,0.015296
1812908368386750994!,great-piquant-bumblebee,0.350000,-0.201838,0.316651,0.000000,0.316651,-4.177596,-2.264296,0.000000,-2.264296,0.005065,0.015255
1812908368386750994!,great-piquant-bumblebee,0.360000,-0.242689,0.294510,0.000000,0.294510,-4.068429,-2.205127,0.000000,-2.205127,0.005018,0.015201
1812908368386750994!,great-piquant-bumblebee,0.370000,-0.282441,0.272963,0.000000,0.272963,-3.960292,-2.146515,0.000000,-2.146515,0.004960,0.015135
1812908368386750994!,great-piquant-bumblebee,0.380000,-0.321120,0.251999,0.000000,0.251999,-3.853401,-2.088579,0.000000,-2.088579,0.004894,0.015061
1812908368386750994!,great-piquant-bumblebee,0.390000,-0.358738,0.231610,0.000000,0.231610,-3.747936,-2.031416,0.000000,-2.031416,0.004820,0.014978
1812908368386750994!,great-piquant-bumblebee,0.400000,-0.395313,0.211786,0.000000,0.211786,-3.644049,-1.975109,0.000000,-1.975109,0.004741,0.014888
1812908368386750994!,great-piquant-bumblebee,0.410000,-0.430861,0.192518,0.000000,0.192518,-3.541870,-1.919727,0.000000,-1.919727,0.004657,0.014792
1812908368386750994!,great-piquant-bumblebee,0.420000,-0.465401,0.173797,0.000000,0.173797,-3.441505,-1.865328,0.000000,-1.865328,0.004569,0.014692
1812908368386750994!,great-piquant-bumblebee,0.430000,-0.498952,0.155613,0.000000,0.155613,-3.343041,-1.811960,0.000000,-1.811960,0.004477,0.014589
1812908368386750994!,great-piquant-bumblebee,0.440000,-0.531533,0.137953,0.000000,0.137953,-3.246548,-1.759659,0.000000,-1.759659,0.004383,0.014482
1812908368386750994!,great-piquant-bumblebee,0.450000,-0.563165,0.120809,0.000000,0.120809,-3.152080,-1.708457,0.000000,-1.708457,0.004287,0.014374
1812908368386750994!,great-piquant-bumblebee,0.460000,-0.593868,0.104167,0.000000,0.104167,-3.059680,-1.658375,0.000000,-1.658375,0.004190,0.014263
1812908368386750994!,great-piquant-bumblebee,0.470000,-0.623665,0.088017,0.000000,0.088017,-2.969376,-1.609430,0.000000,-1.609430,0.004092,0.014152
1812908368386750994!,great-piquant-bumblebee,0.480000,-0.652575,0.072347,0.000000,0.072347,-2.881187,-1.561630,0.000000,-1.561630,0.003993,0.014040
1812908368386750994!,great-piquant-bumblebee,0.490000,-0.680621,0.057146,0.000000,0.057146,-2.795124,-1.514983,0.000000,-1.514983,0.003895,0.013929
1812908368386750994!,great-piquant-bumblebee,0.500000,-0.707823,0.042402,0.000000,0.042402,-2.711188,-1.469489,0.000000,-1.469489,0.003796,0.013817
1812908368386750994!,great-piquant-bumblebee,0.510000,-0.734204,0.028104,0.000000,0.028104,-2.629374,-1.425145,0.000000,-1.425145,0.003698,0.013706
1812908368386750994!,great-piquant-bumblebee,0.520000,-0.759784,0.014239,0.000000,0.014239,-2.549671,-1.381946,0.000000,-1.381946,0.003601,0.013596
1812908368386750994!,great-piquant-bumblebee,0.530000,-0.784585,0.000797,0.000000,0.000797,-2.472062,-1.339881,0.000000,-1.339881,0.003505,0.013487
1812908368386750994!,great-piquant-bumblebee,0.540000,-0.808627,-0.012234,0.000000,-0.012234,-2.396527,-1.298940,0.000000,-1.298940,0.003410,0.013379
1812908368386750994!,great-piquant-bumblebee,0.550000,-0.831931,-0.024865,0.000000,-0.024865,-2.323040,-1.259109,0.000000,-1.259109,0.003316,0.013273
1812908368386750994!,great-piquant-bumblebee,0.560000,-0.854517,-0.037107,0.000000,-0.037107,-2.251572,-1.220373,0.000000,-1.220373,0.003224,0.013169
