ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
2092847965517582403!,great-proficient-bumblebee,0.000000,-0.531541,2.177823,0.000000,2.177823,0.000000,0.000000,0.000000,0.000000,0.014819,0.057235,0.055985,-0.010890
2092847965517582403!,great-proficient-bumblebee,0.010000,-0.533650,2.171328,0.000000,2.171328,-0.421753,-1.299038,0.000000,-1.299038,0.013034,0.049418,0.048053,-0.009591
2092847965517582403!,great-proficient-bumblebee,0.020000,-0.539707,2.152672,0.000000,2.152672,-0.788953,-2.430047,0.000000,-2.430047,0.011436,0.042422,0.040952,-0.008429
2092847965517582403!,great-proficient-bumblebee,0.030000,-0.549200,2.123432,0.000000,2.123432,-1.107321,-3.410649,0.000000,-3.410649,0.010007,0.036163,0.034600,-0.007389
2092847965517582403!,great-proficient-bumblebee,0.040000,-0.561669,2.085027,0.000000,2.085027,-1.382010,-4.256717,0.000000,-4.256717,0.008730,0.030570,0.028924,-0.006460
2092847965517582403!,great-proficient-bumblebee,0.050000,-0.576702,2.038726,0.000000,2.038726,-1.617659,-4.982539,0.000000,-4.982539,0.007589,0.025575,0.023854,-0.005631
2092847965517582403!,great-proficient-bumblebee,0.060000,-0.593929,1.985665,0.000000,1.985665,-1.818447,-5.600984,0.000000,-5.600984,0.006571,0.021118,0.019332,-0.004890
2092847965517582403!,great-proficient-bumblebee,0.070000,-0.613020,1.926862,0.000000,1.926862,-1.988133,-6.123631,0.000000,-6.123631,0.005664,0.017147,0.015301,-0.004231
2092847965517582403!,great-proficient-bumblebee,0.080000,-0.633665,1.863272,0.000000,1.863272,-2.130101,-6.560907,0.000000,-6.560907,0.004857,0.013613,0.011714,-0.003644
2092847965517582403!,great-proficient-bumblebee,0.090000,-0.655596,1.795725,0.000000,1.795725,-2.247402,-6.922203,0.000000,-6.922203,0.004140,0.010471,0.008526,-0.003122
2092847965517582403!,great-proficient-bumblebee,0.100000,-0.678577,1.724942,0.000000,1.724942,-2.342780,-7.215978,0.000000,-7.215978,0.003503,0.007684,0.005697,-0.002659
2092847965517582403!,great-proficient-bumblebee,0.110000,-0.702402,1.651556,0.000000,1.651556,-2.418705,-7.449834,0.000000,-7.449834,0.002939,0.005215,0.003191,-0.002249
2092847965517582403!,great-proficient-bumblebee,0.120000,-0.726893,1.576124,0.000000,1.576124,-2.477395,-7.630604,0.000000,-7.630604,0.002440,0.003031,0.000975,-0.001886
2092847965517582403!,great-proficient-bumblebee,0.130000,-0.751888,1.499135,0.000000,1.499135,-2.520842,-7.764424,0.000000,-7.764424,0.002000,0.001103,-0.000982,-0.001566
2092847965517582403!,great-proficient-bumblebee,0.140000,-0.777248,1.421025,0.000000,1.421025,-2.550833,-7.856800,0.000000,-7.856800,0.001612,-0.000595,-0.002705,-0.001284
2092847965517582403!,great-proficient-bumblebee,0.150000,-0.802847,1.342177,0.000000,1.342177,-2.568973,-7.912673,0.000000,-7.912673,0.001271,-0.002087,-0.004219,-0.001036
2092847965517582403!,great-proficient-bumblebee,0.160000,-0.828576,1.262931,0.000000,1.262931,-2.576700,-7.936473,0.000000,-7.936473,0.000973,-0.003395,-0.005546,-0.000819
2092847965517582403!,great-proficient-bumblebee,0.170000,-0.854336,1.183588,0.000000,1.183588,-2.575304,-7.932172,0.000000,-7.932172,0.000712,-0.004536,-0.006705,-0.000629
2092847965517582403!,great-proficient-bumblebee,0.180000,-0.880041,1.104411,0.000000,1.104411,-2.565940,-7.903330,0.000000,-7.903330,0.000485,-0.005529,-0.007713,-0.000464
2092847965517582403!,great-proficient-bumblebee,0.190000,-0.905618,1.025633,0.000000,1.025633,-2.549644,-7.853136,0.000000,-7.853136,0.000289,-0.006390,-0.008586,-0.000321
2092847965517582403!,great-proficient-bumblebee,0.200000,-0.931000,0.947455,0.000000,0.947455,-2.527341,-7.784443,0.000000,-7.784443,0.000119,-0.007132,-0.009339,-0.000198
2092847965517582403!,great-proficient-bumblebee,0.210000,-0.956130,0.870053,0.000000,0.870053,-2.499862,-7.699805,0.000000,-7.699805,-0.000026,-0.007767,-0.009984,-0.000092
