ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
733075552510368633!,great-vivacious-beetle,0.000000,-0.049395,2.292770,0.942131,1.167214,0.000000,0.000000,0.000000,0.000000,1.688660,1.026257
733075552510368633!,great-vivacious-beetle,0.010000,-0.078172,2.283218,0.932559,1.174876,-5.734375,-1.938218,-1.929513,1.531554,0.109668,0.122149
733075552510368633!,great-vivacious-beetle,0.020000,-0.138431,2.259168,0.913446,1.189797,-6.300091,-2.879492,-1.894246,1.454276,-0.079847,0.010036
733075552510368633!,great-vivacious-beetle,0.030000,-0.200892,2.226518,0.895790,1.203146,-6.182088,-3.645988,-1.640239,1.221222,-0.093278,-0.002417
733075552510368633!,great-vivacious-beetle,0.040000,-0.261592,2.186538,0.880645,1.214275,-5.949761,-4.340035,-1.394625,1.011443,-0.085294,-0.002815
733075552510368633!,great-vivacious-beetle,0.050000,-0.319753,2.139905,0.867773,1.223508,-5.675305,-4.974191,-1.187079,0.841935,-0.074648,-0.001885
733075552510368633!,great-vivacious-beetle,0.060000,-0.375017,2.087228,0.856765,1.231241,-5.370890,-5.546760,-1.022099,0.711232,-0.063580,-0.000968
733075552510368633!,great-vivacious-beetle,0.070000,-0.427113,2.029145,0.847191,1.237848,-5.042015,-6.053240,-0.900474,0.616290,-0.052285,-0.000201
733075552510368633!,great-vivacious-beetle,0.080000,-0.475826,1.966338,0.838615,1.243674,-4.694297,-6.488801,-0.822073,0.554328,-0.040762,0.000444
733075552510368633!,great-vivacious-beetle,0.090000,-0.521010,1.899531,0.830604,1.249039,-4.334215,-6.849375,-0.786193,0.522814,-0.029063,0.001006
733075552510368633!,great-vivacious-beetle,0.100000,-0.562585,1.829522,0.822717,1.254248,-3.968916,-7.132418,-0.791452,0.519148,-0.017312,0.001518
733075552510368633!,great-vivacious-beetle,0.110000,-0.600532,1.757127,0.814543,1.259571,-3.605814,-7.337189,-0.835911,0.540569,-0.005665,0.002021
733075552510368633!,great-vivacious-beetle,0.120000,-0.634887,1.683114,0.805728,1.265228,-3.252201,-7.464926,-0.917357,0.584195,0.005702,0.002553
733075552510368633!,great-vivacious-beetle,0.130000,-0.665781,1.608212,0.795921,1.271421,-2.914867,-7.519195,-1.033317,0.646866,0.016563,0.003118
