ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1397259192320904192!,great-wine-beetle,0.000000,-1.402599,-0.507457,-0.258523,-1.477554,0.000000,0.000000,0.000000,0.000000,0.401386,0.453188,0.101905,-0.310844
1397259192320904192!,great-wine-beetle,0.010000,-1.396854,-0.493630,-0.263832,-1.476615,1.157138,2.753226,-1.066222,0.190506,0.249738,0.259078,0.033890,-0.193735
1397259192320904192!,great-wine-beetle,0.020000,-1.380661,-0.458670,-0.276758,-1.474247,2.094906,4.217537,-1.522269,0.285773,0.162511,0.150745,-0.000954,-0.126327
1397259192320904192!,great-wine-beetle,0.030000,-1.355721,-0.412833,-0.292731,-1.471159,2.899440,4.925002,-1.672598,0.332814,0.111318,0.092067,-0.015084,-0.086695
1397259192320904192!,great-wine-beetle,0.040000,-1.323273,-0.362085,-0.309568,-1.467708,3.586223,5.200706,-1.695921,0.357703,0.079510,0.060138,-0.018021,-0.062004
1397259192320904192!,great-wine-beetle,0.050000,-1.284490,-0.309833,-0.326469,-1.464042,4.159940,5.228067,-1.685842,0.375929,0.058137,0.042233,-0.015421,-0.045362
1397259192320904192!,great-wine-beetle,0.060000,-1.240494,-0.258055,-0.343333,-1.460179,4.626087,5.108542,-1.687343,0.396746,0.042579,0.031678,-0.010331,-0.033212
1397259192320904192!,great-wine-beetle,0.070000,-1.192349,-0.207931,-0.360385,-1.456064,4.991696,4.899323,-1.719803,0.425662,0.030476,0.025051,-0.004328,-0.023737
1397259192320904192!,great-wine-beetle,0.080000,-1.141044,-0.160192,-0.377976,-1.451597,5.264625,4.634161,-1.789553,0.465975,0.020622,0.020605,0.001782,-0.016009
1397259192320904192!,great-wine-beetle,0.090000,-1.087471,-0.115290,-0.396477,-1.446653,5.453063,4.334224,-1.896437,0.519747,0.012378,0.017433,0.007600,-0.009536
1397259192320904192!,great-wine-beetle,0.100000,-1.032429,-0.073498,-0.416240,-1.441091,5.565260,4.013747,-2.037109,0.588392,0.005385,0.015051,0.012934,-0.004041
1397259192320904192!,great-wine-beetle,0.110000,-0.976635,-0.034966,-0.437575,-1.434757,5.609326,3.682959,-2.206700,0.673004,-0.000584,0.013187,0.017704,0.000653
1397259192320904192!,great-wine-beetle,0.120000,-0.920729,0.000244,-0.460743,-1.427486,5.593065,3.349637,-2.399680,0.774534,-0.005694,0.011672,0.021893,0.004672
1397259192320904192!,great-wine-beetle,0.130000,-0.865278,0.032142,-0.485951,-1.419102,5.523837,3.019967,-2.610308,0.893863,-0.010079,0.010395,0.025516,0.008121
1397259192320904192!,great-wine-beetle,0.140000,-0.810779,0.060794,-0.513350,-1.409423,5.408478,2.699059,-2.832874,1.031809,-0.013850,0.009276,0.028607,0.011087
1397259192320904192!,great-wine-beetle,0.150000,-0.757665,0.086310,-0.543033,-1.398254,5.253282,2.391269,-3.061826,1.189105,-0.017110,0.008257,0.031210,0.013650
1397259192320904192!,great-wine-beetle,0.160000,-0.706310,0.108847,-0.575041,-1.385398,5.064040,2.100416,-3.291843,1.366355,-0.019944,0.007293,0.033373,0.015877
