ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1528784590017180652!,lush-bipedal-bumblebee,0.000000,-0.052354,2.135281,0.000000,2.135281,0.000000,0.000000,0.000000,0.000000,-0.162508,0.338746
1528784590017180652!,lush-bipedal-bumblebee,0.010000,-0.050140,2.128348,0.000000,2.128348,0.442757,-1.386533,0.000000,-1.386533,-0.140043,0.292426
1528784590017180652!,lush-bipedal-bumblebee,0.020000,-0.043781,2.108435,0.000000,2.108435,0.828244,-2.593720,0.000000,-2.593720,-0.119934,0.250963
1528784590017180652!,lush-bipedal-bumblebee,0.030000,-0.033816,2.077226,0.000000,2.077226,1.162467,-3.640370,0.000000,-3.640370,-0.101947,0.213876
1528784590017180652!,lush-bipedal-bumblebee,0.040000,-0.020726,2.036234,0.000000,2.036234,1.450836,-4.543424,0.000000,-4.543424,-0.085871,0.180728
1528784590017180652!,lush-bipedal-bumblebee,0.050000,-0.004945,1.986814,0.000000,1.986814,1.698221,-5.318133,0.000000,-5.318133,-0.071514,0.151127
1528784590017180652!,lush-bipedal-bumblebee,0.060000,0.013140,1.930179,0.000000,1.930179,1.909008,-5.978232,0.000000,-5.978232,-0.058707,0.124718
1528784590017180652!,lush-bipedal-bumblebee,0.070000,0.033161,1.867484,0.000000,1.867484,2.087145,-6.536082,0.000000,-6.536082,-0.047295,0.101189
1528784590017180652!,lush-bipedal-bumblebee,0.080000,0.054803,1.799709,0.000000,1.799709,2.236190,-7.002831,0.000000,-7.002831,-0.037141,0.080251
1528784590017180652!,lush-bipedal-bumblebee,0.090000,0.077794,1.727710,0.000000,1.727710,2.359348,-7.388513,0.000000,-7.388513,-0.028116,0.061644
1528784590017180652!,lush-bipedal-bumblebee,0.100000,0.101894,1.652240,0.000000,1.652240,2.459501,-7.702148,0.000000,-7.702148,-0.020108,0.045130
1528784590017180652!,lush-bipedal-bumblebee,0.110000,0.126889,1.573965,0.000000,1.573965,2.539236,-7.951845,0.000000,-7.951845,-0.013011,0.030497
1528784590017180652!,lush-bipedal-bumblebee,0.120000,0.152590,1.493481,0.000000,1.493481,2.600879,-8.144887,0.000000,-8.144887,-0.006733,0.017554
1528784590017180652!,lush-bipedal-bumblebee,0.130000,0.178827,1.411317,0.000000,1.411317,2.646519,-8.287813,0.000000,-8.287813,-0.001191,0.006127
1528784590017180652!,lush-bipedal-bumblebee,0.140000,0.205450,1.327943,0.000000,1.327943,2.678031,-8.386495,0.000000,-8.386495,0.003690,-0.003939
1528784590017180652!,lush-bipedal-bumblebee,0.150000,0.232327,1.243775,0.000000,1.243775,2.697097,-8.446203,0.000000,-8.446203,0.007980,-0.012784
1528784590017180652!,lush-bipedal-bumblebee,0.160000,0.259340,1.159183,0.000000,1.159183,2.705228,-8.471667,0.000000,-8.471667,0.011738,-0.020533
1528784590017180652!,lush-bipedal-bumblebee,0.170000,0.286385,1.074490,0.000000,1.074490,2.703778,-8.467126,0.000000,-8.467126,0.015020,-0.027301
1528784590017180652!,lush-bipedal-bumblebee,0.180000,0.313371,0.989981,0.000000,0.989981,2.693961,-8.436383,0.000000,-8.436383,0.017876,-0.033188
1528784590017180652!,lush-bipedal-bumblebee,0.190000,0.340218,0.905906,0.000000,0.905906,2.676865,-8.382845,0.000000,-8.382845,0.020349,-0.038288
1528784590017180652!,lush-bipedal-bumblebee,0.200000,0.366858,0.822482,0.000000,0.822482,2.653463,-8.309560,0.000000,-8.309560,0.022481,-0.042683
1528784590017180652!,lush-bipedal-bumblebee,0.210000,0.393229,0.739897,0.000000,0.739897,2.624627,-8.219257,0.000000,-8.219257,0.024307,-0.046449
1528784590017180652!,lush-bipedal-bumblebee,0.220000,0.419281,0.658314,0.000000,0.658314,2.591136,-8.114376,0.000000,-8.114376,0.025860,-0.049651
1528784590017180652!,lush-bipedal-bumblebee,0.230000,0.444968,0.577872,0.000000,0.577872,2.553686,-7.997097,0.000000,-7.997097,0.027169,-0.052351
1528784590017180652!,lush-bipedal-bumblebee,0.240000,0.470253,0.498691,0.000000,0.498691,2.512897,-7.869365,0.000000,-7.869365,0.028261,-0.054603
1528784590017180652!,lush-bipedal-bumblebee,0.250000,0.495103,0.420869,0.000000,0.420869,2.469325,-7.732913,0.000000,-7.732913,0.029160,-0.056456
1528784590017180652!,lush-bipedal-bumblebee,0.260000,0.519493,0.344492,0.000000,0.344492,2.423461,-7.589286,0.000000,-7.589286,0.029887,-0.057954
1528784590017180652!,lush-bipedal-bumblebee,0.270000,0.543399,0.269627,0.000000,0.269627,2.375744,-7.439857,0.000000,-7.439857,0.030461,-0.059138
1528784590017180652!,lush-bipedal-bumblebee,0.280000,0.566805,0.196330,0.000000,0.196330,2.326564,-7.285846,0.000000,-7.285846,0.030899,-0.060042
1528784590017180652!,lush-bipedal-bumblebee,0.290000,0.589695,0.124645,0.000000,0.124645,2.276267,-7.128334,0.000000,-7.128334,0.031218,-0.060699
1528784590017180652!,lush-bipedal-bumblebee,0.300000,0.612074,0.054564,0.000000,0.054564,2.225157,-6.968279,0.000000,-6.968279,0.031433,-0.061141
1528784590017180652!,lush-bipedal-bumblebee,0.310000,0.633937,-0.013900,0.000000,-0.013900,2.173500,-6.806511,0.000000,-6.806511,0.031555,-0.061395
