ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
2179922733543262652!,lush-impartial-bumblebee,0.000000,-1.340697,1.461616,0.000000,1.461616,0.000000,0.000000,0.000000,0.000000,0.035358,0.068825,-0.117631
2179922733543262652!,lush-impartial-bumblebee,0.010000,-1.338854,1.456865,0.000000,1.456865,0.368634,-0.950080,0.000000,-0.950080,0.030336,0.058708,-0.100859
2179922733543262652!,lush-impartial-bumblebee,0.020000,-1.333559,1.443220,0.000000,1.443220,0.689586,-1.777268,0.000000,-1.777268,0.025841,0.049651,-0.085846
2179922733543262652!,lush-impartial-bumblebee,0.030000,-1.325262,1.421835,0.000000,1.421835,0.967856,-2.494454,0.000000,-2.494454,0.021820,0.041550,-0.072416
2179922733543262652!,lush-impartial-bumblebee,0.040000,-1.314364,1.393747,0.000000,1.393747,1.207949,-3.113244,0.000000,-3.113244,0.018226,0.034310,-0.060414
2179922733543262652!,lush-impartial-bumblebee,0.050000,-1.301228,1.359893,0.000000,1.359893,1.413919,-3.644090,0.000000,-3.644090,0.015017,0.027844,-0.049696
2179922733543262652!,lush-impartial-bumblebee,0.060000,-1.286184,1.321120,0.000000,1.321120,1.589419,-4.096406,0.000000,-4.096406,0.012154,0.022077,-0.040135
2179922733543262652!,lush-impartial-bumblebee,0.070000,-1.269520,1.278171,0.000000,1.278171,1.737738,-4.478669,0.000000,-4.478669,0.009603,0.016937,-0.031615
2179922733543262652!,lush-impartial-bumblebee,0.080000,-1.251492,1.231709,0.000000,1.231709,1.861837,-4.798510,0.000000,-4.798510,0.007332,0.012363,-0.024033
2179922733543262652!,lush-impartial-bumblebee,0.090000,-1.232332,1.182327,0.000000,1.182327,1.964380,-5.062793,0.000000,-5.062793,0.005314,0.008297,-0.017293
2179922733543262652!,lush-impartial-bumblebee,0.100000,-1.212242,1.130550,0.000000,1.130550,2.047762,-5.277693,0.000000,-5.277693,0.003523,0.004689,-0.011311
2179922733543262652!,lush-impartial-bumblebee,0.110000,-1.191405,1.076846,0.000000,1.076846,2.114138,-5.448763,0.000000,-5.448763,0.001936,0.001491,-0.006010
2179922733543262652!,lush-impartial-bumblebee,0.120000,-1.169982,1.021631,0.000000,1.021631,2.165443,-5.580992,0.000000,-5.580992,0.000532,-0.001337,-0.001321
2179922733543262652!,lush-impartial-bumblebee,0.130000,-1.148115,0.965275,0.000000,0.965275,2.203419,-5.678867,0.000000,-5.678867,-0.000707,-0.003834,0.002818
2179922733543262652!,lush-impartial-bumblebee,0.140000,-1.125932,0.908101,0.000000,0.908101,2.229628,-5.746415,0.000000,-5.746415,-0.001799,-0.006033,0.006463
2179922733543262652!,lush-impartial-bumblebee,0.150000,-1.103543,0.850400,0.000000,0.850400,2.245473,-5.787253,0.000000,-5.787253,-0.002758,-0.007965,0.009666
2179922733543262652!,lush-impartial-bumblebee,0.160000,-1.081049,0.792425,0.000000,0.792425,2.252214,-5.804626,0.000000,-5.804626,-0.003598,-0.009657,0.012471
2179922733543262652!,lush-impartial-bumblebee,0.170000,-1.058534,0.734398,0.000000,0.734398,2.250980,-5.801446,0.000000,-5.801446,-0.004331,-0.011135,0.014920
2179922733543262652!,lush-impartial-bumblebee,0.180000,-1.036075,0.676515,0.000000,0.676515,2.242784,-5.780323,0.000000,-5.780323,-0.004969,-0.012419,0.017050
2179922733543262652!,lush-impartial-bumblebee,0.190000,-1.013739,0.618947,0.000000,0.618947,2.228533,-5.743594,0.000000,-5.743594,-0.005521,-0.013532,0.018894
