ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1148969362505609518!,lush-piquant-bumblebee,0.000000,0.183606,-2.465918,0.000000,-2.465918,0.000000,0.000000,0.000000,0.000000,-0.003187,0.148429
1148969362505609518!,lush-piquant-bumblebee,0.010000,0.183263,-2.458758,0.000000,-2.458758,-0.068691,1.432099,0.000000,1.432099,-0.002775,0.130461
1148969362505609518!,lush-piquant-bumblebee,0.020000,0.182276,-2.438190,0.000000,-2.438190,-0.128497,2.678958,0.000000,2.678958,-0.002406,0.114377
1148969362505609518!,lush-piquant-bumblebee,0.030000,0.180730,-2.405956,0.000000,-2.405956,-0.180349,3.760004,0.000000,3.760004,-0.002076,0.099991
1148969362505609518!,lush-piquant-bumblebee,0.040000,0.178699,-2.363617,0.000000,-2.363617,-0.225088,4.692735,0.000000,4.692735,-0.001781,0.087132
1148969362505609518!,lush-piquant-bumblebee,0.050000,0.176251,-2.312573,0.000000,-2.312573,-0.263468,5.492904,0.000000,5.492904,-0.001517,0.075650
1148969362505609518!,lush-piquant-bumblebee,0.060000,0.173445,-2.254077,0.000000,-2.254077,-0.296170,6.174696,0.000000,6.174696,-0.001282,0.065405
1148969362505609518!,lush-piquant-bumblebee,0.070000,0.170336,-2.189251,0.000000,-2.189251,-0.323807,6.750879,0.000000,6.750879,-0.001073,0.056276
1148969362505609518!,lush-piquant-bumblebee,0.080000,0.166971,-2.119099,0.000000,-2.119099,-0.346929,7.232945,0.000000,7.232945,-0.000886,0.048150
1148969362505609518!,lush-piquant-bumblebee,0.090000,0.163394,-2.044519,0.000000,-2.044519,-0.366033,7.631234,0.000000,7.631234,-0.000721,0.040926
1148969362505609518!,lush-piquant-bumblebee,0.100000,0.159642,-1.966313,0.000000,-1.966313,-0.381565,7.955051,0.000000,7.955051,-0.000574,0.034514
1148969362505609518!,lush-piquant-bumblebee,0.110000,0.155752,-1.885198,0.000000,-1.885198,-0.393927,8.212763,0.000000,8.212763,-0.000443,0.028832
1148969362505609518!,lush-piquant-bumblebee,0.120000,0.151752,-1.801810,0.000000,-1.801810,-0.403478,8.411897,0.000000,8.411897,-0.000328,0.023806
1148969362505609518!,lush-piquant-bumblebee,0.130000,0.147671,-1.716729,0.000000,-1.716729,-0.410544,8.559219,0.000000,8.559219,-0.000226,0.019370
1148969362505609518!,lush-piquant-bumblebee,0.140000,0.143533,-1.630454,0.000000,-1.630454,-0.415417,8.660813,0.000000,8.660813,-0.000136,0.015465
1148969362505609518!,lush-piquant-bumblebee,0.150000,0.139358,-1.543421,0.000000,-1.543421,-0.418359,8.722144,0.000000,8.722144,-0.000058,0.012035
1148969362505609518!,lush-piquant-bumblebee,0.160000,0.135166,-1.456014,0.000000,-1.456014,-0.419605,8.748116,0.000000,8.748116,0.000011,0.009032
1148969362505609518!,lush-piquant-bumblebee,0.170000,0.130972,-1.368569,0.000000,-1.368569,-0.419366,8.743130,0.000000,8.743130,0.000071,0.006412
1148969362505609518!,lush-piquant-bumblebee,0.180000,0.126789,-1.281378,0.000000,-1.281378,-0.417831,8.711128,0.000000,8.711128,0.000123,0.004134
1148969362505609518!,lush-piquant-bumblebee,0.190000,0.122631,-1.194683,0.000000,-1.194683,-0.415169,8.655643,0.000000,8.655643,0.000169,0.002162
1148969362505609518!,lush-piquant-bumblebee,0.200000,0.118507,-1.108696,0.000000,-1.108696,-0.411533,8.579832,0.000000,8.579832,0.000208,0.000464
1148969362505609518!,lush-piquant-bumblebee,0.210000,0.114425,-1.023600,0.000000,-1.023600,-0.407057,8.486515,0.000000,8.486515,0.000241,-0.000990
1148969362505609518!,lush-piquant-bumblebee,0.220000,0.110394,-0.939552,0.000000,-0.939552,-0.401862,8.378212,0.000000,8.378212,0.000269,-0.002226
1148969362505609518!,lush-piquant-bumblebee,0.230000,0.106419,-0.856684,0.000000,-0.856684,-0.396056,8.257167,0.000000,8.257167,0.000293,-0.003267
1148969362505609518!,lush-piquant-bumblebee,0.240000,0.102506,-0.775111,0.000000,-0.775111,-0.389735,8.125384,0.000000,8.125384,0.000313,-0.004136
1148969362505609518!,lush-piquant-bumblebee,0.250000,0.098660,-0.694925,0.000000,-0.694925,-0.382985,7.984642,0.000000,7.984642,0.000330,-0.004852
1148969362505609518!,lush-piquant-bumblebee,0.260000,0.094884,-0.616206,0.000000,-0.616206,-0.375880,7.836525,0.000000,7.836525,0.000343,-0.005431
1148969362505609518!,lush-piquant-bumblebee,0.270000,0.091182,-0.539015,0.000000,-0.539015,-0.368490,7.682440,0.000000,7.682440,0.000353,-0.005889
1148969362505609518!,lush-piquant-bumblebee,0.280000,0.087555,-0.463403,0.000000,-0.463403,-0.360872,7.523632,0.000000,7.523632,0.000361,-0.006240
1148969362505609518!,lush-piquant-bumblebee,0.290000,0.084006,-0.389410,0.000000,-0.389410,-0.353081,7.361204,0.000000,7.361204,0.000367,-0.006496
1148969362505609518!,lush-piquant-bumblebee,0.300000,0.080536,-0.317062,0.000000,-0.317062,-0.345164,7.196130,0.000000,7.196130,0.000371,-0.006670
1148969362505609518!,lush-piquant-bumblebee,0.310000,0.077146,-0.246380,0.000000,-0.246380,-0.337160,7.029269,0.000000,7.029269,0.000374,-0.006770
1148969362505609518!,lush-piquant-bumblebee,0.320000,0.073836,-0.177376,0.000000,-0.177376,-0.329107,6.861376,0.000000,6.861376,0.000374,-0.006806
1148969362505609518!,lush-piquant-bumblebee,0.330000,0.070607,-0.110054,0.000000,-0.110054,-0.321036,6.693113,0.000000,6.693113,0.000374,-0.006785
1148969362505609518!,lush-piquant-bumblebee,0.340000,0.067458,-0.044414,0.000000,-0.044414,-0.312976,6.525059,0.000000,6.525059,0.000372,-0.006716
1148969362505609518!,lush-piquant-bumblebee,0.350000,0.064390,0.019552,0.000000,0.019552,-0.304949,6.357720,0.000000,6.357720,0.000370,-0.006604
