ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
2019787417963304529!,lush-proficient-bumblebee,0.000000,0.710217,-1.364609,0.000000,-1.364609,0.000000,0.000000,0.000000,0.000000,-0.020662,-0.055451,-0.046663,0.015536
2019787417963304529!,lush-proficient-bumblebee,0.010000,0.712662,-1.359813,0.000000,-1.359813,0.489010,0.959268,0.000000,0.959268,-0.017857,-0.048691,-0.041318,0.013416
2019787417963304529!,lush-proficient-bumblebee,0.020000,0.719686,-1.346036,0.000000,-1.346036,0.914767,1.794456,0.000000,1.794456,-0.015347,-0.042641,-0.036534,0.011519
2019787417963304529!,lush-proficient-bumblebee,0.030000,0.730692,-1.324445,0.000000,-1.324445,1.283906,2.518577,0.000000,2.518577,-0.013102,-0.037229,-0.032255,0.009821
2019787417963304529!,lush-proficient-bumblebee,0.040000,0.745150,-1.296085,0.000000,-1.296085,1.602400,3.143351,0.000000,3.143351,-0.011095,-0.032392,-0.028430,0.008304
2019787417963304529!,lush-proficient-bumblebee,0.050000,0.762579,-1.261894,0.000000,-1.261894,1.875628,3.679331,0.000000,3.679331,-0.009303,-0.028073,-0.025015,0.006950
2019787417963304529!,lush-proficient-bumblebee,0.060000,0.782554,-1.222711,0.000000,-1.222711,2.108436,4.136018,0.000000,4.136018,-0.007704,-0.024219,-0.021967,0.005741
2019787417963304529!,lush-proficient-bumblebee,0.070000,0.804689,-1.179289,0.000000,-1.179289,2.305181,4.521965,0.000000,4.521965,-0.006279,-0.020785,-0.019252,0.004664
2019787417963304529!,lush-proficient-bumblebee,0.080000,0.828644,-1.132299,0.000000,-1.132299,2.469789,4.844869,0.000000,4.844869,-0.005011,-0.017728,-0.016835,0.003706
2019787417963304529!,lush-proficient-bumblebee,0.090000,0.854094,-1.082373,0.000000,-1.082373,2.605791,5.111656,0.000000,5.111656,-0.003884,-0.015011,-0.014686,0.002854
2019787417963304529!,lush-proficient-bumblebee,0.100000,0.880766,-1.030053,0.000000,-1.030053,2.716367,5.328569,0.000000,5.328569,-0.002884,-0.012600,-0.012780,0.002098
