ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1361557461750950129!,rebel-devious-beetle,0.000000,-1.838181,0.499790,-1.420170,1.408232,0.000000,0.000000,0.000000,0.000000,-0.750463,0.028021
1361557461750950129!,rebel-devious-beetle,0.010000,-1.832009,0.507078,-1.413251,1.415176,1.233241,1.455499,1.386645,1.384759,-0.421353,0.054869
1361557461750950129!,rebel-devious-beetle,0.020000,-1.814758,0.525110,-1.395295,1.432882,2.216636,2.145764,2.207773,2.149859,-0.247326,0.065677
1361557461750950129!,rebel-devious-beetle,0.030000,-1.788471,0.548028,-1.370591,1.456530,3.038142,2.432307,2.733655,2.572361,-0.155301,0.067469
1361557461750950129!,rebel-devious-beetle,0.040000,-1.754542,0.572773,-1.341414,1.483445,3.739337,2.512628,3.099612,2.802841,-0.105015,0.064718
1361557461750950129!,rebel-devious-beetle,0.050000,-1.714062,0.597794,-1.309031,1.512097,4.342582,2.489837,3.372488,2.919583,-0.075437,0.059865
1361557461750950129!,rebel-devious-beetle,0.060000,-1.667946,0.622322,-1.274217,1.541548,4.860969,2.416300,3.584629,2.962991,-0.056033,0.054125
1361557461750950129!,rebel-devious-beetle,0.070000,-1.617005,0.645981,-1.237504,1.571172,5.302636,2.318403,3.751383,2.954706,-0.041696,0.048084
1361557461750950129!,rebel-devious-beetle,0.080000,-1.561986,0.668593,-1.199318,1.600511,5.673107,2.209605,3.880000,2.907417,-0.030023,0.042024
1361557461750950129!,rebel-devious-beetle,0.090000,-1.503590,0.690083,-1.160028,1.629213,5.976692,2.097029,3.974107,2.829634,-0.019929,0.036103
1361557461750950129!,rebel-devious-beetle,0.100000,-1.442480,0.710430,-1.119979,1.656999,6.217325,1.984687,4.035912,2.727905,-0.010948,0.030424
1361557461750950129!,rebel-devious-beetle,0.110000,-1.379285,0.729647,-1.079496,1.683653,6.399038,1.875033,4.067259,2.607776,-0.002900,0.025067
1361557461750950129!,rebel-devious-beetle,0.120000,-1.314591,0.747771,-1.038883,1.709012,6.526183,1.769688,4.070103,2.474154,0.004276,0.020104
1361557461750950129!,rebel-devious-beetle,0.130000,-1.248936,0.764850,-0.998419,1.732962,6.603485,1.669792,4.046656,2.331418,0.010602,0.015589
1361557461750950129!,rebel-devious-beetle,0.140000,-1.182800,0.780947,-0.958358,1.755434,6.635978,1.576167,3.999392,2.183420,0.016095,0.011564
1361557461750950129!,rebel-devious-beetle,0.150000,-1.116606,0.796131,-0.918921,1.776397,6.628892,1.489399,3.930977,2.033474,0.020784,0.008052
1361557461750950129!,rebel-devious-beetle,0.160000,-1.050717,0.810477,-0.880300,1.795849,6.587516,1.409895,3.844160,1.884352,0.024715,0.005057
1361557461750950129!,rebel-devious-beetle,0.170000,-0.985443,0.824062,-0.842659,1.813815,6.517038,1.337915,3.741670,1.738298,0.027949,0.002568
1361557461750950129!,rebel-devious-beetle,0.180000,-0.921039,0.836964,-0.806134,1.830341,6.422401,1.273604,3.626130,1.597051,0.030558,0.000559
1361557461750950129!,rebel-devious-beetle,0.190000,-0.857711,0.849265,-0.770837,1.845484,6.308195,1.217012,3.499982,1.461900,0.032618,-0.001006
