ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
2132972472676113211!,rebel-mauve-beetle,0.000000,-0.931043,-1.496734,-0.066272,-1.998902,0.000000,0.000000,0.000000,0.000000,0.238768,0.975564,-0.890925
2132972472676113211!,rebel-mauve-beetle,0.010000,-0.935703,-1.487224,-0.076312,-1.998544,-0.925995,1.898937,-2.010155,0.076755,0.135580,0.633481,-0.520930
2132972472676113211!,rebel-mauve-beetle,0.020000,-0.946678,-1.461297,-0.102507,-1.997371,-1.252940,3.278752,-3.229786,0.165756,0.075240,0.426504,-0.303263
2132972472676113211!,rebel-mauve-beetle,0.030000,-0.959063,-1.423360,-0.138688,-1.995186,-1.204337,4.292697,-4.002546,0.278223,0.042976,0.307482,-0.185296
2132972472676113211!,rebel-mauve-beetle,0.040000,-0.969872,-1.376591,-0.181469,-1.991750,-0.940746,5.036140,-4.546996,0.414278,0.028063,0.242657,-0.128915
2132972472676113211!,rebel-mauve-beetle,0.050000,-0.977480,-1.323400,-0.229233,-1.986820,-0.568011,5.569044,-4.994756,0.576278,0.023491,0.210104,-0.109229
2132972472676113211!,rebel-mauve-beetle,0.060000,-0.981138,-1.265698,-0.281405,-1.980104,-0.153538,5.929605,-5.420927,0.770403,0.024942,0.196415,-0.110934
2132972472676113211!,rebel-mauve-beetle,0.070000,-0.980659,-1.205081,-0.337999,-1.971232,0.259344,6.143369,-5.865521,1.005737,0.029817,0.193614,-0.124831
2132972472676113211!,rebel-mauve-beetle,0.080000,-0.976221,-1.142952,-0.399280,-1.959739,0.641675,6.229214,-6.346546,1.293055,0.036540,0.196971,-0.145358
2132972472676113211!,rebel-mauve-beetle,0.090000,-0.968238,-1.080519,-0.465641,-1.945039,0.973238,6.202934,-6.868199,1.644242,0.044132,0.203639,-0.169083
2132972472676113211!,rebel-mauve-beetle,0.100000,-0.957299,-1.018828,-0.537467,-1.926429,1.239350,6.079572,-7.425168,2.071594,0.051960,0.211835,-0.193792
2132972472676113211!,rebel-mauve-beetle,0.110000,-0.944116,-0.958771,-0.615053,-1.903079,1.429214,5.874743,-8.005113,2.587158,0.059592,0.220369,-0.217987
2132972472676113211!,rebel-mauve-beetle,0.120000,-0.929494,-0.901077,-0.698545,-1.874042,1.535157,5.605333,-8.590097,3.201939,0.066723,0.228381,-0.240602
2132972472676113211!,rebel-mauve-beetle,0.130000,-0.914301,-0.846292,-0.787886,-1.838270,1.552383,5.289778,-9.157529,3.924936,0.073130,0.235202,-0.260847
2132972472676113211!,rebel-mauve-beetle,0.140000,-0.899439,-0.794773,-0.882773,-1.794634,1.479037,4.948042,-9.680972,4.762032,0.078644,0.240279,-0.278122
2132972472676113211!,rebel-mauve-beetle,0.150000,-0.885812,-0.746665,-0.982623,-1.741968,1.316480,4.601318,-10.131036,5.714795,0.083139,0.243141,-0.291963
2132972472676113211!,rebel-mauve-beetle,0.160000,-0.874294,-0.701898,-1.086545,-1.679113,1.069668,4.271466,-10.476503,6.779290,0.086520,0.243394,-0.302017
2132972472676113211!,rebel-mauve-beetle,0.170000,-0.865689,-0.660178,-1.193331,-1.604980,0.747541,3.980173,-10.685768,7.945060,0.088721,0.240731,-0.308026
2132972472676113211!,rebel-mauve-beetle,0.180000,-0.860688,-0.621000,-1.301458,-1.518620,0.363270,3.747828,-10.728597,9.194416,0.089699,0.234941,-0.309824
2132972472676113211!,rebel-mauve-beetle,0.190000,-0.859825,-0.583663,-1.409110,-1.419298,-0.065783,3.592166,-10.578159,10.502225,0.089435,0.225931,-0.307339
2132972472676113211!,rebel-mauve-beetle,0.200000,-0.863439,-0.547309,-1.514222,-1.306573,-0.518535,3.526811,-10.213170,11.836313,0.087937,0.213736,-0.300603
2132972472676113211!,rebel-mauve-beetle,0.210000,-0.871633,-0.510969,-1.614544,-1.180360,-0.971192,3.559902,-9.619971,13.158584,0.085242,0.198523,-0.289751
2132972472676113211!,rebel-mauve-beetle,0.220000,-0.884087,-0.473924,-1.707496,-1.041373,-1.403066,3.695232,-8.798506,14.426549,0.081277,0.180316,-0.274576
2132972472676113211!,rebel-mauve-beetle,0.230000,-0.900435,-0.435278,-1.790809,-0.890507,-1.790278,3.929045,-7.755616,15.596543,0.076088,0.159399,-0.255270
2132972472676113211!,rebel-mauve-beetle,0.240000,-0.920218,-0.393941,-1.862502,-0.728757,-2.107294,4.248340,-6.505176,16.625437,0.069881,0.136421,-0.232559
2132972472676113211!,rebel-mauve-beetle,0.250000,-0.942659,-0.349136,-1.920663,-0.557723,-2.335919,4.635399,-5.074117,17.474040,0.062792,0.111914,-0.206950
2132972472676113211!,rebel-mauve-beetle,0.260000,-0.966822,-0.300290,-1.963690,-0.379369,-2.464071,5.068028,-3.498613,18.109529,0.054974,0.086430,-0.179000
2132972472676113211!,rebel-mauve-beetle,0.270000,-0.991685,-0.247070,-1.990378,-0.195952,-2.486762,5.521611,-1.822068,18.507639,0.046588,0.060502,-0.149286
2132972472676113211!,rebel-mauve-beetle,0.280000,-1.016212,-0.189393,-1.999975,-0.009925,-2.406291,5.971399,-0.092573,18.654163,0.037798,0.034613,-0.118382
2132972472676113211!,rebel-mauve-beetle,0.290000,-1.039421,-0.127421,-1.992227,0.176161,-2.231645,6.394703,1.639881,18.545648,0.028760,0.009173,-0.086829
2132972472676113211!,rebel-mauve-beetle,0.300000,-1.060453,-0.061533,-1.967377,0.359763,-1.977211,6.772684,3.326169,18.189283,0.019619,-0.015500,-0.055118
2132972472676113211!,rebel-mauve-beetle,0.310000,-1.078611,0.007718,-1.926158,0.538439,-1.661053,7.091525,4.920494,17.602080,0.010505,-0.039178,-0.023676
2132972472676113211!,rebel-mauve-beetle,0.320000,-1.093397,0.079639,-1.869762,0.709923,-1.303031,7.342931,6.382360,16.809553,0.001531,-0.061723,0.007140
2132972472676113211!,rebel-mauve-beetle,0.330000,-1.104529,0.153547,-1.799707,0.872385,-0.921778,7.524758,7.679798,15.843211,-0.007252,-0.083157,0.037180
2132972472676113211!,rebel-mauve-beetle,0.340000,-1.111920,0.228565,-1.717980,1.023984,-0.536164,7.637457,8.785712,14.740147,-0.015724,-0.103382,0.066072
2132972472676113211!,rebel-mauve-beetle,0.350000,-1.115588,0.304305,-1.626364,1.164019,-0.158053,7.686321,9.688058,13.536128,-0.023896,-0.122539,0.093873
2132972472676113211!,rebel-mauve-beetle,0.360000,-1.115663,0.380186,-1.526927,1.291702,0.200760,7.676386,10.378465,12.268424,-0.031678,-0.140559,0.120306
2132972472676113211!,rebel-mauve-beetle,0.370000,-1.112380,0.455670,-1.421787,1.406599,0.531262,7.613909,10.856127,10.973348,-0.038989,-0.157362,0.145114
2132972472676113211!,rebel-mauve-beetle,0.380000,-1.106049,0.530272,-1.313043,1.508614,0.827095,7.505461,11.127221,9.684729,-0.045743,-0.172829,0.168024
