ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1829754883612062637!,rebel-wine-beetle,0.000000,1.077790,0.716693,1.028197,1.715463,0.000000,0.000000,0.000000,0.000000,0.218972,-0.170481,-0.482990,-0.175630
1829754883612062637!,rebel-wine-beetle,0.010000,1.069755,0.722777,1.018149,1.721445,-1.606543,1.211330,-2.012590,1.190347,0.165833,-0.122711,-0.357530,-0.132917
1829754883612062637!,rebel-wine-beetle,0.020000,1.047664,0.739118,0.990530,1.737484,-2.812244,2.044084,-3.514977,2.003868,0.127049,-0.086179,-0.263813,-0.101717
1829754883612062637!,rebel-wine-beetle,0.030000,1.014935,0.762275,0.949681,1.760144,-3.730288,2.569977,-4.651551,2.509732,0.097511,-0.059744,-0.194229,-0.077976
1829754883612062637!,rebel-wine-beetle,0.040000,0.974075,0.789522,0.898759,1.786682,-4.431735,2.859665,-5.521262,2.777372,0.074193,-0.041424,-0.142581,-0.059271
1829754883612062637!,rebel-wine-beetle,0.050000,0.927025,0.818789,0.840096,1.815004,-4.963215,2.973597,-6.192606,2.866321,0.055281,-0.029208,-0.104101,-0.044138
1829754883612062637!,rebel-wine-beetle,0.060000,0.875337,0.848552,0.775448,1.843551,-5.357346,2.960058,-6.713557,2.823906,0.039651,-0.021384,-0.075228,-0.031665
1829754883612062637!,rebel-wine-beetle,0.070000,0.820283,0.877719,0.706161,1.871186,-5.638265,2.856317,-7.118199,2.686313,0.026572,-0.016618,-0.053363,-0.021254
1829754883612062637!,rebel-wine-beetle,0.080000,0.762917,0.905527,0.633287,1.897089,-5.824694,2.690664,-7.431100,2.480653,0.015538,-0.013921,-0.036623,-0.012489
1829754883612062637!,rebel-wine-beetle,0.090000,0.704126,0.931462,0.557668,1.920679,-5.931659,2.484445,-7.670214,2.227044,0.006180,-0.012586,-0.023656,-0.005069
1829754883612062637!,rebel-wine-beetle,0.100000,0.644649,0.955199,0.479988,1.941549,-5.971506,2.253789,-7.848849,1.940386,-0.001784,-0.012124,-0.013489,0.001235
1829754883612062637!,rebel-wine-beetle,0.110000,0.585097,0.976556,0.400804,1.959427,-5.954569,2.010942,-7.977048,1.631719,-0.008579,-0.012202,-0.005421,0.006608
1829754883612062637!,rebel-wine-beetle,0.120000,0.525978,0.995462,0.320578,1.974140,-5.889670,1.765295,-8.062543,1.309264,-0.014391,-0.012598,0.001053,0.011198
1829754883612062637!,rebel-wine-beetle,0.130000,0.467717,1.011928,0.239697,1.985584,-5.784447,1.524146,-8.111401,0.979197,-0.019375,-0.013173,0.006302,0.015130
1829754883612062637!,rebel-wine-beetle,0.140000,0.410672,1.026028,0.158497,1.993710,-5.645612,1.293237,-8.128499,0.646203,-0.023659,-0.013840,0.010591,0.018509
1829754883612062637!,rebel-wine-beetle,0.150000,0.355140,1.037889,0.077269,1.998507,-5.479150,1.077148,-8.117870,0.313864,-0.027353,-0.014551,0.014114,0.021420
1829754883612062637!,rebel-wine-beetle,0.160000,0.301366,1.047675,-0.003731,1.999997,-5.290479,0.879551,-8.082953,-0.015079,-0.030549,-0.015285,0.017008,0.023936
1829754883612062637!,rebel-wine-beetle,0.170000,0.249546,1.055588,-0.084277,1.998224,-5.084582,0.703401,-8.026768,-0.338539,-0.033322,-0.016035,0.019374,0.026118
1829754883612062637!,rebel-wine-beetle,0.180000,0.199830,1.061852,-0.164172,1.993250,-4.866106,0.551056,-7.952034,-0.654962,-0.035736,-0.016804,0.021284,0.028016
1829754883612062637!,rebel-wine-beetle,0.190000,0.152325,1.066716,-0.243243,1.985153,-4.639453,0.424367,-7.861238,-0.963245,-0.037846,-0.017599,0.022794,0.029673
1829754883612062637!,rebel-wine-beetle,0.200000,0.107096,1.070444,-0.321339,1.974017,-4.408833,0.324731,-7.756657,-1.262661,-0.039694,-0.018428,0.023948,0.031123
1829754883612062637!,rebel-wine-beetle,0.210000,0.064167,1.073312,-0.398332,1.959932,-4.178323,0.253139,-7.640358,-1.552808,-0.041318,-0.019292,0.024785,0.032394
1829754883612062637!,rebel-wine-beetle,0.220000,0.023527,1.075607,-0.474112,1.942992,-3.951937,0.210196,-7.514178,-1.833543,-0.042746,-0.020187,0.025347,0.033511
1829754883612062637!,rebel-wine-beetle,0.230000,-0.014889,1.077617,-0.548588,1.923292,-3.733479,0.196136,-7.379617,-2.104915,-0.044001,-0.021101,0.025677,0.034490
1829754883612062637!,rebel-wine-beetle,0.240000,-0.051168,1.079635,-0.621680,1.900925,-3.526807,0.210826,-7.237875,-2.367081,-0.045100,-0.022008,0.025828,0.035346
1829754883612062637!,rebel-wine-beetle,0.250000,-0.085446,1.081949,-0.693320,1.875982,-3.335633,0.253753,-7.089717,-2.620198,-0.046053,-0.022870,0.025863,0.036087
1829754883612062637!,rebel-wine-beetle,0.260000,-0.117890,1.084840,-0.763445,1.848554,-3.163555,0.324001,-6.935436,-2.864305,-0.046864,-0.023631,0.025857,0.036717
1829754883612062637!,rebel-wine-beetle,0.270000,-0.148708,1.088580,-0.831991,1.818733,-3.014004,0.420208,-6.774807,-3.099178,-0.047531,-0.024221,0.025897,0.037236
