ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1398638883936197118!,talented-antique-butterfly,0.000000,-1.678463,-1.459950,-0.695852,-1.645631,-0.761804,-0.647808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013947,0.077350,0.093103,-0.043103,0.118107,0.226489
1398638883936197118!,talented-antique-butterfly,0.010000,-1.672010,-1.457092,-0.690050,-1.646183,-0.761040,-0.648705,1.289742,0.570672,1.158989,-0.108335,0.153350,-0.179905,-0.018016,0.068290,0.069829,-0.032104,0.090880,0.196181
1398638883936197118!,talented-antique-butterfly,0.020000,-1.653709,-1.448808,-0.673663,-1.647579,-0.758891,-0.651218,2.369124,1.086406,2.115122,-0.165962,0.277316,-0.323167,-0.022271,0.061215,0.049645,-0.022452,0.067441,0.172036
1398638883936197118!,talented-antique-butterfly,0.030000,-1.625439,-1.435540,-0.648547,-1.649272,-0.755612,-0.655020,3.279939,1.567395,2.900757,-0.165707,0.379044,-0.437254,-0.025974,0.055003,0.032666,-0.014139,0.047665,0.151354
1398638883936197118!,talented-antique-butterfly,0.040000,-1.588742,-1.417598,-0.616286,-1.650685,-0.751394,-0.659854,4.049251,2.018834,3.539139,-0.109391,0.464267,-0.528674,-0.028784,0.049034,0.018697,-0.007068,0.031202,0.132506
1398638883936197118!,talented-antique-butterfly,0.050000,-1.544940,-1.395282,-0.578264,-1.651286,-0.746381,-0.665519,4.694011,2.437933,4.047286,-0.004111,0.537405,-0.602701,-0.030572,0.043008,0.007444,-0.001130,0.017666,0.114594
1398638883936197118!,talented-antique-butterfly,0.060000,-1.495226,-1.368947,-0.535719,-1.650633,-0.740677,-0.671862,5.224827,2.818224,4.438558,0.139953,0.601827,-0.663468,-0.031342,0.036839,-0.001399,0.003771,0.006707,0.097235
1398638883936197118!,talented-antique-butterfly,0.070000,-1.440714,-1.339027,-0.489772,-1.648395,-0.734354,-0.678767,5.649024,3.152624,4.724633,0.311210,0.660011,-0.714062,-0.031178,0.030588,-0.008120,0.007715,-0.001972,0.080414
1398638883936197118!,talented-antique-butterfly,0.080000,-1.382460,-1.306027,-0.441435,-1.644362,-0.727467,-0.686143,5.972956,3.435286,4.916847,0.497893,0.713758,-0.756746,-0.030226,0.024409,-0.012992,0.010780,-0.008633,0.064351
1398638883936197118!,talented-antique-butterfly,0.090000,-1.321448,-1.270496,-0.391599,-1.638439,-0.720053,-0.693919,6.203553,3.662666,5.026893,0.689069,0.764408,-0.793196,-0.028669,0.018496,-0.016282,0.013044,-0.013522,0.049388
1398638883936197118!,talented-antique-butterfly,0.100000,-1.258584,-1.233006,-0.341037,-1.630633,-0.712138,-0.702040,6.349125,3.834039,5.066975,0.875402,0.812966,-0.824659,-0.026707,0.013044,-0.018257,0.014597,-0.016882,0.035879
1398638883936197118!,talented-antique-butterfly,0.110000,-1.194685,-1.194121,-0.290393,-1.621035,-0.703737,-0.710460,6.419496,3.951458,5.049549,1.049631,0.860210,-0.852069,-0.024531,0.008211,-0.019177,0.015540,-0.018962,0.024109
1398638883936197118!,talented-antique-butterfly,0.120000,-1.130455,-1.154368,-0.240184,-1.609799,-0.694862,-0.719143,6.425650,4.019314,4.986832,1.206732,0.906754,-0.876138,-0.022305,0.004101,-0.019287,0.015978,-0.020002,0.014242
1398638883936197118!,talented-antique-butterfly,0.130000,-1.066484,-1.114219,-0.190807,-1.597116,-0.685516,-0.728058,6.379097,4.043644,4.890260,1.343816,0.953093,-0.897402,-0.020156,0.000751,-0.018809,0.016015,-0.020236,0.006307
1398638883936197118!,talented-antique-butterfly,0.140000,-1.003243,-1.074077,-0.142548,-1.583198,-0.675699,-0.737178,6.291164,4.031369,4.770032,1.459814,0.999619,-0.916254,-0.018170,-0.001856,-0.017933,0.015749,-0.019870,0.000211
1398638883936197118!,talented-antique-butterfly,0.150000,-0.941084,-1.034263,-0.095592,-1.568250,-0.665409,-0.746479,6.172370,3.989551,4.634824,1.555065,1.046650,-0.932980,-0.016394,-0.003783,-0.016811,0.015268,-0.019087,-0.004232
1398638883936197118!,talented-antique-butterfly,0.160000,-0.880252,-0.995017,-0.050042,-1.552468,-0.654642,-0.755939,6.031992,3.924865,4.491672,1.630873,1.094432,-0.947777,-0.014847,-0.005119,-0.015563,0.014645,-0.018034,-0.007263
1398638883936197118!,talented-antique-butterfly,0.170000,-0.820913,-0.956527,-0.005945,-1.536034,-0.643391,-0.765538,5.877855,3.843347,4.346022,1.689110,1.143109,-0.960717,-0.013522,-0.005968,-0.014276,0.013939,-0.016830,-0.009143
1398638883936197118!,talented-antique-butterfly,0.180000,-0.763165,-0.918931,0.036700,-1.519110,-0.631644,-0.775258,5.716264,3.750128,4.201886,1.731904,1.192737,-0.971787,-0.012402,-0.006432,-0.013009,0.013196,-0.015560,-0.010123
1398638883936197118!,talented-antique-butterfly,0.190000,-0.707053,-0.882318,0.077926,-1.501840,-0.619394,-0.785080,5.552087,3.649383,4.062060,1.761412,1.243293,-0.980905,-0.011463,-0.006603,-0.011801,0.012448,-0.014290,-0.010430
1398638883936197118!,talented-antique-butterfly,0.200000,-0.652580,-0.846745,0.117788,-1.484344,-0.606631,-0.794984,5.388922,3.544378,3.928360,1.779679,1.294683,-0.987938,-0.010681,-0.006564,-0.010676,0.011722,-0.013062,-0.010257
1398638883936197118!,talented-antique-butterfly,0.210000,-0.599721,-0.812240,0.156354,-1.466725,-0.593347,-0.804947,5.229299,3.437582,3.801849,1.788561,1.346747,-0.992721,-0.010033,-0.006380,-0.009646,0.011035,-0.011905,-0.009757
1398638883936197118!,talented-antique-butterfly,0.220000,-0.548430,-0.778810,0.193698,-1.449067,-0.579536,-0.814947,5.074886,3.330798,3.683034,1.789698,1.399277,-0.995073,-0.009500,-0.006104,-0.008718,0.010398,-0.010837,-0.009051
1398638883936197118!,talented-antique-butterfly,0.230000,-0.498649,-0.746447,0.229900,-1.431440,-0.565196,-0.824957,4.926684,3.225302,3.572027,1.784507,1.452020,-0.994810,-0.009066,-0.005774,-0.007890,0.009820,-0.009865,-0.008227
