ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1936655072333261683!,talented-ruddy-butterfly,0.000000,-1.982134,0.524272,-1.566838,-0.385414,-0.924553,0.381053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.095219,0.358146,0.217041
1936655072333261683!,talented-ruddy-butterfly,0.010000,-1.972419,0.529848,-1.563008,-0.382502,-0.922670,0.385591,1.941489,1.110582,0.765512,0.582871,0.378441,0.905561,-0.080463,0.282976,0.172608
1936655072333261683!,talented-ruddy-butterfly,0.020000,-1.945245,0.545062,-1.552251,-0.374479,-0.917339,0.398106,3.492730,1.922350,1.385827,1.021900,0.691213,1.592735,-0.071266,0.225302,0.137532
1936655072333261683!,talented-ruddy-butterfly,0.030000,-1.903993,0.567139,-1.535783,-0.362604,-0.909069,0.416645,4.752770,2.478530,1.906123,1.351162,0.965854,2.107376,-0.062771,0.180876,0.109037
1936655072333261683!,talented-ruddy-butterfly,0.040000,-1.851285,0.593762,-1.514496,-0.347818,-0.898161,0.439666,5.776922,2.827675,2.347384,1.600983,1.216849,2.485812,-0.053172,0.146275,0.085335
1936655072333261683!,talented-ruddy-butterfly,0.050000,-1.789308,0.623082,-1.489125,-0.330799,-0.884812,0.465948,6.597403,3.015567,2.718999,1.795047,1.451532,2.756389,-0.042185,0.118852,0.065293
1936655072333261683!,talented-ruddy-butterfly,0.060000,-1.720047,0.653664,-1.460366,-0.312030,-0.869176,0.494502,7.235500,3.082341,3.025531,1.950256,1.673428,2.941350,-0.030248,0.096676,0.048221
1936655072333261683!,talented-ruddy-butterfly,0.070000,-1.645267,0.684454,-1.428866,-0.291851,-0.851380,0.524549,7.708433,3.061417,3.270293,2.077693,1.884186,3.058165,-0.018065,0.078428,0.033715
1936655072333261683!,talented-ruddy-butterfly,0.080000,-1.566533,0.714709,-1.395224,-0.270508,-0.831532,0.555477,8.032924,2.979743,3.457089,2.184100,2.084678,3.120699,-0.006351,0.063259,0.021527
1936655072333261683!,talented-ruddy-butterfly,0.090000,-1.485227,0.743932,-1.359986,-0.248194,-0.809731,0.586802,8.226697,2.858457,3.590958,2.273264,2.275582,3.140086,0.004308,0.050641,0.011473
1936655072333261683!,talented-ruddy-butterfly,0.100000,-1.402550,0.771811,-1.323645,-0.225071,-0.786066,0.618142,8.308580,2.713673,3.678213,2.347170,2.457666,3.125313,0.013516,0.040236,0.003371
1936655072333261683!,talented-ruddy-butterfly,0.110000,-1.319515,0.798174,-1.286626,-0.201285,-0.760621,0.649196,8.297830,2.557285,3.726074,2.406844,2.631869,3.083588,0.021077,0.031794,-0.002984
1936655072333261683!,talented-ruddy-butterfly,0.120000,-1.236952,0.822951,-1.249284,-0.176973,-0.733467,0.679726,8.213167,2.397750,3.742116,2.452892,2.799264,3.020582,0.026976,0.025088,-0.007824
1936655072333261683!,talented-ruddy-butterfly,0.130000,-1.155518,0.846142,-1.211903,-0.152267,-0.704666,0.709540,8.071870,2.240808,3.733708,2.485803,2.960961,2.940622,0.031329,0.019890,-0.011398
1936655072333261683!,talented-ruddy-butterfly,0.140000,-1.075712,0.867795,-1.174697,-0.127294,-0.674270,0.738485,7.889123,2.090128,3.707564,2.506083,3.117986,2.846864,0.034339,0.015956,-0.013955
1936655072333261683!,talented-ruddy-butterfly,0.150000,-0.997891,0.887987,-1.137820,-0.102175,-0.642322,0.766434,7.677606,1.947848,3.669401,2.514283,3.271169,2.741455,0.036250,0.013043,-0.015725
1936655072333261683!,talented-ruddy-butterfly,0.160000,-0.922276,0.906800,-1.101359,-0.077034,-0.608859,0.793278,7.447384,1.814984,3.623751,2.510984,3.421017,2.625709,0.037309,0.010919,-0.016908
1936655072333261683!,talented-ruddy-butterfly,0.170000,-0.849008,0.924327,-1.065369,-0.051986,-0.573913,0.818916,7.206228,1.691880,3.574053,2.496809,3.567762,2.500359,0.037749,0.009374,-0.017672
1936655072333261683!,talented-ruddy-butterfly,0.180000,-0.778179,0.940670,-1.029886,-0.027134,-0.537517,0.843253,6.959957,1.578476,3.522778,2.472421,3.711360,2.365741,0.037768,0.008223,-0.018149
1936655072333261683!,talented-ruddy-butterfly,0.190000,-0.709818,0.955927,-0.994914,-0.002572,-0.499699,0.866199,6.712539,1.474415,3.471390,2.438463,3.851422,2.221838,0.037529,0.007320,-0.018436
1936655072333261683!,talented-ruddy-butterfly,0.200000,-0.643935,0.970194,-0.960458,0.021609,-0.460501,0.887659,6.466758,1.379260,3.420732,2.395658,3.987346,2.068560,0.037159,0.006547,-0.018605
1936655072333261683!,talented-ruddy-butterfly,0.210000,-0.580509,0.983561,-0.926512,0.045328,-0.419965,0.907540,6.224322,1.292525,3.371043,2.344760,4.118301,1.905749,0.036751,0.005820,-0.018703
1936655072333261683!,talented-ruddy-butterfly,0.220000,-0.519508,0.996115,-0.893068,0.068509,-0.378146,0.925746,5.986217,1.213743,3.322164,2.286593,4.243297,1.733291,0.036372,0.005080,-0.018758
1936655072333261683!,talented-ruddy-butterfly,0.230000,-0.460891,1.007937,-0.860123,0.091087,-0.335108,0.942180,5.752936,1.142498,3.273677,2.222061,4.361239,1.551175,0.036065,0.004292,-0.018789
1936655072333261683!,talented-ruddy-butterfly,0.240000,-0.404614,1.019105,-0.827677,0.113005,-0.290926,0.956746,5.524656,1.078441,3.225023,2.152154,4.470981,1.359529,0.035855,0.003434,-0.018802
1936655072333261683!,talented-ruddy-butterfly,0.250000,-0.350590,1.029667,-0.795720,0.134201,-0.245693,0.969348,5.301244,1.021256,3.175508,2.077945,4.571328,1.158658,0.035754,0.002502,-0.018798
1936655072333261683!,talented-ruddy-butterfly,0.260000,-0.298746,1.039670,-0.764252,0.154625,-0.199513,0.979895,5.082508,0.970725,3.124480,2.000587,4.661140,0.949039,0.035767,0.001498,-0.018775
1936655072333261683!,talented-ruddy-butterfly,0.270000,-0.249040,1.049183,-0.733292,0.174254,-0.152497,0.988304,4.868375,0.926741,3.071435,1.921305,4.739373,0.731291,0.035890,0.000428,-0.018725
1936655072333261683!,talented-ruddy-butterfly,0.280000,-0.201432,1.058274,-0.702865,0.193078,-0.104763,0.994497,4.658818,0.889250,3.015983,1.841371,4.805061,0.506176,0.036117,-0.000701,-0.018643
1936655072333261683!,talented-ruddy-butterfly,0.290000,-0.155883,1.067012,-0.673000,0.211098,-0.056440,0.998406,4.453894,0.858245,2.957871,1.762097,4.857328,0.274587,0.036441,-0.001880,-0.018520
1936655072333261683!,talented-ruddy-butterfly,0.300000,-0.112350,1.075466,-0.643726,0.228331,-0.007667,0.999971,4.253759,0.833764,2.896994,1.684812,4.895401,0.037533,0.036855,-0.003100,-0.018350
1936655072333261683!,talented-ruddy-butterfly,0.310000,-0.070789,1.083705,-0.615073,0.244804,0.041413,0.999142,4.058686,0.815881,2.833407,1.610849,4.918615,-0.203870,0.037352,-0.004353,-0.018126
1936655072333261683!,talented-ruddy-butterfly,0.320000,-0.031155,1.091800,-0.587070,0.260562,0.090649,0.995883,3.869077,0.804711,2.767335,1.541534,4.926423,-0.448419,0.037924,-0.005633,-0.017842
1936655072333261683!,talented-ruddy-butterfly,0.330000,0.006607,1.099824,-0.559742,0.275659,0.139884,0.990168,3.685460,0.800401,2.699168,1.478161,4.918390,-0.694833,0.038566,-0.006935,-0.017493
1936655072333261683!,talented-ruddy-butterfly,0.340000,0.042556,1.107848,-0.533109,0.290162,0.188958,0.981985,3.508494,0.803127,2.629464,1.421981,4.894202,-0.941765,0.039272,-0.008252,-0.017077
1936655072333261683!,talented-ruddy-butterfly,0.350000,0.076760,1.115947,-0.507185,0.304154,0.237710,0.971336,3.338978,0.813093,2.558960,1.374182,4.853667,-1.187810,0.040036,-0.009581,-0.016589
1936655072333261683!,talented-ruddy-butterfly,0.360000,0.109296,1.124199,-0.481974,0.317725,0.285974,0.958237,3.177845,0.830518,2.488569,1.335865,4.796724,-1.431521,0.040850,-0.010914,-0.016027
1936655072333261683!,talented-ruddy-butterfly,0.370000,0.140251,1.132682,-0.457473,0.330979,0.333586,0.942720,3.026173,0.855623,2.419392,1.308020,4.723443,-1.671414,0.041706,-0.012244,-0.015391
1936655072333261683!,talented-ruddy-butterfly,0.380000,0.169724,1.141477,-0.433662,0.344028,0.380384,0.924829,2.885176,0.888610,2.352723,1.291488,4.634041,-1.905988,0.042592,-0.013561,-0.014679
1936655072333261683!,talented-ruddy-butterfly,0.390000,0.197829,1.150667,-0.410512,0.356992,0.426205,0.904626,2.756194,0.929628,2.290047,1.286923,4.528881,-2.133735,0.043492,-0.014850,-0.013894
1936655072333261683!,talented-ruddy-butterfly,0.400000,0.224705,1.160321,-0.387967,0.369984,0.470896,0.882189,2.640615,0.978728,2.232972,1.294735,4.408491,-2.353171,0.044386,-0.016093,-0.013039
1936655072333261683!,talented-ruddy-butterfly,0.410000,0.250504,1.170508,-0.365958,0.383123,0.514307,0.857606,2.539923,1.035823,2.183283,1.315044,4.273565,-2.562859,0.045248,-0.017269,-0.012118
1936655072333261683!,talented-ruddy-butterfly,0.420000,0.275379,1.181311,-0.344400,0.396535,0.556296,0.830984,2.455692,1.100646,2.142971,1.347618,4.124961,-2.761425,0.046048,-0.018351,-0.011139
1936655072333261683!,talented-ruddy-butterfly,0.430000,0.299501,1.192811,-0.323193,0.410345,0.596732,0.802441,2.389476,1.172691,2.114133,1.391812,3.963701,-2.947589,0.046750,-0.019309,-0.010113
1936655072333261683!,talented-ruddy-butterfly,0.440000,0.323053,1.205083,-0.302211,0.424670,0.635491,0.772108,2.342720,1.251163,2.098909,1.446503,3.790964,-3.120192,0.047309,-0.020108,-0.009056
1936655072333261683!,talented-ruddy-butterfly,0.450000,0.346234,1.218194,-0.281312,0.439615,0.672466,0.740128,2.316664,1.334929,2.099402,1.510045,3.608077,-3.278227,0.047676,-0.020711,-0.007986
1936655072333261683!,talented-ruddy-butterfly,0.460000,0.369299,1.232106,-0.260295,0.455182,0.707573,0.706640,2.312034,1.422307,2.117151,1.580234,3.416510,-3.421020,0.047815,-0.021100,-0.006935
1936655072333261683!,talented-ruddy-butterfly,0.470000,0.392446,1.246874,-0.238993,0.471449,0.740731,0.671802,2.329355,1.511504,2.153903,1.654376,3.217772,-3.547928,0.047668,-0.021236,-0.005930
1936655072333261683!,talented-ruddy-butterfly,0.480000,0.415888,1.262515,-0.217212,0.488446,0.771875,0.635774,2.368557,1.600307,2.210925,1.729231,3.013456,-3.658553,0.047180,-0.021090,-0.005006
1936655072333261683!,talented-ruddy-butterfly,0.490000,0.439836,1.279017,-0.194750,0.506165,0.800958,0.598721,2.428877,1.686185,2.288935,1.801090,2.805189,-3.752729,0.046302,-0.020643,-0.004202
1936655072333261683!,talented-ruddy-butterfly,0.500000,0.464492,1.296341,-0.171397,0.524559,0.827946,0.560807,2.508765,1.766369,2.387972,1.865893,2.594591,-3.830516,0.044991,-0.019888,-0.003561
1936655072333261683!,talented-ruddy-butterfly,0.510000,0.490037,1.314416,-0.146946,0.543538,0.852826,0.522195,2.605812,1.837980,2.507296,1.919385,2.383235,-3.892191,0.043217,-0.018833,-0.003127
1936655072333261683!,talented-ruddy-butterfly,0.520000,0.516627,1.333132,-0.121204,0.562956,0.875598,0.483041,2.716713,1.898162,2.645265,1.957333,2.172610,-3.938241,0.040966,-0.017503,-0.002945
