ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1603424209406171893!,talented-steel-butterfly,0.000000,-1.831912,-1.674022,-1.257761,-0.855272,-0.263754,-0.964590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.374423,0.353163,0.072224
1603424209406171893!,talented-steel-butterfly,0.010000,-1.826410,-1.669724,-1.253349,-0.850211,-0.260029,-0.965601,1.100196,0.858768,0.883149,1.010543,0.742529,-0.199957,-0.322658,0.324233,0.054672
1603424209406171893!,talented-steel-butterfly,0.020000,-1.810539,-1.657114,-1.240525,-0.835479,-0.249398,-0.968401,2.075689,1.661953,1.685282,1.932800,1.378461,-0.355003,-0.294881,0.303055,0.048467
1603424209406171893!,talented-steel-butterfly,0.030000,-1.785230,-1.636695,-1.219829,-0.811879,-0.232816,-0.972521,2.987932,2.417632,2.458129,2.780806,1.930327,-0.462109,-0.279035,0.285414,0.048303
1603424209406171893!,talented-steel-butterfly,0.040000,-1.750959,-1.608925,-1.191411,-0.780127,-0.211077,-0.977470,3.866705,3.127058,3.228406,3.557995,2.407522,-0.519885,-0.267006,0.268120,0.050683
1603424209406171893!,talented-steel-butterfly,0.050000,-1.707992,-1.574279,-1.155229,-0.740940,-0.184907,-0.982756,4.719865,3.784666,4.004722,4.259028,2.811493,-0.528987,-0.253070,0.248616,0.053205
1603424209406171893!,talented-steel-butterfly,0.060000,-1.656625,-1.533325,-1.111243,-0.695137,-0.155060,-0.987905,5.539003,4.379174,4.781597,4.871994,3.139016,-0.492694,-0.233297,0.224995,0.054222
1603424209406171893!,talented-steel-butterfly,0.070000,-1.597300,-1.486764,-1.059524,-0.643676,-0.122331,-0.992489,6.305148,4.895511,5.543671,5.381230,3.385525,-0.417290,-0.205390,0.196207,0.052690
1603424209406171893!,talented-steel-butterfly,0.080000,-1.530690,-1.435459,-1.000335,-0.587683,-0.087566,-0.996159,6.993853,5.317696,6.269694,5.770717,3.547669,-0.311853,-0.168801,0.162274,0.048155
1603424209406171893!,talented-steel-butterfly,0.090000,-1.457761,-1.380505,-0.934222,-0.528504,-0.051642,-0.998666,7.580991,5.632099,6.937075,6.027774,3.626111,-0.187510,-0.124709,0.124372,0.040731
1603424209406171893!,talented-steel-butterfly,0.100000,-1.379632,-1.323076,-0.861897,-0.467535,-0.015370,-0.999882,8.046100,5.830361,7.525105,6.145643,3.625307,-0.055729,-0.075905,0.084657,0.031117
1603424209406171893!,talented-steel-butterfly,0.110000,-1.297534,-1.264292,-0.784181,-0.406115,0.020525,-0.999789,8.376262,5.911708,8.018819,6.125528,3.553509,0.072950,-0.026195,0.045807,0.020420
1603424209406171893!,talented-steel-butterfly,0.120000,-1.212807,-1.205261,-0.702025,-0.345551,0.055408,-0.998464,8.569357,5.883282,8.411777,5.976906,3.423407,0.189977,0.020584,0.010414,0.009843
1603424209406171893!,talented-steel-butterfly,0.130000,-1.126782,-1.147008,-0.616426,-0.287045,0.088775,-0.996052,8.633693,5.759133,8.706189,5.716109,3.250507,0.289709,0.061340,-0.019564,0.000444
1603424209406171893!,talented-steel-butterfly,0.140000,-1.040672,-1.090390,-0.528324,-0.231612,0.120278,-0.992740,8.585619,5.557802,8.911407,5.363436,3.051287,0.369686,0.094250,-0.043126,-0.007043
1603424209406171893!,talented-steel-butterfly,0.150000,-0.955496,-1.036073,-0.438537,-0.180063,0.149735,-0.988726,8.445902,5.299647,9.040976,4.940272,2.841380,0.430305,0.118832,-0.060249,-0.012245
1603424209406171893!,talented-steel-butterfly,0.160000,-0.872083,-0.984527,-0.347764,-0.133005,0.177097,-0.984193,8.236543,5.005087,9.110088,4.467207,2.634105,0.473983,0.135695,-0.071689,-0.015102
1603424209406171893!,talented-steel-butterfly,0.170000,-0.791037,-0.936021,-0.256542,-0.090850,0.202441,-0.979294,7.977786,4.692562,9.132918,3.962044,2.440052,0.504412,0.146117,-0.078652,-0.015758
1603424209406171893!,talented-steel-butterfly,0.180000,-0.712775,-0.890651,-0.165278,-0.053843,0.225941,-0.974141,7.686627,4.378128,9.121186,3.439542,2.266900,0.525781,0.151608,-0.082486,-0.014441
1603424209406171893!,talented-steel-butterfly,0.190000,-0.637559,-0.848363,-0.074275,-0.022100,0.247831,-0.968803,7.376374,4.075458,9.083561,2.911628,2.119672,0.542236,0.153586,-0.084451,-0.011381
1603424209406171893!,talented-steel-butterfly,0.200000,-0.565476,-0.808993,0.016261,0.004383,0.268402,-0.963307,7.056659,3.796052,9.025583,2.387852,2.000890,0.557499,0.153177,-0.085575,-0.006761
