ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
1274679031656435921!,talented-zippy-butterfly,0.000000,-1.580880,-0.042226,-0.580961,-0.054982,-0.200361,-0.979722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.746123,-0.205490,-0.147206,0.993111
1274679031656435921!,talented-zippy-butterfly,0.010000,-1.571886,-0.039528,-0.571990,-0.053942,-0.196064,-0.980591,1.797899,0.538104,1.793131,0.207347,0.858773,-0.171707,0.567580,-0.160487,-0.113066,0.762084
1274679031656435921!,talented-zippy-butterfly,0.020000,-1.547018,-0.032067,-0.547199,-0.051092,-0.184213,-0.982886,3.174727,0.951740,3.163491,0.361221,1.509827,-0.282973,0.431525,-0.125651,-0.086657,0.585573
1274679031656435921!,talented-zippy-butterfly,0.030000,-1.509957,-0.020963,-0.510295,-0.046925,-0.166634,-0.986019,4.230678,1.264932,4.210027,0.469787,2.001830,-0.338302,0.323915,-0.097887,-0.065556,0.445880
1274679031656435921!,talented-zippy-butterfly,0.040000,-1.463575,-0.007122,-0.464178,-0.041858,-0.144749,-0.989468,5.032655,1.497085,4.999417,0.540794,2.367612,-0.346358,0.236747,-0.075345,-0.048356,0.332790
1274679031656435921!,talented-zippy-butterfly,0.050000,-1.410176,0.008723,-0.411187,-0.036232,-0.119707,-0.992809,5.628829,1.664121,5.580102,0.581316,2.631181,-0.317253,0.165424,-0.056889,-0.034219,0.240332
1274679031656435921!,talented-zippy-butterfly,0.060000,-1.351653,0.025980,-0.353239,-0.030323,-0.092445,-0.995718,6.056457,1.779192,5.989824,0.597612,2.811393,-0.261018,0.107189,-0.041787,-0.022626,0.164855
1274679031656435921!,talented-zippy-butterfly,0.070000,-1.289573,0.044175,-0.291924,-0.024350,-0.063735,-0.997967,6.346091,1.853190,6.259676,0.595080,2.923909,-0.186734,0.060202,-0.029528,-0.013216,0.103895
1274679031656435921!,talented-zippy-butterfly,0.080000,-1.225189,0.062938,-0.228509,-0.018478,-0.034186,-0.999415,6.523711,1.895103,6.416143,0.578277,2.982085,-0.102005,0.023006,-0.019709,-0.005699,0.055520
1274679031656435921!,talented-zippy-butterfly,0.090000,-1.159499,0.081989,-0.164005,-0.012829,-0.004282,-0.999991,6.611760,1.912327,6.482096,0.550985,2.997439,-0.012834,-0.005716,-0.011983,0.000190,0.018008
1274679031656435921!,talented-zippy-butterfly,0.100000,-1.093294,0.101112,-0.099209,-0.007492,0.025605,-0.999672,6.629574,1.910900,6.477212,0.516286,2.979844,0.076325,-0.027228,-0.006027,0.004701,-0.010269
1274679031656435921!,talented-zippy-butterfly,0.110000,-1.027183,0.120149,-0.034736,-0.002527,0.055191,-0.998476,6.593578,1.895704,6.418169,0.476648,2.937626,0.162379,-0.042749,-0.001541,0.008072,-0.030860
1274679031656435921!,talented-zippy-butterfly,0.120000,-0.961631,0.138981,0.028946,0.002025,0.084267,-0.996443,6.517448,1.870629,6.318823,0.434015,2.877649,0.243355,-0.053410,0.001747,0.010525,-0.045204
1274679031656435921!,talented-zippy-butterfly,0.130000,-0.896982,0.157528,0.091493,0.006144,0.112682,-0.993631,6.412307,1.838735,6.190418,0.389892,2.805443,0.318150,-0.060230,0.004084,0.012254,-0.054592
1274679031656435921!,talented-zippy-butterfly,0.140000,-0.833483,0.175734,0.152658,0.009820,0.140337,-0.990104,6.287001,1.802388,6.041874,0.345427,2.725346,0.386291,-0.064088,0.005680,0.013429,-0.060141
1274679031656435921!,talented-zippy-butterfly,0.150000,-0.771303,0.193562,0.212271,0.013054,0.167168,-0.985928,6.148407,1.763383,5.880116,0.301484,2.640680,0.447739,-0.065718,0.006713,0.014187,-0.062787
1274679031656435921!,talented-zippy-butterfly,0.160000,-0.710553,0.210993,0.270223,0.015854,0.193141,-0.981171,6.001756,1.723052,5.710402,0.258700,2.553919,0.502733,-0.065713,0.007327,0.014641,-0.063292
1274679031656435921!,talented-zippy-butterfly,0.170000,-0.651297,0.228019,0.326450,0.018233,0.218242,-0.975895,5.850921,1.682367,5.536625,0.217531,2.466855,0.551669,-0.064539,0.007637,0.014877,-0.062258
1274679031656435921!,talented-zippy-butterfly,0.180000,-0.593566,0.244640,0.380925,0.020211,0.242472,-0.970158,5.698713,1.642013,5.361615,0.178300,2.380744,0.595021,-0.062553,0.007732,0.014960,-0.060149
1274679031656435921!,talented-zippy-butterfly,0.190000,-0.537366,0.260860,0.433640,0.021806,0.265846,-0.964016,5.547129,1.602455,5.187386,0.141224,2.296437,0.633286,-0.060023,0.007679,0.014938,-0.057317
1274679031656435921!,talented-zippy-butterfly,0.200000,-0.482686,0.276690,0.484611,0.023042,0.288381,-0.957516,5.397544,1.563988,5.015340,0.106439,2.214478,0.666949,-0.057149,0.007530,0.014847,-0.054024
1274679031656435921!,talented-zippy-butterfly,0.210000,-0.429503,0.292142,0.533860,0.023942,0.310103,-0.950703,5.250873,1.526784,4.846425,0.074021,2.135185,0.696462,-0.054072,0.007321,0.014711,-0.050461
1274679031656435921!,talented-zippy-butterfly,0.220000,-0.377787,0.307228,0.581422,0.024530,0.331039,-0.943617,5.107697,1.490920,4.681259,0.043995,2.058719,0.722238,-0.050896,0.007077,0.014547,-0.046765
1274679031656435921!,talented-zippy-butterfly,0.230000,-0.327502,0.321962,0.627334,0.024829,0.351216,-0.936294,4.968354,1.456404,4.520228,0.016348,1.985127,0.744647,-0.047692,0.006818,0.014368,-0.043032
1274679031656435921!,talented-zippy-butterfly,0.240000,-0.278611,0.336357,0.671638,0.024865,0.370663,-0.928767,4.833014,1.423199,4.363550,-0.008964,1.914382,0.764014,-0.044509,0.006556,0.014181,-0.039328
1274679031656435921!,talented-zippy-butterfly,0.250000,-0.231074,0.350426,0.714377,0.024659,0.389408,-0.921065,4.701729,1.391238,4.211332,-0.032008,1.846409,0.780624,-0.041379,0.006299,0.013990,-0.035698
1274679031656435921!,talented-zippy-butterfly,0.260000,-0.184850,0.364181,0.755595,0.024235,0.407477,-0.913215,4.574472,1.360432,4.063603,-0.052867,1.781102,0.794728,-0.038325,0.006052,0.013800,-0.032169
1274679031656435921!,talented-zippy-butterfly,0.270000,-0.139902,0.377633,0.795336,0.023615,0.424897,-0.905242,4.451166,1.330684,3.920341,-0.071641,1.718341,0.806544,-0.035360,0.005817,0.013611,-0.028759
