ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
2200733677852792253!,thoughtful-antique-butterfly,0.000000,1.757976,-0.986013,0.014452,-0.006155,0.203138,0.456875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102930,0.253673,-0.116780,-0.156551,-0.068644,0.295569
2200733677852792253!,thoughtful-antique-butterfly,0.010000,1.748461,-0.999048,0.012743,-0.005428,0.202302,0.457246,-1.909716,-2.597718,-0.339825,0.144667,-0.166160,0.073515,0.080756,0.122308,-0.041693,-0.098018,-0.017195,0.124364
2200733677852792253!,thoughtful-antique-butterfly,0.020000,1.723741,-1.030855,0.007864,-0.003351,0.199908,0.458298,-3.042897,-3.752760,-0.633965,0.270026,-0.311826,0.136018,0.068099,0.057754,-0.005605,-0.067982,0.007206,0.041270
2200733677852792253!,thoughtful-antique-butterfly,0.030000,1.689580,-1.070625,0.000214,-0.000091,0.196131,0.459927,-3.791752,-4.192046,-0.893895,0.380946,-0.442615,0.188749,0.059140,0.025581,0.011101,-0.051086,0.017974,0.001378
2200733677852792253!,thoughtful-antique-butterfly,0.040000,1.648968,-1.113009,-0.009889,0.004216,0.191111,0.462035,-4.327028,-4.278939,-1.122788,0.478722,-0.559814,0.231555,0.051972,0.009187,0.018333,-0.040582,0.022068,-0.017477
2200733677852792253!,thoughtful-antique-butterfly,0.050000,1.603645,-1.155378,-0.022146,0.009442,0.184978,0.464525,-4.730689,-4.192641,-1.322612,0.564161,-0.664134,0.264464,0.045836,0.000547,0.020964,-0.033325,0.022942,-0.026093
2200733677852792253!,thoughtful-antique-butterfly,0.060000,1.554724,-1.196439,-0.036274,0.015470,0.177858,0.467297,-5.044720,-4.021716,-1.495234,0.638059,-0.756267,0.287843,0.040380,-0.004228,0.021369,-0.027803,0.022283,-0.029710
2200733677852792253!,thoughtful-antique-butterfly,0.070000,1.502996,-1.235567,-0.052013,0.022188,0.169869,0.470260,-5.291820,-3.810552,-1.642500,0.701234,-0.836908,0.302311,0.035428,-0.007030,0.020702,-0.023281,0.020913,-0.030873
2200733677852792253!,thoughtful-antique-butterfly,0.080000,1.449070,-1.272473,-0.069115,0.029492,0.161123,0.473328,-5.485115,-3.581987,-1.766224,0.754510,-0.906746,0.308660,0.030893,-0.008784,0.019531,-0.019396,0.019236,-0.030823
2200733677852792253!,thoughtful-antique-butterfly,0.090000,1.393451,-1.307042,-0.087353,0.037286,0.151725,0.476424,-5.632942,-3.348250,-1.868181,0.798707,-0.966464,0.307787,0.026732,-0.009945,0.018139,-0.015972,0.017454,-0.030168
2200733677852792253!,thoughtful-antique-butterfly,0.100000,1.336569,-1.339272,-0.106505,0.045479,0.141781,0.479477,-5.741275,-3.116220,-1.950108,0.834625,-1.016717,0.300642,0.022925,-0.010743,0.016669,-0.012919,0.015673,-0.029214
2200733677852792253!,thoughtful-antique-butterfly,0.110000,1.278797,-1.369207,-0.126375,0.053990,0.131382,0.482430,-5.814859,-2.889968,-2.013707,0.863043,-1.058177,0.288178,0.019457,-0.011295,0.015199,-0.010193,0.013947,-0.028115
2200733677852792253!,thoughtful-antique-butterfly,0.120000,1.220459,-1.396925,-0.146787,0.062746,0.120616,0.485234,-5.857793,-2.672006,-2.060650,0.884703,-1.091530,0.271324,0.016320,-0.011667,0.013771,-0.007764,0.012309,-0.026952
2200733677852792253!,thoughtful-antique-butterfly,0.130000,1.161837,-1.422521,-0.167581,0.071684,0.109559,0.487849,-5.873796,-2.463914,-2.092565,0.900305,-1.117472,0.250956,0.013500,-0.011898,0.012408,-0.005612,0.010774,-0.025770
2200733677852792253!,thoughtful-antique-butterfly,0.140000,1.103178,-1.446102,-0.188617,0.080746,0.098281,0.490246,-5.866303,-2.266657,-2.111035,0.910500,-1.136703,0.227877,0.010983,-0.012014,0.011126,-0.003719,0.009353,-0.024596
2200733677852792253!,thoughtful-antique-butterfly,0.150000,1.044697,-1.467779,-0.209770,0.089883,0.086845,0.492400,-5.838494,-2.080770,-2.117578,0.915877,-1.149920,0.202811,0.008753,-0.012037,0.009931,-0.002067,0.008049,-0.023448
2200733677852792253!,thoughtful-antique-butterfly,0.160000,0.986578,-1.487668,-0.230930,0.099050,0.075306,0.494297,-5.793293,-1.906471,-2.113644,0.916968,-1.157810,0.176391,0.006790,-0.011984,0.008829,-0.000635,0.006862,-0.022337
2200733677852792253!,thoughtful-antique-butterfly,0.170000,0.928979,-1.505883,-0.252001,0.108207,0.063713,0.495924,-5.733363,-1.743741,-2.100599,0.914239,-1.161034,0.149162,0.005074,-0.011870,0.007820,0.000594,0.005792,-0.021271
2200733677852792253!,thoughtful-antique-butterfly,0.180000,0.872032,-1.522538,-0.272901,0.117318,0.052109,0.497277,-5.661101,-1.592386,-2.079725,0.908100,-1.160226,0.121578,0.003584,-0.011708,0.006904,0.001642,0.004833,-0.020256
2200733677852792253!,thoughtful-antique-butterfly,0.190000,0.815851,-1.537742,-0.293558,0.126353,0.040530,0.498355,-5.578640,-1.452081,-2.052211,0.898898,-1.155983,0.094013,0.002298,-0.011509,0.006078,0.002526,0.003981,-0.019296
2200733677852792253!,thoughtful-antique-butterfly,0.200000,0.760529,-1.551602,-0.313913,0.135282,0.029007,0.499158,-5.487855,-1.322418,-2.019152,0.886934,-1.148859,0.066763,0.001196,-0.011283,0.005340,0.003265,0.003229,-0.018391
2200733677852792253!,thoughtful-antique-butterfly,0.210000,0.706141,-1.564220,-0.333915,0.144078,0.017567,0.499691,-5.390386,-1.202928,-1.981551,0.872458,-1.139365,0.040055,0.000258,-0.011038,0.004684,0.003875,0.002572,-0.017543
2200733677852792253!,thoughtful-antique-butterfly,0.220000,0.652750,-1.575695,-0.353523,0.152719,0.006231,0.499961,-5.287645,-1.093114,-1.940319,0.855682,-1.127966,0.014057,-0.000533,-0.010781,0.004106,0.004372,0.002003,-0.016751
2200733677852792253!,thoughtful-antique-butterfly,0.230000,0.600404,-1.586118,-0.372706,0.161182,-0.004985,0.499975,-5.180848,-0.992467,-1.896280,0.836783,-1.115083,-0.011117,-0.001194,-0.010518,0.003601,0.004770,0.001515,-0.016013
2200733677852792253!,thoughtful-antique-butterfly,0.240000,0.549142,-1.595578,-0.391438,0.169446,-0.016066,0.499742,-5.071030,-0.900482,-1.850172,0.815911,-1.101092,-0.035398,-0.001742,-0.010252,0.003164,0.005082,0.001100,-0.015327
2200733677852792253!,thoughtful-antique-butterfly,0.250000,0.498991,-1.604159,-0.409701,0.177491,-0.027003,0.499270,-4.959072,-0.816668,-1.802658,0.793194,-1.086327,-0.058753,-0.002189,-0.009988,0.002789,0.005319,0.000753,-0.014691
2200733677852792253!,thoughtful-antique-butterfly,0.260000,0.449973,-1.611939,-0.427484,0.185300,-0.037789,0.498570,-4.845714,-0.740553,-1.754320,0.768741,-1.071080,-0.081182,-0.002548,-0.009727,0.002471,0.005491,0.000467,-0.014101
2200733677852792253!,thoughtful-antique-butterfly,0.270000,0.402099,-1.618994,-0.444779,0.192856,-0.048420,0.497650,-4.731578,-0.671692,-1.705672,0.742649,-1.055604,-0.102708,-0.002831,-0.009472,0.002205,0.005607,0.000235,-0.013555
2200733677852792253!,thoughtful-antique-butterfly,0.280000,0.355378,-1.625392,-0.461586,0.200140,-0.058896,0.496519,-4.617188,-0.609666,-1.657161,0.715008,-1.040115,-0.123375,-0.003047,-0.009223,0.001984,0.005675,0.000052,-0.013049
