ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
401617474438454829!,thoughtful-ruddy-butterfly,0.000000,1.382094,0.434754,-0.218994,-0.763794,-0.401325,-0.298224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037400,-0.031188,0.166661
401617474438454829!,thoughtful-ruddy-butterfly,0.010000,1.385522,0.428518,-0.219682,-0.764512,-0.401066,-0.298573,0.683167,-1.246471,-0.136915,-0.143064,0.051810,-0.069595,0.044168,-0.007220,0.076336
401617474438454829!,thoughtful-ruddy-butterfly,0.020000,1.393424,0.412810,-0.221901,-0.766479,-0.400423,-0.299435,0.894595,-1.894750,-0.306613,-0.249402,0.076885,-0.102815,0.046892,0.004181,0.035516
401617474438454829!,thoughtful-ruddy-butterfly,0.030000,1.402365,0.391978,-0.225888,-0.769397,-0.399594,-0.300541,0.891834,-2.269764,-0.489804,-0.332702,0.088958,-0.118277,0.047675,0.009971,0.016995
401617474438454829!,thoughtful-ruddy-butterfly,0.040000,1.410793,0.368034,-0.231736,-0.773062,-0.398678,-0.301755,0.793351,-2.515529,-0.677786,-0.397929,0.094215,-0.124477,0.047550,0.013253,0.008570
401617474438454829!,thoughtful-ruddy-butterfly,0.050000,1.418018,0.341949,-0.239476,-0.777298,-0.397730,-0.303003,0.653003,-2.696800,-0.866613,-0.446399,0.095514,-0.125374,0.046992,0.015406,0.004764
401617474438454829!,thoughtful-ruddy-butterfly,0.060000,1.423744,0.314220,-0.249109,-0.781938,-0.396783,-0.304243,0.495375,-2.842985,-1.054349,-0.477940,0.094218,-0.122876,0.046221,0.017040,0.003108
401617474438454829!,thoughtful-ruddy-butterfly,0.070000,1.427855,0.285128,-0.260621,-0.786808,-0.395858,-0.305444,0.331931,-2.967613,-1.239816,-0.491853,0.091019,-0.117961,0.045338,0.018417,0.002487
401617474438454829!,thoughtful-ruddy-butterfly,0.080000,1.430321,0.254857,-0.273986,-0.791727,-0.394975,-0.306586,0.168271,-3.077062,-1.422031,-0.487338,0.086298,-0.111178,0.044391,0.019647,0.002390
401617474438454829!,thoughtful-ruddy-butterfly,0.090000,1.431154,0.223538,-0.289168,-0.796506,-0.394146,-0.307651,0.007356,-3.174485,-1.599974,-0.463696,0.080296,-0.102871,0.043406,0.020768,0.002578
401617474438454829!,thoughtful-ruddy-butterfly,0.100000,1.430400,0.191292,-0.306107,-0.800949,-0.393383,-0.308625,-0.149099,-3.261582,-1.772526,-0.420445,0.073161,-0.093253,0.042397,0.021792,0.002936
401617474438454829!,thoughtful-ruddy-butterfly,0.110000,1.428119,0.158229,-0.324726,-0.804856,-0.392697,-0.309498,-0.299984,-3.339413,-1.938443,-0.357366,0.064992,-0.082463,0.041374,0.022716,0.003404
401617474438454829!,thoughtful-ruddy-butterfly,0.120000,1.424372,0.124440,-0.344950,-0.808030,-0.392097,-0.310258,-0.444454,-3.408793,-2.096302,-0.274479,0.055889,-0.070631,0.040346,0.023533,0.003942
401617474438454829!,thoughtful-ruddy-butterfly,0.130000,1.419225,0.090005,-0.366691,-0.810276,-0.391591,-0.310896,-0.581874,-3.470422,-2.244570,-0.172078,0.045942,-0.057867,0.039320,0.024236,0.004522
401617474438454829!,thoughtful-ruddy-butterfly,0.140000,1.412748,0.055000,-0.389847,-0.811402,-0.391188,-0.311404,-0.711787,-3.524958,-2.381641,-0.050735,0.035230,-0.044256,0.038305,0.024819,0.005123
401617474438454829!,thoughtful-ruddy-butterfly,0.150000,1.405015,0.019489,-0.414302,-0.811224,-0.390894,-0.311772,-0.833915,-3.573044,-2.505890,0.088696,0.023821,-0.029867,0.037306,0.025278,0.005724
401617474438454829!,thoughtful-ruddy-butterfly,0.160000,1.396103,-0.016467,-0.439923,-0.809567,-0.390717,-0.311994,-0.948152,-3.615318,-2.615713,0.245084,0.011783,-0.014757,0.036333,0.025610,0.006307
401617474438454829!,thoughtful-ruddy-butterfly,0.170000,1.386087,-0.052814,-0.466562,-0.806268,-0.390663,-0.312062,-1.054582,-3.652400,-2.709582,0.417041,-0.000830,0.001039,0.035392,0.025814,0.006856
401617474438454829!,thoughtful-ruddy-butterfly,0.180000,1.375045,-0.089507,-0.494052,-0.801178,-0.390737,-0.311968,-1.153477,-3.684883,-2.786092,0.602935,-0.013970,0.017498,0.034489,0.025892,0.007357
401617474438454829!,thoughtful-ruddy-butterfly,0.190000,1.363049,-0.126505,-0.522217,-0.794168,-0.390946,-0.311707,-1.245302,-3.713301,-2.844005,0.800928,-0.027606,0.034624,0.033629,0.025848,0.007797
401617474438454829!,thoughtful-ruddy-butterfly,0.200000,1.350168,-0.163775,-0.550865,-0.785125,-0.391293,-0.311272,-1.330670,-3.738151,-2.882266,1.008986,-0.041694,0.052413,0.032817,0.025686,0.008165
401617474438454829!,thoughtful-ruddy-butterfly,0.210000,1.336461,-0.201283,-0.579797,-0.773958,-0.391783,-0.310654,-1.410333,-3.759849,-2.900038,1.224924,-0.056190,0.070864,0.032054,0.025415,0.008452
401617474438454829!,thoughtful-ruddy-butterfly,0.220000,1.321981,-0.239002,-0.608805,-0.760600,-0.392421,-0.309847,-1.485153,-3.778727,-2.896721,1.446442,-0.071040,0.089972,0.031342,0.025041,0.008650
401617474438454829!,thoughtful-ruddy-butterfly,0.230000,1.306771,-0.276909,-0.637679,-0.745005,-0.393210,-0.308845,-1.556076,-3.794988,-2.871969,1.671167,-0.086189,0.109733,0.030680,0.024573,0.008754
401617474438454829!,thoughtful-ruddy-butterfly,0.240000,1.290866,-0.314979,-0.666201,-0.727153,-0.394154,-0.307641,-1.624090,-3.808718,-2.825696,1.896693,-0.101573,0.130137,0.030067,0.024020,0.008760
401617474438454829!,thoughtful-ruddy-butterfly,0.250000,1.274289,-0.353188,-0.694158,-0.707046,-0.395253,-0.306227,-1.690176,-3.819876,-2.758071,2.120618,-0.117115,0.151162,0.029501,0.023392,0.008666
