ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
601433334983181105!,thoughtful-steel-butterfly,0.000000,0.884996,2.533285,0.109749,0.689650,-0.298567,0.401070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.382500,-0.187550,0.143188
601433334983181105!,thoughtful-steel-butterfly,0.010000,0.891269,2.529138,0.109620,0.688207,-0.299318,0.400511,1.252211,-0.830249,-0.025468,-0.287753,-0.149373,-0.111633,0.143239,-0.074715,0.092292
601433334983181105!,thoughtful-steel-butterfly,0.020000,0.906393,2.518196,0.109040,0.684013,-0.301620,0.398780,1.770617,-1.360275,-0.090425,-0.551246,-0.310294,-0.234693,0.035463,-0.024134,0.069550
601433334983181105!,thoughtful-steel-butterfly,0.030000,0.925039,2.502611,0.107722,0.677236,-0.305539,0.395785,1.956798,-1.757170,-0.172552,-0.803747,-0.471859,-0.364267,-0.013329,-0.001228,0.059113
601433334983181105!,thoughtful-steel-butterfly,0.040000,0.944786,2.483350,0.105549,0.667949,-0.311053,0.391467,1.991784,-2.093481,-0.260798,-1.052140,-0.627933,-0.498945,-0.035816,0.009516,0.054008
601433334983181105!,thoughtful-steel-butterfly,0.050000,0.964526,2.460856,0.102487,0.656170,-0.318089,0.385771,1.956482,-2.401919,-0.349415,-1.300468,-0.774785,-0.638852,-0.046656,0.015041,0.051101
601433334983181105!,thoughtful-steel-butterfly,0.060000,0.983733,2.435331,0.098548,0.641885,-0.326543,0.378642,1.886866,-2.697193,-0.435011,-1.551191,-0.909749,-0.784574,-0.052394,0.018443,0.048952
601433334983181105!,thoughtful-steel-butterfly,0.070000,1.002144,2.406875,0.093774,0.625060,-0.336286,0.370016,1.798905,-2.985435,-0.515183,-1.805712,-1.030582,-0.936638,-0.055937,0.021093,0.046882
601433334983181105!,thoughtful-steel-butterfly,0.080000,1.019607,2.375548,0.088229,0.605651,-0.347167,0.359826,1.699765,-3.268452,-0.587914,-2.064600,-1.135202,-1.095265,-0.058556,0.023581,0.044561
601433334983181105!,thoughtful-steel-butterfly,0.090000,1.036025,2.341403,0.081995,0.583613,-0.359014,0.348007,1.592830,-3.545708,-0.651337,-2.327701,-1.221613,-1.260253,-0.060789,0.026138,0.041831
601433334983181105!,thoughtful-steel-butterfly,0.100000,1.051325,2.304508,0.075176,0.558904,-0.371636,0.334495,1.479955,-3.815300,-0.703667,-2.594209,-1.287922,-1.430926,-0.062839,0.028828,0.038625
601433334983181105!,thoughtful-steel-butterfly,0.110000,1.065447,2.264954,0.067889,0.531495,-0.384821,0.319238,1.362462,-4.074500,-0.743232,-2.862730,-1.332402,-1.606127,-0.064762,0.031630,0.034932
601433334983181105!,thoughtful-steel-butterfly,0.120000,1.078346,2.222862,0.060272,0.501373,-0.398344,0.302196,1.241569,-4.320108,-0.768529,-3.131353,-1.353581,-1.784241,-0.066545,0.034480,0.030784
601433334983181105!,thoughtful-steel-butterfly,0.130000,1.089986,2.178391,0.052474,0.468546,-0.411963,0.283349,1.118556,-4.548746,-0.778315,-3.397749,-1.350329,-1.963254,-0.068145,0.037292,0.026249
601433334983181105!,thoughtful-steel-butterfly,0.140000,1.100356,2.131739,0.044660,0.433061,-0.425424,0.262706,0.994817,-4.757144,-0.771699,-3.659287,-1.321985,-2.140811,-0.069518,0.039971,0.021421
601433334983181105!,thoughtful-steel-butterfly,0.150000,1.109507,2.083154,0.037010,0.395034,-0.438454,0.240329,0.871816,-4.942413,-0.748275,-3.913137,-1.268511,-2.314263,-0.070625,0.042427,0.016417
601433334983181105!,thoughtful-steel-butterfly,0.160000,1.117462,2.032877,0.029692,0.354558,-0.450806,0.216274,0.750880,-5.101947,-0.708055,-4.156366,-1.190232,-2.480943,-0.071405,0.044560,0.011372
601433334983181105!,thoughtful-steel-butterfly,0.170000,1.124254,1.981167,0.022867,0.311752,-0.462238,0.190620,0.633314,-5.233786,-0.651516,-4.386126,-1.087969,-2.638232,-0.071809,0.046290,0.006426
601433334983181105!,thoughtful-steel-butterfly,0.180000,1.129923,1.928298,0.016693,0.266757,-0.472523,0.163470,0.520334,-5.336718,-0.579581,-4.599776,-0.963013,-2.783662,-0.071810,0.047555,0.001710
601433334983181105!,thoughtful-steel-butterfly,0.190000,1.134516,1.874555,0.011314,0.219739,-0.481445,0.134948,0.413002,-5.410327,-0.493583,-4.794984,-0.817075,-2.915015,-0.071397,0.048321,-0.002662
601433334983181105!,thoughtful-steel-butterfly,0.200000,1.138091,1.820222,0.006860,0.170884,-0.488807,0.105201,0.312183,-5.454956,-0.395200,-4.969783,-0.652199,-3.030382,-0.070580,0.048578,-0.006598
601433334983181105!,thoughtful-steel-butterfly,0.210000,1.140711,1.765583,0.003444,0.120401,-0.494435,0.074393,0.218511,-5.471618,-0.286375,-5.122605,-0.470673,-3.128210,-0.069379,0.048338,-0.010035
