ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
1012319835962151466!,thoughtful-zippy-butterfly,0.000000,-1.006028,-0.945457,-0.276397,0.916703,-0.000067,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264769,0.246445,-0.211155,-0.536591
1012319835962151466!,thoughtful-zippy-butterfly,0.010000,-0.992085,-0.949073,-0.273927,0.917541,0.001133,0.499999,2.787290,-0.716311,0.492969,0.166401,0.239547,-0.000543,0.089456,0.100013,-0.110661,-0.276802
1012319835962151466!,thoughtful-zippy-butterfly,0.020000,-0.957650,-0.957208,-0.267232,0.919843,0.004276,0.499982,4.099939,-0.904737,0.845694,0.292241,0.388631,-0.003323,0.013590,0.034936,-0.064979,-0.157501
1012319835962151466!,thoughtful-zippy-butterfly,0.030000,-0.913413,-0.966067,-0.257362,0.923271,0.008680,0.499925,4.747233,-0.865326,1.128245,0.391327,0.491944,-0.008541,-0.018282,0.005853,-0.043276,-0.099934
1012319835962151466!,thoughtful-zippy-butterfly,0.040000,-0.864254,-0.974086,-0.244862,0.927585,0.013988,0.499804,5.083026,-0.739904,1.370908,0.469167,0.569227,-0.015931,-0.030734,-0.007215,-0.032265,-0.070042
1012319835962151466!,thoughtful-zippy-butterfly,0.050000,-0.812503,-0.980727,-0.230063,0.932585,0.019986,0.499600,5.265708,-0.591617,1.587583,0.528058,0.629585,-0.025186,-0.034660,-0.013127,-0.026087,-0.052767
1012319835962151466!,thoughtful-zippy-butterfly,0.060000,-0.759331,-0.985901,-0.213189,0.938087,0.026525,0.499296,5.367344,-0.447885,1.784899,0.569026,0.677434,-0.035989,-0.034881,-0.015822,-0.022127,-0.041373
1012319835962151466!,thoughtful-zippy-butterfly,0.070000,-0.705383,-0.989714,-0.194417,0.943913,0.033493,0.498877,5.421336,-0.320408,1.966084,0.592652,0.715078,-0.048008,-0.033517,-0.017052,-0.019215,-0.032832
1012319835962151466!,thoughtful-zippy-butterfly,0.080000,-0.651059,-0.992353,-0.173901,0.949893,0.040793,0.498333,5.443689,-0.213988,2.132703,0.599431,0.743866,-0.060892,-0.031487,-0.017591,-0.016828,-0.025772
1012319835962151466!,thoughtful-zippy-butterfly,0.090000,-0.596633,-0.994039,-0.151784,0.955861,0.048341,0.497658,5.442555,-0.130344,2.285449,0.589918,0.764704,-0.074281,-0.029175,-0.017779,-0.014730,-0.019561
1012319835962151466!,thoughtful-zippy-butterfly,0.100000,-0.542321,-0.995000,-0.128202,0.961656,0.056061,0.496847,5.422531,-0.069728,2.424515,0.564792,0.778284,-0.087816,-0.026728,-0.017765,-0.012815,-0.013898
1012319835962151466!,thoughtful-zippy-butterfly,0.110000,-0.488299,-0.995466,-0.103294,0.967127,0.063881,0.495902,5.386580,-0.031624,2.549783,0.524876,0.785183,-0.101146,-0.024187,-0.017608,-0.011035,-0.008627
1012319835962151466!,thoughtful-zippy-butterfly,0.120000,-0.434716,-0.995657,-0.077200,0.972129,0.071738,0.494827,5.336898,-0.015040,2.660923,0.471142,0.785911,-0.113938,-0.021551,-0.017332,-0.009362,-0.003660
1012319835962151466!,thoughtful-zippy-butterfly,0.130000,-0.381692,-0.995788,-0.050075,0.976528,0.079570,0.493628,5.275285,-0.018585,2.757434,0.404757,0.780923,-0.125881,-0.018793,-0.016941,-0.007784,0.001059
1012319835962151466!,thoughtful-zippy-butterfly,0.140000,-0.329330,-0.996056,-0.022072,0.980201,0.087325,0.492315,5.203336,-0.040610,2.838713,0.327030,0.770624,-0.136690,-0.015884,-0.016433,-0.006291,0.005573
1012319835962151466!,thoughtful-zippy-butterfly,0.150000,-0.277724,-0.996635,0.006656,0.983044,0.094952,0.490901,5.122529,-0.079277,2.904107,0.239398,0.755381,-0.146108,-0.012799,-0.015803,-0.004873,0.009922
1012319835962151466!,thoughtful-zippy-butterfly,0.160000,-0.226954,-0.997680,0.035949,0.984966,0.102403,0.489401,5.034249,-0.132538,2.952936,0.143448,0.735526,-0.153902,-0.009514,-0.015048,-0.003518,0.014136
1012319835962151466!,thoughtful-zippy-butterfly,0.170000,-0.177091,-0.999323,0.065641,0.985893,0.109635,0.487832,4.939821,-0.198149,2.984536,0.040922,0.711358,-0.159870,-0.006013,-0.014162,-0.002220,0.018236
1012319835962151466!,thoughtful-zippy-butterfly,0.180000,-0.128190,-1.001675,0.095558,0.985770,0.116606,0.486213,4.840533,-0.273693,2.998302,-0.066293,0.683149,-0.163836,-0.002283,-0.013139,-0.000970,0.022238
1012319835962151466!,thoughtful-zippy-butterfly,0.190000,-0.080296,-1.004822,0.125522,0.984560,0.123277,0.484565,4.737656,-0.356601,2.993734,-0.176178,0.651149,-0.165657,0.001681,-0.011976,0.000238,0.026146
1012319835962151466!,thoughtful-zippy-butterfly,0.200000,-0.033441,-1.008824,0.155347,0.982246,0.129610,0.482909,4.632466,-0.444183,2.970481,-0.286598,0.615584,-0.165219,0.005874,-0.010668,0.001409,0.029959
1012319835962151466!,thoughtful-zippy-butterfly,0.210000,0.012355,-1.013712,0.184845,0.978836,0.135570,0.481270,4.526254,-0.533661,2.928386,-0.395337,0.576666,-0.162443,0.010284,-0.009215,0.002546,0.033664
1012319835962151466!,thoughtful-zippy-butterfly,0.220000,0.057087,-1.019492,0.213826,0.974357,0.141124,0.479671,4.420337,-0.622211,2.867517,-0.500142,0.534593,-0.157283,0.014889,-0.007619,0.003651,0.037243
1012319835962151466!,thoughtful-zippy-butterfly,0.230000,0.100763,-1.026139,0.242101,0.968860,0.146239,0.478136,4.316046,-0.707009,2.788205,-0.598767,0.489551,-0.149731,0.019656,-0.005883,0.004724,0.040673
1012319835962151466!,thoughtful-zippy-butterfly,0.240000,0.143405,-1.033602,0.269487,0.962420,0.150887,0.476690,4.214716,-0.785281,2.691056,-0.689036,0.441717,-0.139817,0.024545,-0.004017,0.005765,0.043923
1012319835962151466!,thoughtful-zippy-butterfly,0.250000,0.185050,-1.041800,0.295805,0.955131,0.155037,0.475356,4.117670,-0.854356,2.576958,-0.768903,0.391258,-0.127608,0.029507,-0.002034,0.006769,0.046962
1012319835962151466!,thoughtful-zippy-butterfly,0.260000,0.225747,-1.050626,0.320888,0.947110,0.158664,0.474158,4.026182,-0.911726,2.447076,-0.836521,0.338335,-0.113215,0.034486,0.000052,0.007735,0.049754
1012319835962151466!,thoughtful-zippy-butterfly,0.270000,0.265566,-1.059956,0.344597,0.938482,0.161751,0.473114,3.941398,-0.955129,2.302750,-0.890326,0.283072,-0.096778,0.039424,0.002217,0.008658,0.052275
1012319835962151466!,thoughtful-zippy-butterfly,0.280000,0.304585,-1.069645,0.366808,0.929387,0.164279,0.472242,3.864368,-0.982566,2.145530,-0.929064,0.225601,-0.078480,0.044252,0.004435,0.009538,0.054502
